model,prompt,layer,rank,token,logit
pythia-12b,skip_link,0,0,||,12.938
pythia-12b,skip_link,0,1,====================,12.156
pythia-12b,skip_link,0,2,======================,11.825
pythia-12b,skip_link,0,3,=====================,11.012
pythia-12b,skip_link,0,4,===================,10.607
pythia-12b,skip_link,1,0,||,11.69
pythia-12b,skip_link,1,1,======================,11.425
pythia-12b,skip_link,1,2,====================,11.152
pythia-12b,skip_link,1,3,Simplify,10.411
pythia-12b,skip_link,1,4,=====================,10.397
pythia-12b,skip_link,2,0,======================,12.032
pythia-12b,skip_link,2,1,||,11.188
pythia-12b,skip_link,2,2,====================,10.538
pythia-12b,skip_link,2,3,Decided,10.283
pythia-12b,skip_link,2,4,Simplify,10.262
pythia-12b,skip_link,3,0,======================,11.968
pythia-12b,skip_link,3,1,Simplify,11.421
pythia-12b,skip_link,3,2,||,10.68
pythia-12b,skip_link,3,3,ek,10.455
pythia-12b,skip_link,3,4,Decided,10.41
pythia-12b,skip_link,4,0,======================,13.524
pythia-12b,skip_link,4,1,||,12.205
pythia-12b,skip_link,4,2,Simplify,12.124
pythia-12b,skip_link,4,3,===================,11.551
pythia-12b,skip_link,4,4,====================,11.187
pythia-12b,skip_link,5,0,======================,15.719
pythia-12b,skip_link,5,1,Simplify,13.979
pythia-12b,skip_link,5,2,===================,12.273
pythia-12b,skip_link,5,3,=====================,12.217
pythia-12b,skip_link,5,4,====================,12.165
pythia-12b,skip_link,6,0,======================,15.16
pythia-12b,skip_link,6,1,Simplify,13.576
pythia-12b,skip_link,6,2,=========================,12.97
pythia-12b,skip_link,6,3,used,11.8
pythia-12b,skip_link,6,4,=====================,11.447
pythia-12b,skip_link,7,0,used,16.33
pythia-12b,skip_link,7,1,usually,14.791
pythia-12b,skip_link,7,2,======================,14.536
pythia-12b,skip_link,7,3,typically,13.455
pythia-12b,skip_link,7,4,to,13.144
pythia-12b,skip_link,8,0,used,17.219
pythia-12b,skip_link,8,1,usually,16.486
pythia-12b,skip_link,8,2,typically,15.618
pythia-12b,skip_link,8,3,generally,15.389
pythia-12b,skip_link,8,4,often,15.093
pythia-12b,skip_link,9,0,typically,19.216
pythia-12b,skip_link,9,1,generally,18.943
pythia-12b,skip_link,9,2,usually,18.56
pythia-12b,skip_link,9,3,often,18.367
pythia-12b,skip_link,9,4,used,16.583
pythia-12b,skip_link,10,0,generally,19.283
pythia-12b,skip_link,10,1,typically,19.033
pythia-12b,skip_link,10,2,often,18.263
pythia-12b,skip_link,10,3,usually,18.155
pythia-12b,skip_link,10,4,used,17.1
pythia-12b,skip_link,11,0,typically,22.652
pythia-12b,skip_link,11,1,generally,21.675
pythia-12b,skip_link,11,2,often,21.52
pythia-12b,skip_link,11,3,usually,20.658
pythia-12b,skip_link,11,4,used,18.793
pythia-12b,skip_link,12,0,generally,25.212
pythia-12b,skip_link,12,1,typically,24.715
pythia-12b,skip_link,12,2,often,24.513
pythia-12b,skip_link,12,3,usually,22.764
pythia-12b,skip_link,12,4,used,20.339
pythia-12b,skip_link,13,0,generally,25.952
pythia-12b,skip_link,13,1,typically,25.569
pythia-12b,skip_link,13,2,often,25.267
pythia-12b,skip_link,13,3,used,24.775
pythia-12b,skip_link,13,4,a,23.399
pythia-12b,skip_link,14,0,a,32.844
pythia-12b,skip_link,14,1,typically,32.076
pythia-12b,skip_link,14,2,generally,31.547
pythia-12b,skip_link,14,3,an,31.142
pythia-12b,skip_link,14,4,in,31.006
pythia-12b,skip_link,15,0,a,37.337
pythia-12b,skip_link,15,1,an,36.307
pythia-12b,skip_link,15,2,typically,35.718
pythia-12b,skip_link,15,3,generally,34.728
pythia-12b,skip_link,15,4,used,34.433
pythia-12b,skip_link,16,0,a,48.248
pythia-12b,skip_link,16,1,an,44.776
pythia-12b,skip_link,16,2,in,42.092
pythia-12b,skip_link,16,3,the,41.939
pythia-12b,skip_link,16,4,generally,39.645
pythia-12b,skip_link,17,0,a,54.413
pythia-12b,skip_link,17,1,an,49.724
pythia-12b,skip_link,17,2,in,47.746
pythia-12b,skip_link,17,3,used,45.322
pythia-12b,skip_link,17,4,the,45.159
pythia-12b,skip_link,18,0,a,63.743
pythia-12b,skip_link,18,1,an,57.96
pythia-12b,skip_link,18,2,in,52.08
pythia-12b,skip_link,18,3,generally,51.126
pythia-12b,skip_link,18,4,used,50.041
pythia-12b,skip_link,19,0,a,66.205
pythia-12b,skip_link,19,1,an,60.907
pythia-12b,skip_link,19,2,generally,54.031
pythia-12b,skip_link,19,3,used,53.334
pythia-12b,skip_link,19,4,in,52.638
pythia-12b,skip_link,20,0,a,78.784
pythia-12b,skip_link,20,1,an,72.565
pythia-12b,skip_link,20,2,the,62.881
pythia-12b,skip_link,20,3,generally,60.278
pythia-12b,skip_link,20,4,used,59.731
pythia-12b,skip_link,21,0,a,85.047
pythia-12b,skip_link,21,1,an,76.707
