step,token_id,token_repr,token_stripped,logit,ban_applied
0,247,' a',a,18.270347595214844,False
1,3048,' link',link,14.640446662902832,False
2,326,' that',that,17.373138427734375,False
3,310,' is',is,16.36629295349121,False
4,417,' not',not,16.130950927734375,False
5,247,' a',a,16.26676368713379,False
6,3048,' link',link,15.928281784057617,False
7,15,'.',.,16.636547088623047,False
8,733,' It',It,15.850645065307617,False
9,310,' is',is,18.6154842376709,False
10,247,' a',a,17.220022201538086,False
11,3048,' link',link,15.657812118530273,False
12,326,' that',that,17.536258697509766,False
13,310,' is',is,16.541854858398438,False
14,417,' not',not,16.74277114868164,False
