compound,layer,head,binding_score,word1,word2,prompt,tokens,word1_idx,word2_idx,domain,model
blue_sky,0,0,0.0482,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,1,0.0959,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,2,0.0368,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,3,0.0606,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,4,0.0379,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,5,0.0712,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,6,0.1026,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,7,0.0435,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,8,0.0493,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,9,0.2524,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,10,0.1776,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,11,0.0412,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,12,0.0792,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,13,0.1823,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,14,0.045,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,15,0.0941,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,16,0.0653,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,17,0.1313,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,18,0.0598,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,19,0.0839,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
blue_sky,0,20,0.0846,blue,sky,I like to look at the blue sky,"['<|endoftext|>', 'I', ' like', ' to', ' look', ' at', ' the', ' blue', ' sky']",7,8,control,gpt2-xl
