model,prompt,source,rank,token,logit
pythia-1b,skip_link,mlp_final,0,,18.593
pythia-1b,skip_link,mlp_final,1,,18.511
pythia-1b,skip_link,mlp_final,2,earthqu,18.208
pythia-1b,skip_link,mlp_final,3,medsc,18.026
pythia-1b,skip_link,mlp_final,4,researc,17.546
pythia-1b,skip_link,mlp_final,5,careg,17.336
pythia-1b,skip_link,mlp_final,6,resemb,17.164
pythia-1b,skip_link,mlp_final,7,marined,16.171
pythia-1b,skip_link,mlp_final,8,rsfs,15.777
pythia-1b,skip_link,mlp_final,9,,15.523
pythia-1b,skip_link,mlp_final,10,supernat,15.418
pythia-1b,skip_link,mlp_final,11,tradem,15.351
pythia-1b,skip_link,mlp_final,12,glimp,15.289
pythia-1b,skip_link,mlp_final,13,remn,15.183
pythia-1b,skip_link,mlp_final,14,entreprene,15.128
pythia-1b,skip_link,mlp_final,15,counc,15.06
pythia-1b,skip_link,mlp_final,16,Leban,14.905
pythia-1b,skip_link,mlp_final,17,practition,14.75
pythia-1b,skip_link,mlp_final,18,teasp,14.746
pythia-1b,skip_link,mlp_final,19,specim,14.712
pythia-1b,skip_link,full_model,0,a,17.728
pythia-1b,skip_link,full_model,1,an,16.336
pythia-1b,skip_link,full_model,2,used,15.679
pythia-1b,skip_link,full_model,3,typically,15.048
pythia-1b,skip_link,full_model,4,one,14.441
pythia-1b,skip_link,full_model,5,basically,14.328
pythia-1b,skip_link,full_model,6,often,14.075
pythia-1b,skip_link,full_model,7,commonly,13.849
pythia-1b,skip_link,full_model,8,generally,13.818
pythia-1b,skip_link,full_model,9,essentially,13.573
pythia-1b,skip_link,full_model,10,defined,13.463
pythia-1b,skip_link,full_model,11,usually,13.43
pythia-1b,skip_link,full_model,12,utilized,13.378
pythia-1b,skip_link,full_model,13,the,13.366
pythia-1b,skip_link,full_model,14,known,13.3
pythia-1b,skip_link,full_model,15,employed,13.085
pythia-1b,skip_link,full_model,16,similar,13.027
pythia-1b,skip_link,full_model,17,made,12.725
pythia-1b,skip_link,full_model,18,sometimes,12.594
pythia-1b,skip_link,full_model,19,widely,12.522
pythia-1b,color_contrast,mlp_final,0,researc,28.658
pythia-1b,color_contrast,mlp_final,1,earthqu,28.577
pythia-1b,color_contrast,mlp_final,2,tradem,28.155
pythia-1b,color_contrast,mlp_final,3,,27.395
pythia-1b,color_contrast,mlp_final,4,,27.245
pythia-1b,color_contrast,mlp_final,5,counc,26.615
pythia-1b,color_contrast,mlp_final,6,entreprene,24.618
pythia-1b,color_contrast,mlp_final,7,Leban,24.16
pythia-1b,color_contrast,mlp_final,8,cryptocur,23.692
pythia-1b,color_contrast,mlp_final,9,glimp,23.537
pythia-1b,color_contrast,mlp_final,10,practition,23.399
pythia-1b,color_contrast,mlp_final,11,careg,23.282
pythia-1b,color_contrast,mlp_final,12,specim,23.14
pythia-1b,color_contrast,mlp_final,13,remn,22.972
pythia-1b,color_contrast,mlp_final,14,questionna,22.815
pythia-1b,color_contrast,mlp_final,15,teasp,22.316
pythia-1b,color_contrast,mlp_final,16,biomark,22.281
pythia-1b,color_contrast,mlp_final,17,resemb,21.89
pythia-1b,color_contrast,mlp_final,18,supernat,21.294
pythia-1b,color_contrast,mlp_final,19,$[]$,21.171
pythia-1b,color_contrast,full_model,0,it,14.888
pythia-1b,color_contrast,full_model,1,color,13.906
pythia-1b,color_contrast,full_model,2,the,13.125
pythia-1b,color_contrast,full_model,3,humans,12.608
pythia-1b,color_contrast,full_model,4,colors,12.579
pythia-1b,color_contrast,full_model,5,contrast,12.468
pythia-1b,color_contrast,full_model,6,of,12.366
pythia-1b,color_contrast,full_model,7,different,11.965
pythia-1b,color_contrast,full_model,8,human,11.96
pythia-1b,color_contrast,full_model,9,many,11.861
pythia-1b,color_contrast,full_model,10,we,11.81
pythia-1b,color_contrast,full_model,11,people,11.667
pythia-1b,color_contrast,full_model,12,a,11.503
pythia-1b,color_contrast,full_model,13,light,11.482
pythia-1b,color_contrast,full_model,14,most,11.475
pythia-1b,color_contrast,full_model,15,red,11.296
pythia-1b,color_contrast,full_model,16,our,11.147
pythia-1b,color_contrast,full_model,17,there,11.122
pythia-1b,color_contrast,full_model,18,white,11.008
pythia-1b,color_contrast,full_model,19,images,10.927
