layer,token,token_id,rank,prob,logit
0, a,257,4,0.052344,13.7862
0, used,973,325,0.000102,7.5434
0, an,281,11,0.010519,12.1815
0, the,262,7,0.015361,12.5602
0, shown,3402,105,0.000418,8.9553
0, displayed,9066,1120,1.8e-05,5.8235
0, one,530,14,0.008529,11.9718
0, placed,4624,806,3e-05,6.3056
0, located,5140,309,0.000109,7.6132
0, defined,5447,231,0.000164,8.0222
1, a,257,8,0.009579,14.7873
1, used,973,246,5.2e-05,9.5673
1, an,281,18,0.002817,13.5633
1, the,262,22,0.00225,13.3385
1, shown,3402,103,0.000195,10.8929
1, displayed,9066,914,5e-06,7.222
1, one,530,31,0.001284,12.778
1, placed,4624,351,2.6e-05,8.8839
1, located,5140,94,0.000212,10.9777
1, defined,5447,89,0.000236,11.0847
2, a,257,8,0.007791,15.3811
2, used,973,153,6.9e-05,10.653
2, an,281,18,0.002435,14.2181
2, the,262,29,0.001073,13.3989
2, shown,3402,72,0.000283,12.066
2, displayed,9066,870,3e-06,7.5915
2, one,530,55,0.000411,12.4399
2, placed,4624,228,4e-05,10.1148
2, located,5140,43,0.000698,12.9691
2, defined,5447,40,0.000754,13.0462
3, a,257,7,0.011128,16.1121
3, used,973,121,0.000109,11.4828
3, an,281,27,0.001607,14.1768
3, the,262,30,0.001376,14.022
3, shown,3402,66,0.000351,12.6558
3, displayed,9066,716,4e-06,8.2758
3, one,530,63,0.000364,12.6923
3, placed,4624,161,7.3e-05,11.0846
3, located,5140,16,0.002627,14.6685
3, defined,5447,25,0.001874,14.3309
4, a,257,20,0.004758,14.2889
4, used,973,68,0.000601,12.2198
4, an,281,58,0.000794,12.4981
4, the,262,46,0.001139,12.8594
4, shown,3402,100,0.000307,11.5487
4, displayed,9066,543,1.6e-05,8.6129
4, one,530,182,0.000107,10.4917
4, placed,4624,83,0.000463,11.9592
4, located,5140,6,0.023827,15.8998
4, defined,5447,15,0.007134,14.6939
5, a,257,16,0.007615,15.7272
5, used,973,36,0.00187,14.3227
5, an,281,46,0.001327,13.9801
5, the,262,47,0.001003,13.7001
5, shown,3402,61,0.000759,13.4208
5, displayed,9066,391,2.3e-05,9.9168
5, one,530,121,0.000203,12.1014
5, placed,4624,48,0.000979,13.6761
5, located,5140,17,0.007264,15.6799
5, defined,5447,28,0.003608,14.9803
6, a,257,16,0.011933,17.7684
6, used,973,26,0.003912,16.6532
6, an,281,36,0.002287,16.1163
6, the,262,63,0.000587,14.7556
6, shown,3402,83,0.000313,14.1282
6, displayed,9066,267,2.9e-05,11.7636
6, one,530,106,0.000208,13.7167
6, placed,4624,44,0.001597,15.7572
6, located,5140,23,0.005432,16.9815
6, defined,5447,8,0.02528,18.5191
7, a,257,4,0.059831,18.869
7, used,973,14,0.014317,17.439
7, an,281,13,0.017986,17.6671
7, the,262,41,0.00261,15.7369
7, shown,3402,51,0.001607,15.2519
7, displayed,9066,63,0.000872,14.641
7, one,530,53,0.001315,15.0514
7, placed,4624,36,0.003544,16.0429
7, located,5140,18,0.010184,17.0983
7, defined,5447,2,0.077697,19.1303
8, a,257,2,0.162037,21.0596
8, used,973,8,0.033055,19.47
8, an,281,6,0.041946,19.7082
8, the,262,32,0.002778,16.9934
8, shown,3402,37,0.001926,16.6273
8, displayed,9066,63,0.000593,15.4498
8, one,530,50,0.000947,15.9172
8, placed,4624,34,0.00262,16.9351
8, located,5140,13,0.010798,18.3511
8, defined,5447,1,0.177186,21.149
9, a,257,1,0.526368,22.8952
9, used,973,3,0.070877,20.8902
9, an,281,2,0.151415,21.6493
9, the,262,33,0.001253,16.8548
9, shown,3402,13,0.005484,18.3311
9, displayed,9066,12,0.006104,18.4382
9, one,530,17,0.004993,18.2372
9, placed,4624,20,0.003069,17.7505
9, located,5140,6,0.017745,19.5053
9, defined,5447,4,0.061648,20.7507
10, a,257,1,0.470993,19.7539
10, used,973,3,0.065926,17.7876
10, an,281,2,0.150524,18.6132
10, the,262,11,0.008652,15.7568
10, shown,3402,4,0.042021,17.3372
10, displayed,9066,5,0.027344,16.9076
10, one,530,7,0.015742,16.3554
10, placed,4624,10,0.009412,15.8411
10, located,5140,8,0.014102,16.2454
10, defined,5447,6,0.023057,16.737
11, a,257,1,0.325444,16.5207
11, used,973,2,0.085225,15.1808
11, an,281,3,0.073808,15.037
11, the,262,4,0.042052,14.4744
11, shown,3402,5,0.032287,14.2102
11, displayed,9066,6,0.020501,13.756
11, one,530,7,0.0175,13.5977
11, placed,4624,8,0.013595,13.3452
11, located,5140,9,0.009218,12.9566
11, defined,5447,10,0.008657,12.8939
