domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
legal,due_process,due process,declarative,cloze,Due process is,a fundamental principle of our legal system. It is the foundation of our democracy. It is the foundation of our justice system. It is the foundation of our civil rights. It is the foundation of our civil liberties. It is the foundation of our civil liberties. It is the foundation of our civil liberties. It is the foundation of our civil liberties. It is the foundation of our civil liberties. It is the foundation of our civil liberties. It is the foundation of our civil liberties. It is the,100,gpt2-xl
legal,equal_protection,equal protection,declarative,cloze,Equal protection refers to,"the principle that all citizens are entitled to equal protection of the law. The principle is enshrined in the Constitution of the United States and in the Canadian Charter of Rights and Freedoms.

The Supreme Court of Canada has interpreted the equal protection clause of the Charter to include the right to be free from discrimination on the basis of race, national or ethnic origin, colour, religion, age, sex, sexual orientation, marital status, family status, disability, or conviction for an offence.",100,gpt2-xl
legal,commerce_clause,commerce clause,declarative,cloze,The commerce clause is,"a part of the Constitution that gives Congress the power to regulate commerce among the states. The commerce clause is also known as the ""commerce clause"" or the ""commerce clause"" because it is the only part of the Constitution that deals with commerce.

The commerce clause gives Congress the power to regulate commerce among the states. The commerce clause gives Congress the power to regulate commerce among the states.

The commerce clause gives Congress the power to regulate commerce among the states. The commerce clause gives Congress",100,gpt2-xl
legal,fifth_amendment,fifth amendment,declarative,cloze,The fifth amendment provides,"that no person shall be ""deprived of life, liberty, or property, without due process of law."" The Supreme Court has held that the Fifth Amendment protects against the deprivation of life, liberty, or property without due process of law. The Due Process Clause of the Fourteenth Amendment provides that no person shall be deprived of life, liberty, or property without due process of law.

The Due Process Clause of the Fourteenth Amendment provides that no person shall be deprived of life, liberty,",100,gpt2-xl
legal,free_speech,free speech,declarative,cloze,Free speech is a right that,"is not absolute. It is a right that is subject to reasonable restrictions.

The right to free speech is not absolute. It is subject to reasonable restrictions.

The right to free speech is not absolute. It is subject to reasonable restrictions.

The right to free speech is not absolute. It is subject to reasonable restrictions.

The right to free speech is not absolute. It is subject to reasonable restrictions.

The right to free speech is not absolute. It is",100,gpt2-xl
legal,strict_liability,strict liability,declarative,cloze,Strict liability is a legal doctrine holding,"that a person is not responsible for the actions of another person unless the person is negligent.

The doctrine is based on the idea that a person is not responsible for the actions of another person unless the person is negligent.

The doctrine is also known as the ""duty to rescue"" or ""duty to retreat.""

The doctrine is not limited to criminal cases. It applies to civil cases as well.

The doctrine is also known as the ""duty to retreat"" or """,100,gpt2-xl
legal,punitive_damages,punitive damages,declarative,cloze,Punitive damages are awarded to,"the victim of a crime, but the amount of damages is determined by the court. Punitive damages are awarded to the victim of a crime, but the amount of damages is determined by the court.

Punitive damages are awarded to the victim of a crime, but the amount of damages is determined by the court. Punitive damages are awarded to the victim of a crime, but the amount of damages is determined by the court.

Punitive damages are awarded to the victim",100,gpt2-xl
legal,sovereign_immunity,sovereign immunity,declarative,cloze,Sovereign immunity is,"a legal doctrine that protects individuals from being sued for actions that are not criminal. It is a cornerstone of the U.S. Constitution.

The doctrine is based on the idea that individuals have a right to be protected from being sued for actions that are not criminal.

The doctrine is based on the idea that individuals have a right to be protected from being sued for actions that are not criminal.

The doctrine is based on the idea that individuals have a right to be protected from",100,gpt2-xl
legal,grand_indictment,grand indictment,declarative,cloze,A grand indictment is,"a formal accusation of a crime. It is a formal accusation of a crime. It is a formal accusation of a crime.

A grand jury is a group of citizens who are charged with investigating and deciding whether to indict a person or a group of people for a crime. A grand jury is a group of citizens who are charged with investigating and deciding whether to indict a person or a group of people for a crime.

The grand jury is a group of citizens who are charged with investigating",100,gpt2-xl
legal,guilty_plea,guilty plea,declarative,cloze,A guilty plea is when,"a person admits to a crime. A plea bargain is when a person agrees to plead guilty to a lesser charge in exchange for a lighter sentence.

A guilty plea is when a person admits to a crime. A plea bargain is when a person agrees to plead guilty to a lesser charge in exchange for a lighter sentence.

A guilty plea is when a person admits to a crime. A plea bargain is when a person agrees to plead guilty to a lesser charge in exchange for a lighter sentence",100,gpt2-xl
