prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
blue_sky,blue sky,declarative,cloze,A blue sky is,"a beautiful thing. It's a sign of the sky's health. But when the sky is cloudy, it's a sign of the sky's health.

The sky is a beautiful thing. It's a sign of the sky's health. But when the sky is cloudy, it's a sign of the sky's health.

The sky is a beautiful thing. It's a sign of the sky's health. But when the sky is cloudy, it's a sign of the sky",100,gpt2-large
cold_water,cold water,declarative,cloze,Cold water is typically characterized by,"a high concentration of dissolved oxygen, which is a sign of a low pH. The pH of water is a measure of the acidity of the water. The pH of water is a measure of the acidity of the water.

The pH of water is a measure of the acidity of the water. The pH of water is a measure of the acidity of the water.

The pH of water is a measure of the acidity of the water. The pH of water is",100,gpt2-large
ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,"milk, cream, sugar, and sometimes eggs. It is often served with ice cream sandwiches, ice cream sandwiches, or ice cream sandwiches.

Ice cream sandwiches are a type of ice cream sandwich that is made with ice cream, a sandwich, and a slice of bread.

Ice cream sandwiches are usually served with a slice of bread.

Ice cream sandwiches are usually served with a slice of bread.

Ice cream sandwiches are usually served with a slice of bread.",100,gpt2-large
life_jacket,life jacket,declarative,cloze,A life jacket is designed to,"protect a person from the cold and rain. It is a type of clothing that is worn over a person's body.

A life jacket is designed to protect a person from the cold and rain. It is a type of clothing that is worn over a person's body.

A life jacket is designed to protect a person from the cold and rain. It is a type of clothing that is worn over a person's body.

A life jacket is designed to protect a person from",100,gpt2-large
tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,"brewing tea. It is made of a clay or clay-like material, and is usually made of a single layer of clay. The clay is usually made of a clay-like material, and is usually made of a single layer of clay.

The tea cup is made of a clay or clay-like material, and is usually made of a single layer of clay.

The tea cup is made of a clay or clay-like material, and is usually made of a single layer",100,gpt2-large
living_room,living room,declarative,cloze,A living room is,a place where people can gather and enjoy the company of friends and family. It is a place where people can relax and enjoy the company of friends and family. It is a place where people can relax and enjoy the company of friends and family. It is a place where people can relax and enjoy the company of friends and family. It is a place where people can relax and enjoy the company of friends and family. It is a place where people can relax and enjoy the company of friends and family.,100,gpt2-large
roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,"is designed to be ridden in a single motion. The ride is usually a single track, but can be a combination of tracks.

Roller Coasters are usually designed to be ridden in a single motion. The ride is usually a single track, but can be a combination of tracks.

Roller Coasters are usually designed to be ridden in a single motion. The ride is usually a single track, but can be a combination of tracks.

Roller Coasters are usually",100,gpt2-large
school_bus,school bus,declarative,cloze,A school bus is used to,"transport students to and from school in the town of Bangui, Central African Republic, on April 14, 2015. (Photo: Francois Mori, AFP/Getty Images)

BANGUI, Central African Republic — The United Nations has called for an end to the violence in Central African Republic, where at least 1,000 people have been killed in the past two weeks.

The U.N. Security Council is expected to meet on Tuesday to discuss the crisis, which has left",100,gpt2-large
grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,"a grilled cheese, a bun, and a slice of bread. The grilled cheese is usually made of a blend of cheese, such as cheddar, mozzarella, or provolone. The bun is usually made of a blend of cheese, such as cheddar, provolone, or cheddar. The bread is usually made of a blend of cheese, such as cheddar, mozzarella, or provolone.

The grilled cheese sandwich is a popular sandwich in the",100,gpt2-large
peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,"peanuts, which are a type of seed. Peanuts are a good source of protein, fiber, and vitamins A, C, and E. Peanuts are also a good source of calcium, magnesium, and potassium.

Peanut butter is a great source of protein, fiber, and vitamins A, C, and E. Peanuts are a good source of calcium, magnesium, and potassium.

Peanut butter is made from peanuts, which are a type of seed. Peanuts",100,gpt2-large
