domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
accessibility,decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,4.6907,1.4788,7.7485,1.4788,pythia-6.9b
accessibility,decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,4.3533,2.4761,6.4594,0.7999,pythia-6.9b
accessibility,decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,5.1593,2.0038,7.7485,2.0038,pythia-6.9b
accessibility,decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,3.1347,1.3355,7.5087,0.1176,pythia-6.9b
accessibility,decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,4.4185,5.2166,6.4594,0.4134,pythia-6.9b
accessibility,decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,4.4723,3.1422,7.7485,1.3377,pythia-6.9b
accessibility,decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,4.6245,2.8543,6.4594,2.5509,pythia-6.9b
accessibility,decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,4.0205,2.9647,6.4594,1.7654,pythia-6.9b
accessibility,decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,4.725,3.5778,6.4594,2.2824,pythia-6.9b
accessibility,decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,7,3.9457,4.6109,6.4594,0.3304,pythia-6.9b
accessibility,decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,5,5.4432,3.3473,7.7485,3.3473,pythia-6.9b
accessibility,decl_section_heading_001,section heading,declarative,cloze,A section heading is,5,4.809,4.1291,7.7485,1.3319,pythia-6.9b
accessibility,decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,5,5.2103,4.7071,7.7485,2.8198,pythia-6.9b
accessibility,decl_audio_description_001,audio description,declarative,cloze,An audio description is,5,4.9967,2.854,6.8674,2.854,pythia-6.9b
accessibility,decl_sign_language_001,sign language,declarative,cloze,Sign language is,4,4.3836,3.9315,6.4594,2.2667,pythia-6.9b
accessibility,decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,5,4.9044,4.9688,6.4594,1.1116,pythia-6.9b
