compound,layer,head,binding_score,word1,word2,prompt,tokens,word1_idx,word2_idx,domain,model
cash_flow,0,0,0.1314,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,1,0.0818,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,2,0.0124,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,3,0.0403,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,4,0.0961,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,5,0.09,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,6,0.1809,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,7,0.0521,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,8,0.1272,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,9,0.5712,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,10,0.0929,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,11,0.1421,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,12,0.0774,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,13,0.1033,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,14,0.0302,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,0,15,0.0965,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,0,0.0221,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,1,0.0894,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,2,0.0343,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,3,0.0951,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,4,0.0044,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,5,0.1226,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,6,0.2495,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,7,0.0714,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,8,0.064,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,9,0.078,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,10,0.0264,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,11,0.023,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,12,0.029,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,13,0.1168,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,14,0.4028,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,1,15,0.1682,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,0,0.0889,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,1,0.0711,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,2,0.2373,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,3,0.1798,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,4,0.825,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,5,0.7047,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,6,0.1042,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,7,0.0397,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,8,0.9722,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,9,0.4325,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,10,0.114,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,11,0.2348,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,12,0.0456,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,13,0.1461,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,14,0.1229,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,2,15,0.8621,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,0,0.0638,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,1,0.0157,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,2,0.9247,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,3,0.6534,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,4,0.1315,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,5,0.0949,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,6,0.2815,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,7,0.0974,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,8,0.2682,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,9,0.104,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,10,0.322,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,11,0.0989,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,12,0.0615,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,13,0.8923,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,14,0.0501,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,3,15,0.3143,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,4,0,0.0526,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
cash_flow,4,1,0.2132,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,gpt2-medium
