suite,scale,model,prompt_id,pair_id,concept,polarity,paired_with,prompt_type,template_type,prompt,output,max_tokens
pythia,2.8B,pythia-2.8b,evalp_alt_text_primary_violation,alt_text_primary,alt text,violation,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible. The <code>sink</code> element is not visually hidden, and the <code>sink</code> element is not visually hidden, and the <code>sink</code> element is not visually hidden, and the <code>sink</code> element is not visually hidden, and the <code>sink</code> element is not visually hidden, and the <code>sink</code> element is not visually hidden, and the <",100
pythia,2.8B,pythia-2.8b,evalp_alt_text_primary_conformant,alt_text_primary,alt text,conformant,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg' alt='Sink filled with dirty dishes'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible. The <code>sink</code> element is not visually hidden, and the <code>sink</code> element is not visually hidden, and the <code>sink</code> element is not visually hidden, and the <code>sink</code> element is not visually hidden, and the <code>sink</code> element is not visually hidden, and the <code>sink</code> element is not visually hidden, and the <",100
pythia,2.8B,pythia-2.8b,evalp_captions_primary_violation,captions_primary,closed captions,violation,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown, an accessibility reviewer should mark this example as", accessible.</p><p>The video is not accessible because it is not labeled with a <code>data-accessibility-label</code> attribute.</p><p>The video is not accessible because it is not labeled with a <code>data-accessibility-label</code> attribute.</p><p>The video is not accessible because it is not labeled with a <code>data-accessibility-label</code> attribute.</p><p>The video is not,100
pythia,2.8B,pythia-2.8b,evalp_captions_primary_conformant,captions_primary,closed captions,conformant,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls><track kind='captions' src='lecture.vtt' srclang='en' label='English'></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible.

<h2>Lecture 5: Cell Cycle</h2><video src='lecture.mp4' controls><track kind='captions' src='lecture.vtt' srclang='en' label='English'></video><p>Based only on the code shown, an accessibility reviewer should mark this example as accessible.

<h2>Lecture 6: Cell Cycle</h2><video src='lecture.mp",100
pythia,2.8B,pythia-2.8b,evalp_contrast_primary_violation,color_contrast_primary,color contrast,violation,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible.</p>

<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as accessible.</p>

<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as accessible.</p>

<p style='color:#",100
pythia,2.8B,pythia-2.8b,evalp_contrast_primary_conformant,color_contrast_primary,color contrast,conformant,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible.</p>

<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as accessible.</p>

<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as accessible.</p>

<p style='color:#",100
pythia,2.8B,pythia-2.8b,evalp_focus_indicator_primary_violation,focus_indicator_primary,focus indicator,violation,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible.</p>
<p>The <code>buy</code> button is focused when the user clicks it. The <code>buy</code> button is not focused when the user clicks it.</p>
<p>The <code>buy</code> button is focused when the user clicks it. The <code>buy</code> button is not focused when the user clicks it.</p>
<p>The <code>buy</code> button is",100
pythia,2.8B,pythia-2.8b,evalp_focus_indicator_primary_conformant,focus_indicator_primary,focus indicator,conformant,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible.</p>
<p>The <code>buy</code> button is focused when the user clicks it. The <code>buy</code> button is not focused when the user clicks it. The <code>buy</code> button is focused when the user clicks it. The <code>buy</code> button is not focused when the user clicks it. The <code>buy</code> button is focused when the user clicks it. The <code>buy",100
pythia,2.8B,pythia-2.8b,evalp_keyboard_navigation_primary_violation,keyboard_navigation_primary,keyboard navigation,violation,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first' tabindex='2'></label><label>Last name <input name='last' tabindex='1'></label><button type='submit' tabindex='3'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible.</p>
<p>The form is not accessible because the label for the first name field is not visible.</p>
<p>The form is not accessible because the label for the last name field is not visible.</p>
<p>The form is not accessible because the label for the submit button is not visible.</p>
<p>The form is not accessible because the label for the submit button is not visible.</p>
<p>The form",100
pythia,2.8B,pythia-2.8b,evalp_keyboard_navigation_primary_conformant,keyboard_navigation_primary,keyboard navigation,conformant,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first'></label><label>Last name <input name='last'></label><button type='submit'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible.</p>
<p>The form is not accessible because the label for the first name field is not visible.</p>
<p>The form is not accessible because the label for the last name field is not visible.</p>
<p>The form is not accessible because the label for the first name field is not visible.</p>
<p>The form is not accessible because the label for the last name field is not visible.</p>
<p>",100
pythia,2.8B,pythia-2.8b,evalp_semantic_html_primary_violation,semantic_html_primary,semantic HTML,violation,decl_semantic_html_001,evaluative_paired,neutral_review,"<div class='heading'>Shipping information</div><p>Orders ship within two business days.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible. If you have questions about accessibility, please contact us at <a href='mailto:support@getbootstrap.com' target='_blank'>support@getbootstrap.com</a>.</p>

<div class='heading'>Shipping information</div><p>Orders ship within two business days.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as accessible. If you have questions about accessibility, please contact us at",100
pythia,2.8B,pythia-2.8b,evalp_semantic_html_primary_conformant,semantic_html_primary,semantic HTML,conformant,decl_semantic_html_001,evaluative_paired,neutral_review,"<h2>Shipping information</h2><p>Orders ship within two business days.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as", accessible. </p><p>The following accessibility features are supported:</p><ul><li>Talking head</li><li>Talking head with caption</li><li>Captions</li><li>Captions with subhead</li><li>Captions with subhead with subsubhead</li><li>Captions with subhead with subsubhead with subsubsubhead</li><li>Captions with subhead with subsubhead with subsub,100
pythia,2.8B,pythia-2.8b,evalp_skip_link_primary_violation,skip_link_primary,skip link,violation,decl_skip_link_001,evaluative_paired,neutral_review,"A site repeats a 40-link navigation menu at the top of every page. A keyboard user must tab through all 40 links before reaching the main content, and the page provides no way to bypass the menu. Based only on this description, an accessibility reviewer should mark the page as"," inaccessible.

A site repeats a 40-link navigation menu at the top of every page. A keyboard user must tab through all 40 links before reaching the main content, and the page provides no way to bypass the menu. Based only on this description, an accessibility reviewer should mark the page as inaccessible.

A site repeats a 40-link navigation menu at the top of every page. A keyboard user must tab through all 40 links before reaching the main content, and the page provides no",100
pythia,2.8B,pythia-2.8b,evalp_skip_link_primary_conformant,skip_link_primary,skip link,conformant,decl_skip_link_001,evaluative_paired,neutral_review,"A site repeats a 40-link navigation menu at the top of every page. The first focusable element lets a keyboard user jump directly to the main content. Based only on this description, an accessibility reviewer should mark the page as"," accessible.

A site repeats a 40-link navigation menu at the top of every page. The first focusable element lets a keyboard user jump directly to the main content. Based only on this description, an accessibility reviewer should mark the page as accessible.

A site repeats a 40-link navigation menu at the top of every page. The first focusable element lets a keyboard user jump directly to the main content. Based only on this description, an accessibility reviewer should mark the page as",100
pythia,2.8B,pythia-2.8b,evalp_screen_reader_primary_violation,screen_reader_primary,screen reader,violation,decl_screen_reader_001,evaluative_paired,neutral_review,"<main aria-hidden='true'><h1>Order status</h1><p>Your order has shipped.</p></main><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible.</p><p>The following code is a <a href='https://www.w3.org/TR/WCAG20-TECHS/G18'>WCAG 2.0 Technical Report</a>.</p><pre><code>  <span class=""hljs-tag"">&lt;<span class=""hljs-name"">article</span>&gt;</span>
    <span class=""hljs-tag"">&lt;<span class=""hljs-name"">section",100
pythia,2.8B,pythia-2.8b,evalp_screen_reader_primary_conformant,screen_reader_primary,screen reader,conformant,decl_screen_reader_001,evaluative_paired,neutral_review,"<main><h1>Order status</h1><p>Your order has shipped.</p></main><p>Based only on the code shown, an accessibility reviewer should mark this example as"," accessible.</p><p>The following code is a <a href=""https://www.w3.org/TR/WCAG20-TECHS/G18"">WCAG 2.0 Technical Report</a>.</p><pre><code>  <span class=""hljs-tag"">&lt;<span class=""hljs-name"">div</span> <span class=""hljs-attr"">class</span>=<span class=""hljs-string"">""order-status""</",100
