model,prompt,source,rank,token,logit
gpt2-medium,skip_link,mlp_final,0,inadequate,32.552
gpt2-medium,skip_link,mlp_final,1,unsustainable,32.079
gpt2-medium,skip_link,mlp_final,2,hazardous,30.864
gpt2-medium,skip_link,mlp_final,3,dangerous,30.836
gpt2-medium,skip_link,mlp_final,4,wasteful,30.675
gpt2-medium,skip_link,mlp_final,5,insufficient,30.497
gpt2-medium,skip_link,mlp_final,6,counterproductive,30.126
gpt2-medium,skip_link,mlp_final,7,debilitating,30.024
gpt2-medium,skip_link,mlp_final,8,corros,29.6
gpt2-medium,skip_link,mlp_final,9,miscon,29.517
gpt2-medium,skip_link,mlp_final,10,humane,29.508
gpt2-medium,skip_link,mlp_final,11,unreal,29.373
gpt2-medium,skip_link,mlp_final,12,problematic,29.147
gpt2-medium,skip_link,mlp_final,13,mistaken,29.0
gpt2-medium,skip_link,mlp_final,14,effic,28.914
gpt2-medium,skip_link,mlp_final,15,deferred,28.745
gpt2-medium,skip_link,mlp_final,16,unthinkable,28.542
gpt2-medium,skip_link,mlp_final,17,corrupt,28.166
gpt2-medium,skip_link,mlp_final,18,perceived,28.018
gpt2-medium,skip_link,mlp_final,19,irresponsible,27.897
gpt2-medium,skip_link,full_model,0,a,13.717
gpt2-medium,skip_link,full_model,1,an,13.026
gpt2-medium,skip_link,full_model,2,used,12.72
gpt2-medium,skip_link,full_model,3,provided,12.582
gpt2-medium,skip_link,full_model,4,displayed,12.252
gpt2-medium,skip_link,full_model,5,required,12.116
gpt2-medium,skip_link,full_model,6,automatically,12.024
gpt2-medium,skip_link,full_model,7,inserted,11.824
gpt2-medium,skip_link,full_model,8,defined,11.567
gpt2-medium,skip_link,full_model,9,something,11.557
gpt2-medium,skip_link,full_model,10,generated,11.491
gpt2-medium,skip_link,full_model,11,often,11.343
gpt2-medium,skip_link,full_model,12,created,11.33
gpt2-medium,skip_link,full_model,13,simply,11.305
gpt2-medium,skip_link,full_model,14,usually,11.272
gpt2-medium,skip_link,full_model,15,shown,11.265
gpt2-medium,skip_link,full_model,16,sent,11.198
gpt2-medium,skip_link,full_model,17,placed,11.122
gpt2-medium,skip_link,full_model,18,one,11.113
gpt2-medium,skip_link,full_model,19,located,11.037
gpt2-medium,color_contrast,mlp_final,0,NET,36.196
gpt2-medium,color_contrast,mlp_final,1,Seym,35.098
gpt2-medium,color_contrast,mlp_final,2,DH,32.36
gpt2-medium,color_contrast,mlp_final,3,horm,30.941
gpt2-medium,color_contrast,mlp_final,4,hygiene,30.404
gpt2-medium,color_contrast,mlp_final,5,mil,29.888
gpt2-medium,color_contrast,mlp_final,6,essentials,29.629
gpt2-medium,color_contrast,mlp_final,7,giene,29.028
gpt2-medium,color_contrast,mlp_final,8,bone,28.707
gpt2-medium,color_contrast,mlp_final,9,chal,28.692
gpt2-medium,color_contrast,mlp_final,10,peripher,28.572
gpt2-medium,color_contrast,mlp_final,11,mund,28.419
gpt2-medium,color_contrast,mlp_final,12,bladder,27.967
gpt2-medium,color_contrast,mlp_final,13,Veh,27.889
gpt2-medium,color_contrast,mlp_final,14,lli,27.731
gpt2-medium,color_contrast,mlp_final,15,tubing,27.672
gpt2-medium,color_contrast,mlp_final,16,pneum,27.608
gpt2-medium,color_contrast,mlp_final,17,cylinders,27.474
gpt2-medium,color_contrast,mlp_final,18,ware,27.257
gpt2-medium,color_contrast,mlp_final,19,LF,27.114
gpt2-medium,color_contrast,full_model,0,it,13.758
gpt2-medium,color_contrast,full_model,1,color,13.146
gpt2-medium,color_contrast,full_model,2,colors,12.831
gpt2-medium,color_contrast,full_model,3,blacks,11.472
gpt2-medium,color_contrast,full_model,4,shadows,11.336
gpt2-medium,color_contrast,full_model,5,contrast,11.212
gpt2-medium,color_contrast,full_model,6,we,10.873
gpt2-medium,color_contrast,full_model,7,lighting,10.828
gpt2-medium,color_contrast,full_model,8,light,10.805
gpt2-medium,color_contrast,full_model,9,colour,10.781
gpt2-medium,color_contrast,full_model,10,you,10.757
gpt2-medium,color_contrast,full_model,11,when,10.75
gpt2-medium,color_contrast,full_model,12,colours,10.745
gpt2-medium,color_contrast,full_model,13,sunlight,10.687
gpt2-medium,color_contrast,full_model,14,different,10.629
gpt2-medium,color_contrast,full_model,15,your,10.59
gpt2-medium,color_contrast,full_model,16,brightness,10.461
gpt2-medium,color_contrast,full_model,17,darker,10.454
gpt2-medium,color_contrast,full_model,18,the,10.419
gpt2-medium,color_contrast,full_model,19,humans,10.409
