compound,layer,head,binding_score,word1,word2,prompt,tokens,word1_idx,word2_idx,domain,model
due_process,0,0,0.1264,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-large
due_process,0,1,0.1251,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-large
due_process,0,2,0.1583,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-large
due_process,0,3,0.0465,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-large
due_process,0,4,0.1576,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-large
due_process,0,5,0.1292,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-large
due_process,0,6,0.2828,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-large
due_process,0,7,0.1355,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-large
due_process,0,8,0.1274,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-large
due_process,0,9,0.1695,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-large
due_process,0,10,0.145,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-large
