domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
legal,due_process,due process,declarative,cloze,Due process is,"a fundamental principle of our democracy. It is the right of every citizen to be treated fairly and fairly treated. It is also the right of every citizen to be free from arbitrary interference with his or her liberty.

The right to due process is not absolute. It is subject to the limitations of the Constitution. It is not absolute. It is subject to the limitations of the Constitution.

The right to due process is not absolute. It is subject to the limitations of the Constitution. It",100,gpt2-medium
legal,equal_protection,equal protection,declarative,cloze,Equal protection refers to,"the principle that all persons have equal rights and obligations under the law. It is a fundamental principle of our legal system that no one should be discriminated against because of his or her race, color, religion, sex, national origin, age, disability, sexual orientation, gender identity, or marital status.

Equal protection is also a principle of our criminal justice system. It is a principle that all persons have equal rights and obligations under the law to be treated fairly and fairly treated. It is",100,gpt2-medium
legal,commerce_clause,commerce clause,declarative,cloze,The commerce clause is,"a clause in the Constitution that allows Congress to regulate commerce among the states. It is a clause that has been used to regulate the interstate transportation of goods and services.

The commerce clause is a clause in the Constitution that allows Congress to regulate commerce among the states. It is a clause that has been used to regulate the interstate transportation of goods and services.

The commerce clause is a clause in the Constitution that allows Congress to regulate commerce among the states. It is a clause that has been",100,gpt2-medium
legal,fifth_amendment,fifth amendment,declarative,cloze,The fifth amendment provides,"that no person shall be deprived of life, liberty, or property, without due process of law. The right to due process is a fundamental right guaranteed by the Constitution. The right to due process is also a fundamental right guaranteed by the Due Process Clause of the Fourteenth Amendment.

The right to due process is also a fundamental right guaranteed by the Due Process Clause of the Fourteenth Amendment. The right to due process is also a fundamental right guaranteed by the Due Process Clause of the Fifth Amendment",100,gpt2-medium
legal,free_speech,free speech,declarative,cloze,Free speech is a right that,"is protected by the First Amendment.

The First Amendment protects the right to free speech, and it is a right that is protected by the First Amendment.

The First Amendment protects the right to free speech, and it is a right that is protected by the First Amendment.

The First Amendment protects the right to free speech, and it is a right that is protected by the First Amendment.

The First Amendment protects the right to free speech, and it is a right that",100,gpt2-medium
legal,strict_liability,strict liability,declarative,cloze,Strict liability is a legal doctrine holding,"that a person is responsible for any damage caused by another person's actions. It is based on the principle that the person who caused the damage is responsible for the consequences of his or her actions.

Strict liability is a legal doctrine holding that a person is responsible for any damage caused by another person's actions. It is based on the principle that the person who caused the damage is responsible for the consequences of his or her actions.

Strict liability is a legal doctrine holding that a",100,gpt2-medium
legal,punitive_damages,punitive damages,declarative,cloze,Punitive damages are awarded to,"the plaintiff in a civil action for damages caused by the defendant's conduct. Punitive damages are awarded to the plaintiff in a civil action for damages caused by the defendant's conduct.

Punitive damages are awarded to the plaintiff in a civil action for damages caused by the defendant's conduct. Punitive damages are awarded to the plaintiff in a civil action for damages caused by the defendant's conduct.

Punitive damages are awarded to the plaintiff in a civil action for damages caused by",100,gpt2-medium
legal,sovereign_immunity,sovereign immunity,declarative,cloze,Sovereign immunity is,"a privilege granted by the United States government to individuals who are not subject to criminal prosecution. It is granted to individuals who are not subject to the laws of the United States, and who are not subject to the laws of the State in which they reside.

The United States government has the power to grant sovereign immunity to individuals who are not subject to criminal prosecution. The United States government has the power to grant sovereign immunity to individuals who are not subject to criminal prosecution.

The United States",100,gpt2-medium
legal,grand_indictment,grand indictment,declarative,cloze,A grand indictment is,a formal indictment of a crime. It is a formal indictment of a crime that is punishable by death. It is a formal indictment of a crime that is punishable by life imprisonment. It is a formal indictment of a crime that is punishable by death. It is a formal indictment of a crime that is punishable by life imprisonment. It is a formal indictment of a crime that is punishable by life imprisonment. It is a formal indictment of a crime that is punishable by life imprisonment. It is a formal indictment,100,gpt2-medium
legal,guilty_plea,guilty plea,declarative,cloze,A guilty plea is when,"a person agrees to plead guilty to a crime. A guilty plea is a plea of guilty to a crime. A guilty plea is a plea of guilty to a crime.

A guilty plea is a plea of guilty to a crime. A guilty plea is a plea of guilty to a crime.

A guilty plea is a plea of guilty to a crime. A guilty plea is a plea of guilty to a crime.

A guilty plea is a plea of guilty to a crime.",100,gpt2-medium
legal,excessive_bail,excessive bail,declarative,cloze,Excessive bail is prohibited by,"law.

The bail amount is determined by the court and is based on the amount of bail the defendant is expected to pay.

The bail amount is set by the court and is based on the amount of bail the defendant is expected to pay.

The bail amount is set by the court and is based on the amount of bail the defendant is expected to pay.

The bail amount is set by the court and is based on the amount of bail the defendant is expected to",100,gpt2-medium
legal,felony_conviction,felony conviction,declarative,cloze,A felony conviction is,"a serious offense that can result in prison time and a fine.

If you are convicted of a felony, you may be required to register as a sex offender.

If you are convicted of a misdemeanor, you may be required to register as a sex offender.

If you are convicted of a felony, you may be required to register as a sex offender.

If you are convicted of a misdemeanor, you may be required to register as a sex offender.

If",100,gpt2-medium
legal,conditional_parole,conditional parole,declarative,cloze,Conditional parole requires,"that the person be sentenced to a minimum term of imprisonment of at least one year.

Conditional parole is granted to persons who have been convicted of a crime that is a serious crime, such as murder, rape, robbery, aggravated assault, kidnapping, sexual assault, or aggravated battery.

Conditional parole is granted to persons who have been convicted of a crime that is a serious crime, such as murder, rape, robbery, aggravated assault, kidnapping, sexual assault, or aggravated battery",100,gpt2-medium
legal,joint_custody,joint custody,declarative,cloze,Joint custody means,"that the child is in the care of both parents.

Joint custody is a legal arrangement where both parents are legally responsible for the care of their child.

Joint custody is not a legal arrangement where both parents are not legally responsible for the care of their child.

Joint custody is a legal arrangement where both parents are responsible for the care of their child.

Joint custody is a legal arrangement where both parents are responsible for the care of their child.",100,gpt2-medium
legal,material_breach,material breach,declarative,cloze,A material breach is,"a breach of a security system that allows unauthorized access to a computer system.

A breach is a breach of a security system that allows unauthorized access to a computer system.

A material breach is a breach of a security system that allows unauthorized access to a computer system.

A material breach is a breach of a security system that allows unauthorized access to a computer system.

A material breach is a breach of a security system that allows unauthorized access to a computer system.",100,gpt2-medium
legal,adequate_consideration,adequate consideration,declarative,cloze,Adequate consideration in a contract means,"that the parties to the contract have been given adequate consideration in the contract.

The contract is not enforceable unless the parties to the contract have been given adequate consideration in the contract.

The contract is not enforceable unless the parties to the contract have been given adequate consideration in the contract.

The contract is not enforceable unless the parties to the contract have been given adequate consideration in the contract.

The contract is not enforceable unless the parties to the contract have been",100,gpt2-medium
legal,arbitration_clause,arbitration clause,declarative,cloze,An arbitration clause is,"a legal provision that allows a party to seek damages from another party for a breach of contract. It is used to prevent a party from seeking damages from another party for a breach of contract.

The arbitration clause is used to prevent a party from seeking damages from another party for a breach of contract.

The arbitration clause is used to prevent a party from seeking damages from another party for a breach of contract.

The arbitration clause is used to prevent a party from seeking damages from another",100,gpt2-medium
legal,specific_performance,specific performance,declarative,cloze,Specific performance is a remedy that,can be applied to any application. It is not a magic bullet. It is not a magic bullet that will solve all of your problems. It is not a magic bullet that will solve all of your problems. It is not a magic bullet that will solve all of your problems. It is not a magic bullet that will solve all of your problems. It is not a magic bullet that will solve all of your problems. It is not a magic bullet that will solve all of your problems. It is,100,gpt2-medium
legal,preliminary_injunction,preliminary injunction,declarative,cloze,A preliminary injunction is,"in place against the city of San Francisco, which is seeking to block the city's plan to build a new homeless shelter on the site of the former San Francisco Public Library.

The city's lawsuit, filed in federal court in San Francisco, seeks to block the city from building the shelter, which would be located on the former site of the San Francisco Public Library.

The city's lawsuit says the proposed shelter would be a ""public nuisance"" and would be ""unlawful and",100,gpt2-medium
legal,oral_deposition,oral deposition,declarative,cloze,An oral deposition is,"a document that is given to a witness or an attorney to explain a matter. It is usually given in a closed session, and is usually recorded.

The deposition is usually given in a closed session, and is usually recorded.

The deposition is usually given in a closed session, and is usually recorded.

The deposition is usually given in a closed session, and is usually recorded.

The deposition is usually given in a closed session, and is usually recorded.",100,gpt2-medium
legal,personal_jurisdiction,personal jurisdiction,declarative,cloze,Personal jurisdiction refers to,"the right to decide whether to take action in a particular case. It is not a right to take action in a particular case.

Personal jurisdiction is not a right to take action in a particular case.

Personal jurisdiction is not a right to take action in a particular case.

Personal jurisdiction is not a right to take action in a particular case.

Personal jurisdiction is not a right to take action in a particular case.

Personal jurisdiction is not a right to take",100,gpt2-medium
