path,sha256,family,model,label,actual_prompt_condition,duplicate_measurements
results/effective_binding/gpt2/gpt2/natural/gpt2-natural-accessibility.csv,aefacafc83c8be4082af35ee9a8281bca510cdc320333de752039dbc110b29ac,gpt2,gpt2,natural,natural,False
results/effective_binding/gpt2/gpt2/uniform/gpt2-uniform-accessibility.csv,ba66c007db048a57d674ccde631e7fe03727c0678d685ecd707aafa4c4b0c7b7,gpt2,gpt2,uniform,uniform,False
results/effective_binding/gpt2/gpt2-large/natural/gpt2-large-natural-accessibility.csv,97a15e6130a5fb1c3660152dcb6e297b4e104f14bfcce8f891814c6c67686752,gpt2,gpt2-large,natural,uniform,False
results/effective_binding/gpt2/gpt2-large/uniform/gpt2-large-uniform-accessibility.csv,c952fbe49fedb19afcf777c2f29071396ffbef861f9df6c90adcb357028c6f6c,gpt2,gpt2-large,uniform,natural,False
results/effective_binding/gpt2/gpt2-medium/natural/gpt2-medium-natural-accessibility.csv,e35d65b9c37f035b7373bd8c04582b0b9e770eb51f7bf7593378cdbeb3905da0,gpt2,gpt2-medium,natural,natural,False
results/effective_binding/gpt2/gpt2-medium/uniform/gpt2-medium-uniform-accessibility.csv,6e33b03dae381ff10cc7cf17b84bb8a1c526ac958acc26bb0e58bdea8ebc9d80,gpt2,gpt2-medium,uniform,natural,True
results/effective_binding/gpt2/gpt2-xl/natural/gpt2-xl-natural-accessibility.csv,c81d1692c3b1929f4c39bac780a968628cea7e37b53a3b19cf69591ed4e03529,gpt2,gpt2-xl,natural,natural,False
results/effective_binding/gpt2/gpt2-xl/uniform/gpt2-xl-uniform-accessibility.csv,6b3df2745bbad632ee91150a9ac29bc60c9274515b46c6805b14484644d4eac2,gpt2,gpt2-xl,uniform,uniform,False
results/effective_binding/olmo/OLMo-2-0425-1B/natural/OLMo-2-0425-1B-natural-accessibility.csv,78a12594588f00adb2b8c9b1b57d43aa31165d1440714260de5ea6c759cb9e00,olmo,OLMo-2-0425-1B,natural,natural,False
results/effective_binding/olmo/OLMo-2-0425-1B/uniform/OLMo-2-0425-1B-uniform-accessibility.csv,e196eecf64f971ed999cdca6732ab4b1c130af9067c67d5a97e8716c06d9b582,olmo,OLMo-2-0425-1B,uniform,uniform,False
results/effective_binding/olmo/OLMo-2-1124-13B/natural/OLMo-2-1124-13B-natural-accessibility.csv,750dda938aa707fd936c4e5036c91171b031e4d4af9d63adea0506719b87d2e4,olmo,OLMo-2-1124-13B,natural,natural,False
results/effective_binding/olmo/OLMo-2-1124-13B/uniform/OLMo-2-1124-13B-uniform-accessibility.csv,c358a4f94cbf5fd472abb5fedd6cfa8adbf00f0a95e33b6d376106a64dc525b6,olmo,OLMo-2-1124-13B,uniform,uniform,False
results/effective_binding/olmo/OLMo-2-1124-7B/natural/OLMo-2-1124-7B-natural-accessibility.csv,7a5a839b528983214a2d90b3e32bb1ebfc97c531edcc53178914c48f51be8e81,olmo,OLMo-2-1124-7B,natural,natural,False
results/effective_binding/olmo/OLMo-2-1124-7B/uniform/OLMo-2-1124-7B-uniform-accessibility.csv,0078e9e3052bf8c0ec8ded6daa03439e96ebac4da1a366d3ee9a52a2675ae76e,olmo,OLMo-2-1124-7B,uniform,uniform,False
results/effective_binding/pythia/pythia-12b/natural/pythia-12b-natural-accessibility.csv,6a93ca4607f9cc6d2476023899934291ac41c37b2bea9d26ff482216e7277e06,pythia,pythia-12b,natural,natural,False
results/effective_binding/pythia/pythia-12b/uniform/pythia-12b-uniform-accessibility.csv,ed92feab199f97ff3aeeb723784ae18bab4008d3d02b4a5d06e477a23db73823,pythia,pythia-12b,uniform,uniform,False
results/effective_binding/pythia/pythia-160m/natural/pythia-160m-natural-accessibility.csv,d1ca706ff7e97a8e643e071427c66c3be405290066be10bdd815abc73cb880d2,pythia,pythia-160m,natural,natural,False
results/effective_binding/pythia/pythia-160m/uniform/pythia-160m-uniform-accessibility.csv,45d200ae12dd5d62b9593357f15628cd64d710f8ad3c53634aae58fa5d380d30,pythia,pythia-160m,uniform,uniform,False
results/effective_binding/pythia/pythia-1b/natural/pythia-1b-natural-accessibility.csv,b45424f5bba8c08068f7b229168302d278d7996382ecbc37f50cabee3aef17cc,pythia,pythia-1b,natural,natural,False
results/effective_binding/pythia/pythia-1b/uniform/pythia-1b-uniform-accessibility.csv,1da26979a8738f77104a2e6779ea1f9e19dac53f31d3417dbc85acd5c74c608b,pythia,pythia-1b,uniform,uniform,False
results/effective_binding/pythia/pythia-2.8b/natural/pythia-2.8b-natural-accessibility.csv,d5253b937be6b77ffee2237f24cedd864becc04d329d4be5b381feb545a81b60,pythia,pythia-2.8b,natural,natural,False
results/effective_binding/pythia/pythia-2.8b/uniform/pythia-2.8b-uniform-accessibility.csv,0afc805e9be1abc82ba5858a6b39444d24fb4d73a6e6c2a4331d36cf2fc6d72b,pythia,pythia-2.8b,uniform,uniform,False
results/effective_binding/pythia/pythia-410m/natural/pythia-410m-natural-accessibility.csv,d50833bbc920a97848000dd9e164ca20f5be8f952285f4b23565272edf1330a0,pythia,pythia-410m,natural,natural,False
results/effective_binding/pythia/pythia-410m/uniform/pythia-410m-uniform-accessibility.csv,51e96f76358493bc839e52e58ab38243f9f644cbacc7365ee933b07c5ab61b6f,pythia,pythia-410m,uniform,uniform,False
results/effective_binding/pythia/pythia-6.9b/natural/pythia-6.9b-natural-accessibility.csv,3065f1a3633e4495048e8d8569ada7b004f8aa50875c0b52a785ffe9056e893d,pythia,pythia-6.9b,natural,natural,False
results/effective_binding/pythia/pythia-6.9b/uniform/pythia-6.9b-uniform-accessibility.csv,f8b8c38d6548ae8dc38be27e4dd05e2306492aed0d64504054e34e216ffb4efa,pythia,pythia-6.9b,uniform,uniform,False
