suite,scale,model,prompt_id,pair_id,concept,polarity,paired_with,prompt_type,template_type,prompt,output,max_tokens
olmo,13B,OLMo-2-1124-13B,evalp_alt_text_primary_violation,alt_text_primary,alt text,violation,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a <strong>WCAG 2.0 Level A</strong> violation of <a href='http://www.w3.org/TR/WCAG20-TECHS/G18.html'>G18</a> (the image has no text alternative). However, the image is actually a link to a page that describes the product. The link text is ""Heavy-Duty Dish Soap"". The accessibility reviewer should mark this example as having a <strong>WCAG 2.0",100
olmo,13B,OLMo-2-1124-13B,evalp_alt_text_primary_conformant,alt_text_primary,alt text,conformant,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg' alt='Sink filled with dirty dishes'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a failure. The code does not include any alt attribute on the image. However, the image is not critical to the meaning of the page. The image is only decorative, and the text in the paragraph provides the same information as the image. The image is not important to the meaning of the page, so it is not a failure.</p><p>However, if the image were important to the meaning of the page, it would be a failure. For example, if the image were a",100
olmo,13B,OLMo-2-1124-13B,evalp_captions_primary_violation,captions_primary,closed captions,violation,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a <strong>severe</strong> accessibility problem. The video is not accessible to screen readers, and there is no transcript or captioning available. The video is also not accessible to users who have a slow internet connection or who are on a mobile device with a slow connection. The video is also not accessible to users who have a visual impairment and cannot see the video.</p><p>However, the video is not the only content on the page. There is also a transcript of",100
olmo,13B,OLMo-2-1124-13B,evalp_captions_primary_conformant,captions_primary,closed captions,conformant,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls><track kind='captions' src='lecture.vtt' srclang='en' label='English'></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a failure. The video is not accessible to users of screen readers, and the captions are not accessible to users of screen readers. However, the video is accessible to users of screen readers, and the captions are accessible to users of screen readers. The video is accessible because the <code>controls</code> attribute is present, which allows users of screen readers to control the video. The captions are accessible because the <code>srclang</code> attribute is present, which allows users of screen",100
olmo,13B,OLMo-2-1124-13B,evalp_contrast_primary_violation,color_contrast_primary,color contrast,violation,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a failure. The code does not include any ARIA roles or states, and the <code>button</code> element does not have a <code>type</code> attribute. However, the <code>button</code> element is a native HTML element that is inherently keyboard accessible. The <code>button</code> element is a button that can be activated by the user with a mouse, keyboard, or other input device. The <code>button</code> element is",100
olmo,13B,OLMo-2-1124-13B,evalp_contrast_primary_conformant,color_contrast_primary,color contrast,conformant,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a failure. The <code>button</code> element is not a valid replacement for the <code>input</code> element. The <code>button</code> element is not a form control, and it does not have a <code>type</code> attribute. The <code>button</code> element is not a valid replacement for the <code>input</code> element. The <code>button</code> element is not a form control, and it",100
olmo,13B,OLMo-2-1124-13B,evalp_focus_indicator_primary_violation,focus_indicator_primary,focus indicator,violation,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a failure. The button has no label, and the label text is hidden from assistive technology. However, the button is styled to look like a button, and the text Buy now is styled to look like a label. The button is also styled to look like a link, but it is not a link. The button is styled to look like a link, but it is not a link. The button is styled to look like a link, but it is not a link. The button is",100
olmo,13B,OLMo-2-1124-13B,evalp_focus_indicator_primary_conformant,focus_indicator_primary,focus indicator,conformant,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a failure. The button is not labeled with text, and the outline is not visible in most browsers. However, the button is labeled with an image, and the outline is visible in some browsers. The accessibility reviewer should note these facts in the report.</p>",100
olmo,13B,OLMo-2-1124-13B,evalp_keyboard_navigation_primary_violation,keyboard_navigation_primary,keyboard navigation,violation,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first' tabindex='2'></label><label>Last name <input name='last' tabindex='1'></label><button type='submit' tabindex='3'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a <strong>major</strong> issue. The tabindex attribute is not supported by the HTML5 specification, and is not supported by the WAI-ARIA Authoring Practices 1.0. The tabindex attribute is not supported by the HTML5 specification, and is not supported by the WAI-ARIA Authoring Practices 1.0. The tabindex attribute is not supported by the HTML5 specification, and is not supported by the WAI-ARIA Authoring Practices ",100
olmo,13B,OLMo-2-1124-13B,evalp_keyboard_navigation_primary_conformant,keyboard_navigation_primary,keyboard navigation,conformant,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first'></label><label>Last name <input name='last'></label><button type='submit'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a <strong>major</strong> issue. The form has no <code>label</code> element for the <code>first</code> and <code>last</code> <code>input</code> elements. The <code>button</code> element has a <code>label</code> element, but it is not a <code>button</code> element. The <code>button</code> element is a <code>submit</code",100
