prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a computer program that reads the content of a web page to a user. It is used by people who are blind or have low vision, or who cannot use a mouse or other pointing device. A screen reader can read the text on a web page aloud, or can read the text and provide other information about the page, such as the name of the link, the name of the form, the name of the image, and so on. A screen reader can also read the content of a form",100,OLMo-2-1124-7B
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"the Web Content Accessibility Guidelines. It is a set of guidelines that help web developers to make their websites more accessible to people with disabilities. The guidelines are based on the Web Content Accessibility Guidelines 2.0 (WCAG 2.0) and are maintained by the World Wide Web Consortium (W3C). The guidelines are designed to help web developers make their websites more accessible to people with disabilities. The guidelines are divided into three levels: A, AA, and AAA. The AA level is",100,OLMo-2-1124-7B
decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that is used to jump to a specific section of a page. It is usually used to link to a specific section of a page, such as a table of contents, a glossary, or a list of links. Skip links are often used to link to a specific section of a page, such as a table of contents, a glossary, or a list of links. Skip links are often used to link to a specific section of a page, such as a table of contents,",100,OLMo-2-1124-7B
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a description of an image that is useful to people who cannot see the image. This is important for people who use screen readers, or who are browsing with images turned off. It is also important for people who are browsing with images turned on, but who are using a screen magnifier or other assistive technology.

The alt text should be a concise description of the image. It should be written in plain language, and should not include any HTML markup. It should be written in the same",100,OLMo-2-1124-7B
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"the ""Real Estate Settlement Procedures Act."" It requires lenders to give borrowers a written estimate of the costs of their mortgage, including the amount of the loan, the interest rate, the amount of the monthly payment, and the total amount to be paid at the end of the loan. The lender must also give the borrower a copy of the estimate. The borrower must sign a statement saying that he or she has received the estimate and that it is accurate. The borrower must also sign a statement saying that he",100,OLMo-2-1124-7B
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,a light that is used to indicate the focus of the lens. The focus indicator is located on the lens barrel. The focus indicator is a small dot that is visible through the viewfinder. The focus indicator is used to indicate the focus of the lens. The focus indicator is located on the lens barrel. The focus indicator is a small dot that is visible through the viewfinder. The focus indicator is used to indicate the focus of the lens. The focus indicator is located on the lens barrel. The,100,OLMo-2-1124-7B
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to move the cursor around the page using the keyboard. You can use the keyboard to move the cursor to the beginning of the line, the end of the line, the beginning of the paragraph, the end of the paragraph, the beginning of the page, the end of the page, and so on. You can also use the keyboard to move the cursor to the beginning of the line, the end of the line, the beginning of the paragraph, the end of the paragraph, the beginning of",100,OLMo-2-1124-7B
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it helps people with visual impairments to read and use the internet. The contrast between the background and foreground colors of a website is called the contrast ratio. The contrast ratio is the difference between the darkest and lightest colors on a website. The contrast ratio should be at least 4.5:1. This means that the darkest color on a website should be at least 4.5 times darker than the lightest color on the website.

Color contrast is important for people with visual impairments",100,OLMo-2-1124-7B
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,you to create a more accessible website. The Semantic HTML is a set of HTML tags that are used to describe the content of a web page. The tags are used to describe the content of a web page. The tags are used to describe the content of a web page. The tags are used to describe the content of a web page. The tags are used to describe the content of a web page. The tags are used to describe the content of a web page. The tags are used to describe,100,OLMo-2-1124-7B
decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,"the following reasons:

  • To provide access to the deaf and hard of hearing community
  • To provide access to the hearing impaired community
  • To provide access to the non-English speaking community
  • To provide access to the non-reading community
  • To provide access to the non-English speaking community
  • To provide access to the non-reading community
  • To provide access to the non-English speaking community
  • To provide access to the non",100,OLMo-2-1124-7B
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,a very important part of the user experience. It is the first thing that the user sees and interacts with. It is the first thing that the user touches. It is the first thing that the user hears. It is the first thing that the user smells. It is the first thing that the user tastes. It is the first thing that the user touches. It is the first thing that the user sees. It is the first thing that the user hears. It is the first thing that the user,100,OLMo-2-1124-7B
decl_section_heading_001,section heading,declarative,cloze,A section heading is,a heading that is used to break up the content of a page. It is used to make the content easier to read and understand. It is also used to make the page more visually appealing. A section heading is usually a title that is used to describe the content that follows it. It is usually a short phrase that is descriptive of the content that follows it. It is usually a short phrase that is descriptive of the content that follows it. It is usually a short phrase that is descriptive of the,100,OLMo-2-1124-7B
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,"a text that describes the content of a web page. It is used by screen readers to read the content of a web page to a user. It is also used by search engines to index the content of a web page. It is also used by users who cannot see the web page.

A text alternative is a text that describes the content of a web page. It is used by screen readers to read the content of a web page to a user. It is also used by search engines to index",100,OLMo-2-1124-7B
decl_audio_description_001,audio description,declarative,cloze,An audio description is,"a description of the visual elements of a program, such as the setting, the characters, the action, and the sound effects. It is a way for people who are blind or visually impaired to get the same information as everyone else. It is not a transcript of the program, which is a written account of what is said. It is a description of what is happening on the screen.

Audio descriptions are not available for all programs. They are available for programs that are broadcast on television and for movies",100,OLMo-2-1124-7B
decl_sign_language_001,sign language,declarative,cloze,Sign language is,a form of communication that is used by people who are deaf or hard of hearing. It is a language that is used by people who are deaf or hard of hearing. It is a language that is used by people who are deaf or hard of hearing. It is a language that is used by people who are deaf or hard of hearing. It is a language that is used by people who are deaf or hard of hearing. It is a language that is used by people who are deaf or hard of,100,OLMo-2-1124-7B
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,the most important factors in the selection of a suitable material for the production of a product. The material must be able to withstand the conditions of use and the environment in which it is to be used. The material must also be able to withstand the conditions of storage and transportation. The material must also be able to withstand the conditions of use and the environment in which it is to be used. The material must also be able to withstand the conditions of storage and transportation. The material must also be able to,100,OLMo-2-1124-7B
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,"a function that takes a value and returns a boolean. The input purpose is used to determine whether the value is a valid input for the function. For example, the input purpose for the function sum is to add two numbers. The input purpose for the function print is to print a value. The input purpose for the function println is to print a value and a newline character. The input purpose for the function println2 is to print a value and a newline character and a space character. The",100,OLMo-2-1124-7B
decl_target_size_001,target size,declarative,cloze,A target size is,the size of the target that you want to hit. The target size is the size of the target that you want to hit. The target size is the size of the target that you want to hit. The target size is the size of the target that you want to hit. The target size is the size of the target that you want to hit. The target size is the size of the target that you want to hit. The target size is the size of the target that you want to hit,100,OLMo-2-1124-7B
