suite,scale,prompt_type,n,n_coded,n_uncoded,accuracy_pct
pythia,160M,completion,8,8,0,56.2
pythia,160M,control,20,20,0,60.0
pythia,160M,declarative,10,10,0,25.0
pythia,160M,evaluative,5,5,0,10.0
pythia,160M,hypothesis,3,3,0,0.0
pythia,160M,validation,5,5,0,0.0
pythia,410M,completion,8,8,0,75.0
pythia,410M,control,20,20,0,62.5
pythia,410M,declarative,10,10,0,40.0
pythia,410M,evaluative,5,5,0,20.0
pythia,410M,hypothesis,3,3,0,0.0
pythia,410M,validation,5,5,0,20.0
pythia,1B,completion,8,8,0,62.5
pythia,1B,control,20,20,0,52.5
pythia,1B,declarative,10,10,0,30.0
pythia,1B,evaluative,5,5,0,10.0
pythia,1B,hypothesis,3,3,0,0.0
pythia,1B,validation,5,5,0,20.0
pythia,2.8B,completion,8,8,0,68.8
pythia,2.8B,control,20,20,0,70.0
pythia,2.8B,declarative,10,10,0,50.0
pythia,2.8B,evaluative,5,5,0,30.0
pythia,2.8B,hypothesis,3,3,0,0.0
pythia,2.8B,validation,5,5,0,20.0
pythia,6.9B,completion,8,8,0,50.0
pythia,6.9B,control,20,20,0,85.0
pythia,6.9B,declarative,10,10,0,70.0
pythia,6.9B,evaluative,5,5,0,50.0
pythia,6.9B,hypothesis,3,3,0,0.0
pythia,6.9B,validation,5,5,0,40.0
pythia,12B,completion,8,8,0,75.0
pythia,12B,control,20,20,0,75.0
pythia,12B,declarative,10,10,0,50.0
pythia,12B,evaluative,5,5,0,50.0
pythia,12B,hypothesis,3,3,0,33.3
pythia,12B,validation,5,5,0,40.0
gpt2,124M,completion,8,8,0,56.2
gpt2,124M,control,20,20,0,52.5
gpt2,124M,declarative,10,10,0,35.0
gpt2,124M,evaluative,5,5,0,20.0
gpt2,124M,hypothesis,3,3,0,66.7
gpt2,124M,validation,5,5,0,0.0
gpt2,355M,completion,8,8,0,75.0
gpt2,355M,control,20,20,0,65.0
gpt2,355M,declarative,10,10,0,45.0
gpt2,355M,evaluative,5,5,0,20.0
gpt2,355M,hypothesis,3,3,0,33.3
gpt2,355M,validation,5,5,0,40.0
gpt2,774M,completion,8,8,0,50.0
gpt2,774M,control,20,20,0,67.5
gpt2,774M,declarative,10,10,0,55.0
gpt2,774M,evaluative,5,5,0,30.0
gpt2,774M,hypothesis,3,3,0,0.0
gpt2,774M,validation,5,5,0,20.0
gpt2,1.5B,completion,8,8,0,75.0
gpt2,1.5B,control,20,20,0,82.5
gpt2,1.5B,declarative,10,10,0,60.0
gpt2,1.5B,evaluative,5,5,0,10.0
gpt2,1.5B,hypothesis,3,3,0,0.0
gpt2,1.5B,validation,5,5,0,20.0
