prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
cash_flow,cash flow,declarative,cloze,Cash flow is,"the amount of money that a business has in its bank account.

Cash flow is the amount of money that a business has in its bank account.

Cash flow is the amount of money that a business has in its bank account.

Cash flow is the amount of money that a business has in its bank account.

Cash flow is the amount of money that a business has in its bank account.

Cash flow is the amount of money that a business has in its",100,gpt2-large
balance_sheet,balance sheet,declarative,cloze,A balance sheet is,"a financial statement that shows the assets and liabilities of a company. It is a summary of the company's financial position, and it is used to determine the company's financial condition.

A balance sheet is a summary of the company's financial position, and it is used to determine the company's financial condition.

Balance Sheet

A balance sheet is a financial statement that shows the assets and liabilities of a company. It is a summary of the company's financial position, and it is",100,gpt2-large
journal_entry,journal entry,declarative,cloze,A journal entry is,"a short, written statement that is used to record information about a person or event. The entry is usually written in a journal or diary.

A journal entry is usually a short, written statement that is used to record information about a person or event. The entry is usually written in a journal or diary.

A journal entry is usually a short, written statement that is used to record information about a person or event. The entry is usually written in a journal or diary.",100,gpt2-large
accelerated_depreciation,accelerated depreciation,declarative,cloze,Accelerated depreciation is,"a tax deduction that allows you to deduct the cost of a property you own before you sell it.

You can use accelerated depreciation to reduce your tax bill if you sell your home before you have paid all the taxes due on it.

You can use accelerated depreciation to reduce your tax bill if you sell your home before you have paid all the taxes due on it.

You can use accelerated depreciation to reduce your tax bill if you sell your home before you have paid all the taxes",100,gpt2-large
impairment_goodwill,impairment goodwill,declarative,cloze,Goodwill impairment occurs when,"a person's ability to perform a task is impaired by a physical or mental condition. The impairment may be temporary or permanent.

Goodwill impairment can occur in a number of ways. For example, a person may have a physical or mental condition that causes a physical or mental impairment.

Goodwill impairment can also occur when a person's ability to perform a task is impaired by a mental or emotional condition.

Goodwill impairment can be caused by a number of factors, including:",100,gpt2-large
yield_maturity,yield maturity,declarative,cloze,Yield to maturity is,"the amount of time a crop can be harvested before it is ready to be harvested again.

Yield to maturity is the amount of time a crop can be harvested before it is ready to be harvested again.

Yield to maturity is the amount of time a crop can be harvested before it is ready to be harvested again.

Yield to maturity is the amount of time a crop can be harvested before it is ready to be harvested again.

Yield to maturity is",100,gpt2-large
bond_coupon,bond coupon,declarative,cloze,A bond coupon is,"a type of interest-bearing debt that is issued by a bank or other financial institution. Bonds are issued by the Federal Reserve Bank of New York, the Federal Reserve Bank of Chicago, the Federal Reserve Bank of Richmond, the Federal Reserve Bank of San Francisco, the Federal Reserve Bank of Atlanta, the Federal Reserve Bank of New York, the Federal Reserve Bank of Richmond, the Federal Reserve Bank of Chicago, the Federal Reserve Bank of San Francisco, the Federal Reserve Bank of Richmond, the Federal Reserve Bank",100,gpt2-large
credit_spread,credit spread,declarative,cloze,A credit spread is,"a type of credit that is used to pay for a loan. The credit spread is a type of credit that is used to pay for a loan.

Credit spreads are used to pay for a loan. The credit spread is a type of credit that is used to pay for a loan.

Credit spreads are used to pay for a loan. The credit spread is a type of credit that is used to pay for a loan.

Credit spreads are used to pay for a loan.",100,gpt2-large
modified_duration,modified duration,declarative,cloze,Modified duration measures,"are used to measure the time it takes for a person to complete a task. The modified duration measure is a measure of the time it takes to complete a task. The modified duration measure is a measure of the time it takes to complete a task.

Modified duration measures are used to measure the time it takes for a person to complete a task. The modified duration measure is a measure of the time it takes to complete a task. The modified duration measure is a measure of the time it",100,gpt2-large
interest_swap,interest swap,declarative,cloze,An interest swap is,"a type of interest swap in which the parties to the swap agree to pay a fixed amount of money to each other in exchange for a fixed amount of money. Interest swaps are often used to hedge risk.

Interest swaps are often used to hedge risk.

Interest swaps are often used to hedge risk.

Interest swaps are often used to hedge risk.

Interest swaps are often used to hedge risk.

Interest swaps are often used to hedge risk.

Interest swaps",100,gpt2-large
