domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
legal,due_process,due process,declarative,cloze,Due process is,"a cornerstone of our democracy. It ensures that people are treated fairly and with dignity. It is also a cornerstone of our criminal justice system.

The Supreme Court has long recognized that the Due Process Clause of the Fourteenth Amendment protects the right to a fair trial. The Court has also recognized that the Due Process Clause of the Fifth Amendment protects the right to a fair trial.

The Court has also recognized that the Due Process Clause of the Sixth Amendment protects the right to a fair trial",100,pythia-1b
legal,equal_protection,equal protection,declarative,cloze,Equal protection refers to,"the principle that all persons are entitled to equal protection of the law. The United States Supreme Court has held that the Fourteenth Amendment to the United States Constitution guarantees equal protection of the law to all persons within the United States. The United States Supreme Court has held that the Fourteenth Amendment to the United States Constitution guarantees equal protection of the law to all persons within the United States.

The United States Supreme Court has held that the Fourteenth Amendment to the United States Constitution guarantees equal protection of the law to all",100,pythia-1b
legal,commerce_clause,commerce clause,declarative,cloze,The commerce clause is,"the most important part of the Constitution. It is the only part that allows Congress to regulate commerce. The Commerce Clause is the only part of the Constitution that allows Congress to regulate commerce.

The Commerce Clause is the most important part of the Constitution. It is the only part that allows Congress to regulate commerce. The Commerce Clause is the only part that allows Congress to regulate commerce.

The Commerce Clause is the most important part of the Constitution. It is the only part that allows Congress to",100,pythia-1b
legal,fifth_amendment,fifth amendment,declarative,cloze,The fifth amendment provides,"that no person shall be deprived of life without due process of law. The Supreme Court has held that the Due Process Clause of the Fourteenth Amendment protects against state action that deprives a person of life, liberty, or property without due process of law. The Due Process Clause of the Fourteenth Amendment provides that no state shall deprive any person of life, liberty, or property without due process of law.

The Fifth Amendment provides that no person shall be deprived of life, liberty, or property without due",100,pythia-1b
legal,free_speech,free speech,declarative,cloze,Free speech is a right that,"is protected by the First Amendment. The First Amendment protects the right to speak freely, and it is the right of every citizen to express his or her views without fear of retribution.

The First Amendment is not a license to harass, intimidate, or silence. It is a shield that protects the right of free speech.

The First Amendment is not a license to harass, intimidate, or silence. It is a shield that protects the right of free speech.

The",100,pythia-1b
legal,strict_liability,strict liability,declarative,cloze,Strict liability is a legal doctrine holding,"that a person who causes an injury to another is not liable for the injury unless the person who caused the injury is also liable for the injury.

Strict liability is a legal doctrine holding that a person who causes an injury to another is not liable for the injury unless the person who caused the injury is also liable for the injury.

Strict liability is a legal doctrine holding that a person who causes an injury to another is not liable for the injury unless the person who caused the injury",100,pythia-1b
legal,punitive_damages,punitive damages,declarative,cloze,Punitive damages are awarded to,"a person who has been injured by a wrongful act. Punitive damages are awarded to a person who has been injured by a wrongful act that is not a tort. Punitive damages are awarded to a person who has been injured by a wrongful act that is a tort.

Punitive damages are awarded to a person who has been injured by a wrongful act that is a tort. Punitive damages are awarded to a person who has been injured by a wrongful act that is a tort.",100,pythia-1b
legal,sovereign_immunity,sovereign immunity,declarative,cloze,Sovereign immunity is,"a legal doctrine that protects a state from being sued by its own citizens. The doctrine is based on the principle that a state cannot be sued by its own citizens.

The doctrine is a legal fiction, and is not a legal reality. The doctrine is a legal fiction, and is not a legal reality.

The doctrine is a legal fiction, and is not a legal reality. The doctrine is a legal fiction, and is not a legal reality.

The doctrine is a legal",100,pythia-1b
legal,grand_indictment,grand indictment,declarative,cloze,A grand indictment is,"a formal accusation of guilt, and the grand jury is the body that decides whether to bring charges against a defendant. The grand jury is composed of 12 to 15 members, and each member is appointed by the presiding judge. The grand jury is charged with determining whether to bring charges against a defendant, and if so, what charges to bring.

The grand jury is charged with determining whether to bring charges against a defendant, and if so, what charges to bring.

The grand jury",100,pythia-1b
legal,guilty_plea,guilty plea,declarative,cloze,A guilty plea is when,"a person pleads guilty to a crime and is sentenced to a prison term. A guilty plea is not a conviction.

A guilty plea is when a person pleads guilty to a crime and is sentenced to a prison term. A guilty plea is not a conviction.

A guilty plea is when a person pleads guilty to a crime and is sentenced to a prison term. A guilty plea is not a conviction.

A guilty plea is when a person pleads guilty to a",100,pythia-1b
legal,excessive_bail,excessive bail,declarative,cloze,Excessive bail is prohibited by,"the Constitution. It is a violation of the Constitution to hold someone in jail without a trial. It is a violation of the Constitution to hold someone in jail without a trial when the person is not guilty of the crime. It is a violation of the Constitution to hold someone in jail without a trial when the person is not guilty of the crime.

The Constitution is the supreme law of the land. It is the supreme law of the land. It is the supreme law of the land. It",100,pythia-1b
legal,felony_conviction,felony conviction,declarative,cloze,A felony conviction is,"a serious matter. It can have a devastating impact on your life, your career, and your future.

The following is a list of felony convictions that are considered serious.

Felony Convictions

Felony Convictions

Felony Conviction

Felony Conviction

Felony Conviction

Felony Conviction

Felony Conviction

Felony Conviction

Felony Conviction

Felony Conviction

Felony",100,pythia-1b
legal,conditional_parole,conditional parole,declarative,cloze,Conditional parole requires,"a judge to make a finding that the defendant will not commit another crime if released.

The judge must also make a finding that the defendant will not commit another crime if released on parole.

The judge must also make a finding that the defendant will not commit another crime if released on parole.

The judge must also make a finding that the defendant will not commit another crime if released on parole.

The judge must also make a finding that the defendant will not commit another crime",100,pythia-1b
legal,joint_custody,joint custody,declarative,cloze,Joint custody means,"that the child is in the custody of both parents. The child is in the custody of both parents, but the parents are not in the same room.

Joint custody means that the child is in the custody of both parents. The child is in the custody of both parents, but the parents are not in the same room.

Joint custody means that the child is in the custody of both parents. The child is in the custody of both parents, but the parents are not in the",100,pythia-1b
legal,material_breach,material breach,declarative,cloze,A material breach is,"a serious incident that can have a significant impact on a company’s reputation. It can also have a significant impact on the company’s bottom line.

A material breach is a serious incident that can have a significant impact on a company’s reputation. It can also have a significant impact on the company’s bottom line.

A material breach is a serious incident that can have a significant impact on a company’s reputation. It can also have a significant impact on the company",100,pythia-1b
legal,adequate_consideration,adequate consideration,declarative,cloze,Adequate consideration in a contract means,"that the parties have a good understanding of the terms and conditions of the contract.

Adequate consideration means that the contract is fair and reasonable in all respects.

Adequate consideration means that the contract is fair and reasonable in all respects.

Adequate consideration means that the contract is fair and reasonable in all respects.

Adequate consideration means that the contract is fair and reasonable in all respects.

Adequate consideration means",100,pythia-1b
legal,arbitration_clause,arbitration clause,declarative,cloze,An arbitration clause is,"a provision in a contract that allows a party to demand a certain type of arbitration. The arbitration clause may be either a written or oral agreement. The written arbitration clause is typically contained in a written contract, while the oral arbitration clause is typically contained in a written contract.

The arbitration clause is typically contained in a written contract, while the oral arbitration clause is typically contained in a written contract.

The arbitration clause is typically contained in a written contract, while the oral arbitration clause is typically",100,pythia-1b
legal,specific_performance,specific performance,declarative,cloze,Specific performance is a remedy that,is used to treat a disease or condition. Specific performance is a remedy that is used to treat a disease or condition that is caused by a specific disease or condition. Specific performance is a remedy that is used to treat a disease or condition that is caused by a specific disease or condition. Specific performance is a remedy that is used to treat a disease or condition that is caused by a specific disease or condition. Specific performance is a remedy that is used to treat a disease or condition that is caused by a,100,pythia-1b
legal,preliminary_injunction,preliminary injunction,declarative,cloze,A preliminary injunction is,"a temporary restraining order that prevents a party from taking certain actions. It is a legal tool that can be used to prevent a party from doing something that is illegal.

A preliminary injunction is a temporary restraining order that prevents a party from taking certain actions. It is a legal tool that can be used to prevent a party from doing something that is illegal.

A preliminary injunction is a temporary restraining order that prevents a party from taking certain actions. It is a legal tool that can be used",100,pythia-1b
