prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a software program that reads aloud the text on a computer screen to a blind or visually impaired person. Screen readers are used by people who are blind or have low vision. Screen readers are also used by people who have trouble seeing the screen because of eye strain, fatigue, or other reasons. Screen readers are also used by people who are deaf or hard of hearing.

Screen readers are also used by people who are deaf or hard of hearing. Screen readers are also used by people who are deaf or hard",100,OLMo-2-0425-1B
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"""W3C WCAG 2.0"" and is the latest version of the Web Content Accessibility Guidelines (WCAG) 2.0. The WCAG 2.0 is a set of guidelines that are designed to help people with disabilities to use the web. The WCAG 2.0 is a set of guidelines that are designed to help people with disabilities to use the web. The WCAG 2.0 is a set of guidelines that are designed to help people with",100,OLMo-2-0425-1B
decl_skip_link_001,skip link,declarative,cloze,A skip link is,a type of link that is used to connect two or more points in a building. It is a type of link that is used to connect two or more points in a building. It is a type of link that is used to connect two or more points in a building. It is a type of link that is used to connect two or more points in a building. It is a type of link that is used to connect two or more points in a building. It is a type of link that,100,OLMo-2-0425-1B
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a description of the image that is accessible to people who cannot see the image. It is also used by search engines to index images. The alt text should be descriptive and not just a description of the image. For example, if the image is of a person, the alt text should be something like “person” or “person with glasses”. If the image is of a car, the alt text should be something like “car” or “car with wheels”. The alt text should be",100,OLMo-2-0425-1B
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"""the world of the arts and sciences"" and is the name of the first international congress of the arts and sciences. The congress was held in Rome in 1882 and was attended by 1,500 delegates from 30 countries. The congress was organized by the Italian government and was the first international congress of the arts and sciences. The congress was held in Rome in 1882 and was attended by 1,500 delegates from 30 countries. The congress was organized by the Italian government",100,OLMo-2-0425-1B
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,a measure of the focus of a particular topic. It is a measure of the extent to which a topic is the focus of a particular discourse. It is a measure of the extent to which a topic is the focus of a particular discourse. It is a measure of the extent to which a topic is the focus of a particular discourse. It is a measure of the extent to which a topic is the focus of a particular discourse. It is a measure of the extent to which a topic is the focus,100,OLMo-2-0425-1B
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to move around the screen by using the arrow keys. You can also use the keyboard to navigate the screen by pressing the up and down arrow keys. Pressing the left and right arrow keys will move you to the left and right of the screen, respectively. Pressing the up and down arrow keys will move you up and down the screen, respectively. Pressing the left and right arrow keys will move you to the left and right of the screen, respectively. Pressing the up and down",100,OLMo-2-0425-1B
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it helps the reader to distinguish between different parts of the text. The contrast between the text and the background is also important. The background should be a solid color, and the text should be a contrasting color. The contrast between the text and the background should be at least 1.5:1. The contrast between the text and the background should be at least 1.5:1. The contrast between the text and the background should be at least 1.5:1. The",100,OLMo-2-0425-1B
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"you to create semantic HTML. This is a good thing. But it also means that you have to be careful about what you do. If you use a lot of semantic HTML, you will have to write a lot of code. This is a bad thing. If you use a lot of semantic HTML, you will have to write a lot of code. This is a bad thing. If you use a lot of semantic HTML, you will have to write a lot of code. This is a bad",100,OLMo-2-0425-1B
decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,"the following purposes:

  • To provide a text description of the visual content of a video.
  • To provide a text description of the audio content of a video.
  • To provide a text description of the audio content of a video and the visual content of a video.
  • To provide a text description of the visual content of a video and the audio content of a video.
  • To provide a text description of the audio content of a video and the visual content of a video.",100,OLMo-2-0425-1B
