domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
finance,cash_flow,cash flow,declarative,cloze,Cash flow is,4,5.1947,3.4308,7.0014,3.4308,OLMo-2-1124-13B
finance,balance_sheet,balance sheet,declarative,cloze,A balance sheet is,5,4.7976,2.0503,7.9966,2.0503,OLMo-2-1124-13B
finance,journal_entry,journal entry,declarative,cloze,A journal entry is,5,4.7767,3.2595,7.9966,1.4259,OLMo-2-1124-13B
finance,accelerated_depreciation,accelerated depreciation,declarative,cloze,Accelerated depreciation is,5,4.2058,2.1609,7.0014,1.4364,OLMo-2-1124-13B
finance,impairment_goodwill,impairment goodwill,declarative,cloze,Goodwill impairment occurs when,6,4.3757,2.2225,7.0014,0.4849,OLMo-2-1124-13B
finance,yield_maturity,yield maturity,declarative,cloze,Yield to maturity is,6,4.8277,2.2743,7.0014,2.2743,OLMo-2-1124-13B
finance,bond_coupon,bond coupon,declarative,cloze,A bond coupon is,5,4.7437,1.9887,7.9966,1.9887,OLMo-2-1124-13B
finance,credit_spread,credit spread,declarative,cloze,A credit spread is,5,4.6524,2.1754,7.9966,2.1754,OLMo-2-1124-13B
finance,modified_duration,modified duration,declarative,cloze,Modified duration measures,4,4.672,1.1805,7.3766,1.1805,OLMo-2-1124-13B
finance,interest_swap,interest swap,declarative,cloze,An interest swap is,5,4.0807,1.6376,7.0014,1.6376,OLMo-2-1124-13B
finance,call_option,call option,declarative,cloze,A call option gives,5,4.2666,1.381,7.9966,1.381,OLMo-2-1124-13B
finance,commodity_futures,commodity futures,declarative,cloze,Commodity futures are,5,5.3213,5.0777,7.0014,4.3083,OLMo-2-1124-13B
finance,currency_hedge,currency hedge,declarative,cloze,A currency hedge is,5,4.975,2.0413,7.9966,2.0413,OLMo-2-1124-13B
finance,implied_volatility,implied volatility,declarative,cloze,Implied volatility refers to,6,3.5581,1.2277,7.0014,0.0589,OLMo-2-1124-13B
finance,zero_collar,zero collar,declarative,cloze,A zero collar strategy,5,5.8039,3.2645,7.9966,3.2645,OLMo-2-1124-13B
finance,diluted_earnings,diluted earnings,declarative,cloze,Diluted earnings per share is,8,4.5036,3.2571,7.5867,0.0957,OLMo-2-1124-13B
finance,price_ratio,price ratio,declarative,cloze,The price to earnings ratio is,7,4.1401,2.7249,8.3991,1.2372,OLMo-2-1124-13B
finance,preferred_dividend,preferred dividend,declarative,cloze,A preferred dividend is,5,5.0489,2.0488,7.9966,2.0488,OLMo-2-1124-13B
finance,financial_leverage,financial leverage,declarative,cloze,Financial leverage is,4,5.214,3.3162,7.0014,3.3162,OLMo-2-1124-13B
finance,debt_covenant,debt covenant,declarative,cloze,A debt covenant is,5,4.8691,1.4317,7.9966,1.4317,OLMo-2-1124-13B
finance,capital_structure,capital structure,declarative,cloze,Capital structure refers to,5,3.2724,0.8742,7.0014,0.094,OLMo-2-1124-13B
finance,due_diligence,due diligence,declarative,cloze,Due diligence is,4,3.9885,3.257,7.0014,1.3853,OLMo-2-1124-13B
finance,public_offering,public offering,declarative,cloze,A public offering is,5,5.4963,2.7229,7.9966,2.7229,OLMo-2-1124-13B
finance,market_liquidity,market liquidity,declarative,cloze,Market liquidity refers to,5,3.4932,1.0882,7.0014,0.0723,OLMo-2-1124-13B
finance,trade_settlement,trade settlement,declarative,cloze,Trade settlement is,4,5.7069,4.0347,7.0014,4.0347,OLMo-2-1124-13B
finance,central_clearing,central clearing,declarative,cloze,Central clearing houses,4,5.3345,4.2128,7.0014,4.1842,OLMo-2-1124-13B
finance,maintenance_margin,maintenance margin,declarative,cloze,A maintenance margin is,5,5.0211,2.2779,7.9966,2.2779,OLMo-2-1124-13B
finance,regulatory_compliance,regulatory compliance,declarative,cloze,Regulatory compliance means,5,5.2713,4.6814,7.0014,4.1108,OLMo-2-1124-13B
finance,money_laundering,money laundering,declarative,cloze,Money laundering is,4,5.0937,2.9687,7.0014,2.9687,OLMo-2-1124-13B
finance,asset_allocation,asset allocation,declarative,cloze,Asset allocation is,4,4.8106,2.9153,7.0014,2.9153,OLMo-2-1124-13B
finance,systemic_risk,systemic risk,declarative,cloze,Systemic risk is,5,5.1503,3.956,7.0014,3.956,OLMo-2-1124-13B
finance,stress_test,stress test,declarative,cloze,A stress test is,5,5.1168,2.5016,7.9966,2.5016,OLMo-2-1124-13B
finance,credit_default,credit default,declarative,cloze,A credit default is,5,4.2414,2.9906,7.9966,0.2444,OLMo-2-1124-13B
finance,stock_market,stock market,declarative,cloze,The stock market is,5,5.4082,5.278,8.3991,2.2877,OLMo-2-1124-13B
finance,mutual_fund,mutual fund,declarative,cloze,A mutual fund is,5,4.4413,1.5827,7.9966,1.5827,OLMo-2-1124-13B
finance,hedge_fund,hedge fund,declarative,cloze,A hedge fund is,5,4.7075,1.9457,7.9966,1.9457,OLMo-2-1124-13B
finance,bear_market,bear market,declarative,cloze,A bear market is,5,5.2509,2.8757,7.9966,2.8757,OLMo-2-1124-13B
finance,bull_market,bull market,declarative,cloze,A bull market is,5,5.4494,3.351,7.9966,3.351,OLMo-2-1124-13B
finance,credit_rating,credit rating,declarative,cloze,A credit rating is,5,4.7976,2.5869,7.9966,2.5869,OLMo-2-1124-13B
finance,tax_shelter,tax shelter,declarative,cloze,A tax shelter is,5,5.1179,2.0118,7.9966,2.0118,OLMo-2-1124-13B
finance,venture_capital,venture capital,declarative,cloze,Venture capital is,5,4.7384,4.0867,7.0014,2.827,OLMo-2-1124-13B
finance,prime_rate,prime rate,declarative,cloze,The prime rate is,5,5.0771,3.3655,8.3991,3.1849,OLMo-2-1124-13B
finance,fiscal_policy,fiscal policy,declarative,cloze,Fiscal policy refers to,6,4.1586,2.3278,7.0014,0.1245,OLMo-2-1124-13B
finance,trade_deficit,trade deficit,declarative,cloze,A trade deficit occurs when,6,4.1855,1.504,7.9966,0.431,OLMo-2-1124-13B
