domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
control,blue_sky,blue sky,declarative,cloze,A blue sky is,"a sign of good weather, but it can also be a sign of a blue moon. The term blue moon is used to describe the second full moon in a calendar month. The term blue moon is also used to describe the second full moon in a season. The term blue moon is also used to describe the second full moon in a year. The term blue moon is also used to describe the second full moon in a season. The term blue moon is also used to describe the second full moon in",100,OLMo-2-0425-1B
control,cold_water,cold water,declarative,cloze,Cold water is typically characterized by,"a high temperature and a low density. The density of cold water is typically 0.9 to 1.0 times that of warm water. Cold water is typically less dense than warm water, and therefore sinks. Cold water is also less dense than warm water, and therefore floats. Cold water is less dense than warm water, and therefore sinks. Cold water is less dense than warm water, and therefore floats. Cold water is less dense than warm water, and therefore sinks. Cold water is",100,OLMo-2-0425-1B
control,ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,"milk or cream and flavored with sugar, fruit, nuts, or other ingredients. Ice cream is a popular food in many countries, and is often served as a dessert or as a snack. Ice cream is made by freezing a mixture of milk or cream, sugar, and flavorings. Ice cream is usually served in small portions, and is often eaten with a spoon. Ice cream is often eaten as a dessert, but it can also be eaten as a snack or as a meal. Ice cream is",100,OLMo-2-0425-1B
control,life_jacket,life jacket,declarative,cloze,A life jacket is designed to,keep you afloat in the water. It is a flotation device that is designed to keep you afloat in the water. It is a device that is designed to keep you afloat in the water. It is a device that is designed to keep you afloat in the water. It is a device that is designed to keep you afloat in the water. It is a device that is designed to keep you afloat in the water. It is a device that is designed to keep you a,100,OLMo-2-0425-1B
control,tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,"holding tea. It is usually made of porcelain, but can also be made of china, earthenware, or stoneware. The word ""cup"" is often used to refer to a tea cup, but the word ""cup"" can also refer to a mug, a mug with a handle, or a mug with a handle and a spout. The word ""cup"" can also refer to a mug with a handle and a spout, but the word ""cup"" is often used",100,OLMo-2-0425-1B
control,living_room,living room,declarative,cloze,A living room is,"a place where you can relax and relax. It is a place where you can spend time with your family and friends. It is a place where you can watch TV, play games, read books, and do other activities. It is a place where you can spend time with your family and friends. It is a place where you can spend time with your family and friends. It is a place where you can spend time with your family and friends. It is a place where you can spend time with",100,OLMo-2-0425-1B
control,roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,"uses a series of loops and turns to create a thrilling experience for the riders. The roller coaster is a popular attraction in amusement parks and other places where people can enjoy the thrill of the ride. The roller coaster is a popular attraction in amusement parks and other places where people can enjoy the thrill of the ride. The roller coaster is a popular attraction in amusement parks and other places where people can enjoy the thrill of the ride.

The roller coaster is a popular attraction in amusement parks and other places where people",100,OLMo-2-0425-1B
control,school_bus,school bus,declarative,cloze,A school bus is used to,transport students to and from school. The bus is equipped with a 12-volt DC power supply. The power supply is connected to the battery by a 12-volt DC power cord. The power cord is connected to the battery by a 12-volt DC power plug. The power plug is connected to the power supply by a 12-volt DC power cord. The power cord is connected to the battery by a 12-volt DC power plug. The power plug is connected to,100,OLMo-2-0425-1B
control,grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,"a slice of bread, grilled, and then filled with cheese. The cheese is usually melted, but it can be melted or not. The cheese is usually melted because it is easier to melt than the bread. The cheese is usually melted because it is easier to melt than the bread. The cheese is usually melted because it is easier to melt than the bread. The cheese is usually melted because it is easier to melt than the bread. The cheese is usually melted because it is easier to melt than the",100,OLMo-2-0425-1B
control,peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,"peanuts, which are a legume. Legumes are a type of plant that includes beans, peas, lentils, and peanuts. Legumes are a good source of protein, fiber, and iron. They also contain vitamins A, B, C, and E. Peanuts are also a good source of magnesium, phosphorus, and zinc. Peanuts are also a good source of vitamin E, which is an antioxidant that helps protect the body from free radicals. Free radicals are unstable molecules that",100,OLMo-2-0425-1B
control,hot_chocolate,hot chocolate,declarative,cloze,Hot chocolate is a warm beverage typically made from,"water, milk, and chocolate. It is a popular drink in many countries, especially in the winter. It is also a popular drink in the United States, where it is often served in coffee shops and restaurants. Hot chocolate is often served with whipped cream and marshmallows. It is also often served with a variety of toppings, such as nuts, cinnamon, and chocolate chips.

Hot chocolate is a popular drink in many countries, especially in the winter. It is often served with whipped cream and",100,OLMo-2-0425-1B
control,apple_pie,apple pie,declarative,cloze,Apple pie is a dessert featuring,"a flaky crust and a sweet filling. It is a traditional American dessert, and is often served at Thanksgiving and Christmas. Apple pie is also popular in other countries, such as the United Kingdom, where it is known as apple crumble. Apple pie is also popular in other parts of the world, such as Australia, where it is known as apple crumble. Apple pie is also popular in other parts of the world, such as Australia, where it is known as apple crumble.

Apple",100,OLMo-2-0425-1B
control,orange_juice,orange juice,declarative,cloze,Orange juice is extracted from,the orange fruit. It is a very popular drink in the United States and is also popular in other countries. It is a very healthy drink and is very beneficial for the human body. It is a very good source of vitamin C. It is also a very good source of vitamin A. It is also a very good source of vitamin B. It is also a very good source of vitamin D. It is also a very good source of vitamin E. It is also a very good source of vitamin,100,OLMo-2-0425-1B
control,baked_beans,baked beans,declarative,cloze,Baked beans are,"a staple of the British diet, and they are also a popular side dish in the United States. They are made by cooking dried beans in a sauce of tomato, sugar, and spices. The beans are then baked in the oven until they are tender. Baked beans are often served with grilled or fried meats, such as ham or sausage. They are also often served with baked potatoes or other baked vegetables.

Baked beans are a popular side dish in the United States. They are often served with",100,OLMo-2-0425-1B
