model,prompt,layer,rank,token,logit
pythia-2.8b,skip_link,0,0,ibase,10.137
pythia-2.8b,skip_link,0,1,amsbsy,9.784
pythia-2.8b,skip_link,0,2,,9.711
pythia-2.8b,skip_link,0,3,bolds,9.012
pythia-2.8b,skip_link,0,4,,8.952
pythia-2.8b,skip_link,1,0,ibase,8.923
pythia-2.8b,skip_link,1,1,amssymb,8.834
pythia-2.8b,skip_link,1,2,amsbsy,8.775
pythia-2.8b,skip_link,1,3,munition,8.565
pythia-2.8b,skip_link,1,4,,8.375
pythia-2.8b,skip_link,2,0,amssymb,9.421
pythia-2.8b,skip_link,2,1,ibase,8.784
pythia-2.8b,skip_link,2,2,,8.652
pythia-2.8b,skip_link,2,3,lemn,8.432
pythia-2.8b,skip_link,2,4,amsbsy,8.384
pythia-2.8b,skip_link,3,0,amssymb,10.368
pythia-2.8b,skip_link,3,1,ibase,10.026
pythia-2.8b,skip_link,3,2,ARRANT,9.697
pythia-2.8b,skip_link,3,3,amsbsy,9.692
pythia-2.8b,skip_link,3,4,,9.412
pythia-2.8b,skip_link,4,0,,10.272
pythia-2.8b,skip_link,4,1,ibase,9.984
pythia-2.8b,skip_link,4,2,amssymb,9.86
pythia-2.8b,skip_link,4,3,,9.519
pythia-2.8b,skip_link,4,4,ARRANT,9.286
pythia-2.8b,skip_link,5,0,prehens,8.471
pythia-2.8b,skip_link,5,1,lemn,8.293
pythia-2.8b,skip_link,5,2,=”,8.193
pythia-2.8b,skip_link,5,3,CONTRIBUTORS,7.363
pythia-2.8b,skip_link,5,4,,7.237
pythia-2.8b,skip_link,6,0,HECK,8.39
pythia-2.8b,skip_link,6,1,prehens,8.357
pythia-2.8b,skip_link,6,2,valence,8.139
pythia-2.8b,skip_link,6,3,leman,8.022
pythia-2.8b,skip_link,6,4,CLUDING,7.885
pythia-2.8b,skip_link,7,0,leman,8.926
pythia-2.8b,skip_link,7,1,HECK,8.714
pythia-2.8b,skip_link,7,2,OOST,8.706
pythia-2.8b,skip_link,7,3,prehens,8.675
pythia-2.8b,skip_link,7,4,iring,8.391
pythia-2.8b,skip_link,8,0,thous,11.42
pythia-2.8b,skip_link,8,1,enburg,10.082
pythia-2.8b,skip_link,8,2,NEVER,10.026
pythia-2.8b,skip_link,8,3,typically,10.011
pythia-2.8b,skip_link,8,4,vess,9.683
pythia-2.8b,skip_link,9,0,thous,12.297
pythia-2.8b,skip_link,9,1,branched,11.463
pythia-2.8b,skip_link,9,2,vess,10.893
pythia-2.8b,skip_link,9,3,typically,9.919
pythia-2.8b,skip_link,9,4,IPT,9.703
pythia-2.8b,skip_link,10,0,branched,11.789
pythia-2.8b,skip_link,10,1,HECK,11.7
pythia-2.8b,skip_link,10,2,IPT,11.661
pythia-2.8b,skip_link,10,3,CHANT,11.11
pythia-2.8b,skip_link,10,4,vess,11.026
pythia-2.8b,skip_link,11,0,CLUDING,12.324
pythia-2.8b,skip_link,11,1,HECK,11.283
pythia-2.8b,skip_link,11,2,)}^{(,11.068
pythia-2.8b,skip_link,11,3,vess,10.81
pythia-2.8b,skip_link,11,4,GIN,10.787
pythia-2.8b,skip_link,12,0,CLUDING,11.752
pythia-2.8b,skip_link,12,1,IPT,11.591
pythia-2.8b,skip_link,12,2,always,11.413
pythia-2.8b,skip_link,12,3,typically,11.382
pythia-2.8b,skip_link,12,4,OOST,11.302
pythia-2.8b,skip_link,13,0,OOST,12.507
pythia-2.8b,skip_link,13,1,vess,12.076
pythia-2.8b,skip_link,13,2,usually,11.396
pythia-2.8b,skip_link,13,3,IPT,11.132
pythia-2.8b,skip_link,13,4,generally,10.956
pythia-2.8b,skip_link,14,0,OOST,13.406
pythia-2.8b,skip_link,14,1,usually,12.861
pythia-2.8b,skip_link,14,2,generally,12.81
pythia-2.8b,skip_link,14,3,basically,12.567
pythia-2.8b,skip_link,14,4,typically,12.498
pythia-2.8b,skip_link,15,0,OOST,14.982
pythia-2.8b,skip_link,15,1,usually,14.893
pythia-2.8b,skip_link,15,2,typically,14.24
pythia-2.8b,skip_link,15,3,often,13.927
pythia-2.8b,skip_link,15,4,generally,13.65
pythia-2.8b,skip_link,16,0,generally,19.037
pythia-2.8b,skip_link,16,1,usually,18.325
pythia-2.8b,skip_link,16,2,typically,18.19
pythia-2.8b,skip_link,16,3,basically,17.424
pythia-2.8b,skip_link,16,4,often,15.977
pythia-2.8b,skip_link,17,0,typically,23.714
pythia-2.8b,skip_link,17,1,generally,23.442
pythia-2.8b,skip_link,17,2,usually,23.345
pythia-2.8b,skip_link,17,3,often,20.636
pythia-2.8b,skip_link,17,4,basically,20.075
pythia-2.8b,skip_link,18,0,an,29.42
pythia-2.8b,skip_link,18,1,generally,28.47
pythia-2.8b,skip_link,18,2,a,28.111
pythia-2.8b,skip_link,18,3,usually,28.053
pythia-2.8b,skip_link,18,4,typically,28.012
pythia-2.8b,skip_link,19,0,a,35.914
pythia-2.8b,skip_link,19,1,an,34.792
pythia-2.8b,skip_link,19,2,usually,32.816
pythia-2.8b,skip_link,19,3,generally,32.743
pythia-2.8b,skip_link,19,4,typically,32.208
pythia-2.8b,skip_link,20,0,a,47.214
pythia-2.8b,skip_link,20,1,an,44.451
pythia-2.8b,skip_link,20,2,generally,38.891
pythia-2.8b,skip_link,20,3,usually,38.002
pythia-2.8b,skip_link,20,4,typically,37.506
pythia-2.8b,skip_link,21,0,a,56.867
pythia-2.8b,skip_link,21,1,an,53.562
pythia-2.8b,skip_link,21,2,generally,44.279
pythia-2.8b,skip_link,21,3,one,43.538
pythia-2.8b,skip_link,21,4,usually,42.477
pythia-2.8b,skip_link,22,0,a,68.884
