domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
legal,due_process,due process,declarative,cloze,Due process is,"a fundamental right guaranteed by the 5th and 14th Amendments to the U.S. Constitution. It is the right to be heard before a government official can take away your life, liberty, or property. The right to due process is a fundamental right that is guaranteed to all people in the United States. It is a right that is guaranteed to all people in the United States, regardless of their citizenship status. Due process is a fundamental right that is guaranteed to all people in the United States",100,OLMo-2-1124-13B
legal,equal_protection,equal protection,declarative,cloze,Equal protection refers to,"the 14th Amendment to the U.S. Constitution, which states that no state shall ""deny to any person within its jurisdiction the equal protection of the laws."" The Equal Protection Clause is one of the most important parts of the Constitution, and it has been used to protect the rights of minorities and other groups that have been discriminated against. The Equal Protection Clause is also the basis for the Supreme Court's decision in Brown v. Board of Education, which declared that racial segregation in public schools was",100,OLMo-2-1124-13B
legal,commerce_clause,commerce clause,declarative,cloze,The commerce clause is,"a provision in the U.S. Constitution that gives Congress the power to regulate commerce among the states. The clause is found in Article I, Section 8, Clause 3 of the Constitution. The clause has been the subject of much debate and controversy throughout the history of the United States. The clause has been used to justify a wide range of federal laws, including laws regulating the environment, labor relations, and civil rights. The clause has also been used to strike down state laws that interfere with interstate",100,OLMo-2-1124-13B
legal,fifth_amendment,fifth amendment,declarative,cloze,The fifth amendment provides,"that no person shall be compelled in any criminal case to be a witness against himself. The privilege against self-incrimination is a fundamental right, and it is applicable to all persons, whether citizens or aliens, whether legally or illegally in this country. The privilege is not a mere formality to be gotten rid of by any subterfuge. It is a safeguard to insure that no one may be compelled to incriminate himself. It is a protection against the evils of self-incrimination",100,OLMo-2-1124-13B
legal,free_speech,free speech,declarative,cloze,Free speech is a right that,"is guaranteed by the First Amendment of the United States Constitution. It is a right that is often taken for granted, but it is a right that is very important to the people of the United States. The First Amendment states that “Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances",100,OLMo-2-1124-13B
legal,strict_liability,strict liability,declarative,cloze,Strict liability is a legal doctrine holding,"a person responsible for the harm caused by their actions regardless of their intent or state of mind. In other words, a person is liable for the damage caused by their actions even if they did not intend to cause the harm. Strict liability is often used in cases involving defective products, dangerous animals, and hazardous activities.

Strict liability is a legal doctrine that holds a person liable for the harm caused by their actions, regardless of their intent or state of mind. In other words, a person is liable for",100,OLMo-2-1124-13B
legal,punitive_damages,punitive damages,declarative,cloze,Punitive damages are awarded to,"a plaintiff in a civil lawsuit as a form of punishment to the defendant. Punitive damages are awarded in addition to compensatory damages, which are awarded to compensate the plaintiff for actual damages suffered. Punitive damages are not awarded in every civil lawsuit, and are only awarded in certain circumstances. Punitive damages are usually awarded in cases involving fraud, malice, or gross negligence.

What Are Punitive Damages?

Punitive damages are awarded to a plaintiff in a civil lawsuit as a form of",100,OLMo-2-1124-13B
legal,sovereign_immunity,sovereign immunity,declarative,cloze,Sovereign immunity is,"a legal doctrine that protects government entities from being sued. The doctrine is based on the idea that the government is the ultimate authority in the land and should not be subjected to the same legal standards as individuals. The doctrine is based on the idea that the government is the ultimate authority in the land and should not be subjected to the same legal standards as individuals.

Sovereign immunity is a legal doctrine that protects government entities from being sued. The doctrine is based on the idea that the government is the ultimate",100,OLMo-2-1124-13B
legal,grand_indictment,grand indictment,declarative,cloze,A grand indictment is,"a formal accusation of a crime, made by a grand jury. The grand jury is a group of citizens who listen to evidence of criminal activity. If they find enough evidence, they will issue a grand jury indictment. The grand jury indictment is the first step in the criminal justice process. It is the first time that a person is formally accused of a crime. The grand jury indictment is not a conviction. It is only an accusation. The person who is accused of a crime is called the defendant.",100,OLMo-2-1124-13B
legal,guilty_plea,guilty plea,declarative,cloze,A guilty plea is when,a defendant admits to the crime he or she is charged with. A guilty plea is a formal admission of guilt in court. A guilty plea is a defendant’s way of saying that he or she is guilty of the crime he or she is charged with. A guilty plea is a defendant’s way of saying that he or she is guilty of the crime he or she is charged with. A guilty plea is a defendant’s way of saying that he or she is guilty of the crime he or she is,100,OLMo-2-1124-13B
