compound,layer,head,binding_score,word1,word2,prompt,tokens,word1_idx,word2_idx,domain,model
cash_flow,0,0,0.0232,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,1,0.0003,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,2,0.938,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,3,0.179,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,4,0.0605,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,5,0.0648,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,6,0.0524,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,7,0.0157,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,8,0.962,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,9,0.3371,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,10,0.8715,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,11,0.0878,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,12,0.2444,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,13,0.0241,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,14,0.1729,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,0,15,0.0019,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,0,0.1289,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,1,0.2328,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,2,0.027,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,3,0.3294,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,4,0.2886,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,5,0.1164,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,6,0.8411,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,7,0.005,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,8,0.0541,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,9,0.0671,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,10,0.0157,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,11,0.0581,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,12,0.0454,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,13,0.3953,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,14,0.0772,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
cash_flow,1,15,0.0157,cash,flow,The cash flow statement showed positive operating results,"['<|endoftext|>', 'The', ' cash', ' flow', ' statement', ' showed', ' positive', ' operating', ' results']",2,3,finance,OLMo-2-0425-1B
