model,prompt,layer,rank,token,logit
gpt2-large,skip_link,0,0,not,5.941
gpt2-large,skip_link,0,1,still,5.818
gpt2-large,skip_link,0,2,actually,5.736
gpt2-large,skip_link,0,3,also,5.72
gpt2-large,skip_link,0,4,now,5.42
gpt2-large,skip_link,1,0,not,9.207
gpt2-large,skip_link,1,1,currently,9.057
gpt2-large,skip_link,1,2,still,8.925
gpt2-large,skip_link,1,3,also,8.468
gpt2-large,skip_link,1,4,actually,8.458
gpt2-large,skip_link,2,0,currently,10.653
gpt2-large,skip_link,2,1,not,10.264
gpt2-large,skip_link,2,2,still,9.914
gpt2-large,skip_link,2,3,usually,9.417
gpt2-large,skip_link,2,4,already,9.412
gpt2-large,skip_link,3,0,currently,11.43
gpt2-large,skip_link,3,1,not,10.556
gpt2-large,skip_link,3,2,still,10.034
gpt2-large,skip_link,3,3,usually,9.833
gpt2-large,skip_link,3,4,now,9.797
gpt2-large,skip_link,4,0,currently,10.848
gpt2-large,skip_link,4,1,not,10.755
gpt2-large,skip_link,4,2,usually,10.292
gpt2-large,skip_link,4,3,already,10.09
gpt2-large,skip_link,4,4,Anonymous,9.873
gpt2-large,skip_link,5,0,currently,12.439
gpt2-large,skip_link,5,1,not,11.706
gpt2-large,skip_link,5,2,Anonymous,11.655
gpt2-large,skip_link,5,3,blocked,11.501
gpt2-large,skip_link,5,4,usually,11.475
gpt2-large,skip_link,6,0,currently,13.513
gpt2-large,skip_link,6,1,blocked,13.395
gpt2-large,skip_link,6,2,usually,13.104
gpt2-large,skip_link,6,3,not,13.028
gpt2-large,skip_link,6,4,Anonymous,12.508
gpt2-large,skip_link,7,0,not,14.826
gpt2-large,skip_link,7,1,currently,14.615
gpt2-large,skip_link,7,2,usually,14.532
gpt2-large,skip_link,7,3,blocked,14.077
gpt2-large,skip_link,7,4,NOT,13.635
gpt2-large,skip_link,8,0,currently,16.195
gpt2-large,skip_link,8,1,usually,15.788
gpt2-large,skip_link,8,2,normally,15.556
gpt2-large,skip_link,8,3,not,15.22
gpt2-large,skip_link,8,4,meant,14.947
gpt2-large,skip_link,9,0,currently,17.091
gpt2-large,skip_link,9,1,usually,16.175
gpt2-large,skip_link,9,2,not,16.136
gpt2-large,skip_link,9,3,located,15.962
gpt2-large,skip_link,9,4,meant,15.85
gpt2-large,skip_link,10,0,den,18.766
gpt2-large,skip_link,10,1,usually,18.673
gpt2-large,skip_link,10,2,meant,17.623
gpt2-large,skip_link,10,3,currently,17.572
gpt2-large,skip_link,10,4,normally,17.49
gpt2-large,skip_link,11,0,den,19.743
gpt2-large,skip_link,11,1,usually,19.597
gpt2-large,skip_link,11,2,meant,18.371
gpt2-large,skip_link,11,3,normally,17.74
gpt2-large,skip_link,11,4,NOT,17.29
gpt2-large,skip_link,12,0,usually,20.482
gpt2-large,skip_link,12,1,den,19.616
gpt2-large,skip_link,12,2,meant,19.356
gpt2-large,skip_link,12,3,NOT,18.537
gpt2-large,skip_link,12,4,not,18.231
gpt2-large,skip_link,13,0,usually,21.313
gpt2-large,skip_link,13,1,den,21.148
gpt2-large,skip_link,13,2,meant,20.804
gpt2-large,skip_link,13,3,NOT,19.285
gpt2-large,skip_link,13,4,located,18.869
gpt2-large,skip_link,14,0,usually,24.207
gpt2-large,skip_link,14,1,den,22.841
gpt2-large,skip_link,14,2,meant,21.482
gpt2-large,skip_link,14,3,presumed,20.854
gpt2-large,skip_link,14,4,located,20.193
gpt2-large,skip_link,15,0,usually,28.425
gpt2-large,skip_link,15,1,den,26.4
gpt2-large,skip_link,15,2,meant,24.688
gpt2-large,skip_link,15,3,typically,24.253
gpt2-large,skip_link,15,4,defined,23.8
gpt2-large,skip_link,16,0,usually,30.677
gpt2-large,skip_link,16,1,defined,27.444
gpt2-large,skip_link,16,2,den,27.214
gpt2-large,skip_link,16,3,designed,26.459
gpt2-large,skip_link,16,4,typically,26.328
gpt2-large,skip_link,17,0,usually,31.173
gpt2-large,skip_link,17,1,defined,29.495
gpt2-large,skip_link,17,2,den,28.566
gpt2-large,skip_link,17,3,not,27.791
gpt2-large,skip_link,17,4,designed,26.77
gpt2-large,skip_link,18,0,usually,35.035
gpt2-large,skip_link,18,1,defined,32.354
gpt2-large,skip_link,18,2,den,31.233
gpt2-large,skip_link,18,3,typically,30.466
gpt2-large,skip_link,18,4,not,28.853
gpt2-large,skip_link,19,0,usually,38.397
gpt2-large,skip_link,19,1,defined,36.419
gpt2-large,skip_link,19,2,typically,34.269
gpt2-large,skip_link,19,3,den,33.345
gpt2-large,skip_link,19,4,generally,32.421
gpt2-large,skip_link,20,0,defined,43.612
gpt2-large,skip_link,20,1,usually,43.047
gpt2-large,skip_link,20,2,typically,37.595
gpt2-large,skip_link,20,3,basically,36.677
gpt2-large,skip_link,20,4,generally,35.646
gpt2-large,skip_link,21,0,usually,50.502
gpt2-large,skip_link,21,1,defined,50.388
gpt2-large,skip_link,21,2,typically,43.484
gpt2-large,skip_link,21,3,generally,42.712
gpt2-large,skip_link,21,4,basically,42.499
gpt2-large,skip_link,22,0,defined,57.352
gpt2-large,skip_link,22,1,usually,56.796
gpt2-large,skip_link,22,2,typically,48.852
gpt2-large,skip_link,22,3,generally,45.954
gpt2-large,skip_link,22,4,a,45.929
gpt2-large,skip_link,23,0,defined,63.639
gpt2-large,skip_link,23,1,usually,60.69
gpt2-large,skip_link,23,2,a,53.531
gpt2-large,skip_link,23,3,an,51.594
gpt2-large,skip_link,23,4,typically,51.404
gpt2-large,skip_link,24,0,defined,70.224
gpt2-large,skip_link,24,1,usually,64.686
gpt2-large,skip_link,24,2,a,62.355
gpt2-large,skip_link,24,3,an,60.236
gpt2-large,skip_link,24,4,often,56.204
gpt2-large,skip_link,25,0,defined,72.888
gpt2-large,skip_link,25,1,a,71.082
gpt2-large,skip_link,25,2,usually,68.821
gpt2-large,skip_link,25,3,an,67.237
gpt2-large,skip_link,25,4,often,62.215
gpt2-large,skip_link,26,0,a,85.928
gpt2-large,skip_link,26,1,an,81.251
gpt2-large,skip_link,26,2,defined,75.473
gpt2-large,skip_link,26,3,usually,74.274
gpt2-large,skip_link,26,4,shorthand,69.23
gpt2-large,skip_link,27,0,a,94.712
gpt2-large,skip_link,27,1,an,90.175
gpt2-large,skip_link,27,2,defined,80.593
gpt2-large,skip_link,27,3,usually,80.451
gpt2-large,skip_link,27,4,something,76.914
gpt2-large,skip_link,28,0,a,110.967
gpt2-large,skip_link,28,1,an,105.355
gpt2-large,skip_link,28,2,something,90.86
gpt2-large,skip_link,28,3,usually,87.147
gpt2-large,skip_link,28,4,one,87.067
gpt2-large,skip_link,29,0,a,126.075
gpt2-large,skip_link,29,1,an,117.022
gpt2-large,skip_link,29,2,something,99.591
gpt2-large,skip_link,29,3,one,99.251
gpt2-large,skip_link,29,4,another,95.361
gpt2-large,skip_link,30,0,a,136.934
gpt2-large,skip_link,30,1,an,124.556
gpt2-large,skip_link,30,2,one,111.055
gpt2-large,skip_link,30,3,something,108.131
gpt2-large,skip_link,30,4,another,103.319
gpt2-large,skip_link,31,0,a,153.927
gpt2-large,skip_link,31,1,an,138.808
gpt2-large,skip_link,31,2,one,128.795
gpt2-large,skip_link,31,3,something,120.486
gpt2-large,skip_link,31,4,another,115.08
gpt2-large,skip_link,32,0,a,172.359
gpt2-large,skip_link,32,1,an,153.828
gpt2-large,skip_link,32,2,one,143.48
gpt2-large,skip_link,32,3,something,131.068
gpt2-large,skip_link,32,4,another,127.398
gpt2-large,skip_link,33,0,a,180.432
gpt2-large,skip_link,33,1,an,159.326
gpt2-large,skip_link,33,2,one,155.822
gpt2-large,skip_link,33,3,something,140.491
gpt2-large,skip_link,33,4,not,138.644
gpt2-large,skip_link,34,0,a,191.003
gpt2-large,skip_link,34,1,an,168.958
gpt2-large,skip_link,34,2,one,162.468
gpt2-large,skip_link,34,3,something,148.087
gpt2-large,skip_link,34,4,not,147.463
gpt2-large,skip_link,35,0,a,191.831
gpt2-large,skip_link,35,1,an,168.893
gpt2-large,skip_link,35,2,one,164.472
gpt2-large,skip_link,35,3,not,151.876
gpt2-large,skip_link,35,4,something,148.464
gpt2-large,color_contrast,0,0,they,5.274
gpt2-large,color_contrast,0,1,because,4.951
gpt2-large,color_contrast,0,2,rar,4.839
gpt2-large,color_contrast,0,3,there,4.807
gpt2-large,color_contrast,0,4,typically,4.686
gpt2-large,color_contrast,1,0,they,9.012
gpt2-large,color_contrast,1,1,hyp,8.572
gpt2-large,color_contrast,1,2,Bucc,8.15
gpt2-large,color_contrast,1,3,there,8.056
gpt2-large,color_contrast,1,4,typically,7.936
gpt2-large,color_contrast,2,0,they,10.597
gpt2-large,color_contrast,2,1,there,10.036
gpt2-large,color_contrast,2,2,historically,9.862
gpt2-large,color_contrast,2,3,hyp,9.684
gpt2-large,color_contrast,2,4,people,9.477
gpt2-large,color_contrast,3,0,they,11.906
gpt2-large,color_contrast,3,1,there,11.372
gpt2-large,color_contrast,3,2,historically,11.151
gpt2-large,color_contrast,3,3,inspired,10.949
gpt2-large,color_contrast,3,4,people,10.628
gpt2-large,color_contrast,4,0,they,11.96
gpt2-large,color_contrast,4,1,there,11.394
gpt2-large,color_contrast,4,2,historically,11.032
gpt2-large,color_contrast,4,3,generally,10.98
gpt2-large,color_contrast,4,4,hyp,10.923
gpt2-large,color_contrast,5,0,they,12.662
gpt2-large,color_contrast,5,1,historically,12.621
gpt2-large,color_contrast,5,2,there,12.42
gpt2-large,color_contrast,5,3,people,12.353
gpt2-large,color_contrast,5,4,hyp,12.317
gpt2-large,color_contrast,6,0,they,13.306
gpt2-large,color_contrast,6,1,people,12.564
gpt2-large,color_contrast,6,2,I,12.53
gpt2-large,color_contrast,6,3,hyp,12.245
gpt2-large,color_contrast,6,4,there,12.12
gpt2-large,color_contrast,7,0,they,13.231
gpt2-large,color_contrast,7,1,I,12.803
gpt2-large,color_contrast,7,2,sil,12.515
gpt2-large,color_contrast,7,3,of,12.329
gpt2-large,color_contrast,7,4,hyp,12.26
gpt2-large,color_contrast,8,0,they,13.067
gpt2-large,color_contrast,8,1,of,12.587
gpt2-large,color_contrast,8,2,hyp,11.878
gpt2-large,color_contrast,8,3,sil,11.789
gpt2-large,color_contrast,8,4,I,11.711
gpt2-large,color_contrast,9,0,they,13.855
gpt2-large,color_contrast,9,1,of,13.527
gpt2-large,color_contrast,9,2,hyp,13.394
gpt2-large,color_contrast,9,3,otherwise,13.389
gpt2-large,color_contrast,9,4,people,12.713
gpt2-large,color_contrast,10,0,they,14.745
gpt2-large,color_contrast,10,1,otherwise,14.321
gpt2-large,color_contrast,10,2,there,14.301
gpt2-large,color_contrast,10,3,of,13.761
gpt2-large,color_contrast,10,4,hyp,13.701
gpt2-large,color_contrast,11,0,they,15.991
gpt2-large,color_contrast,11,1,otherwise,15.794
gpt2-large,color_contrast,11,2,many,15.173
gpt2-large,color_contrast,11,3,there,15.094
gpt2-large,color_contrast,11,4,hyp,14.949
gpt2-large,color_contrast,12,0,they,16.718
gpt2-large,color_contrast,12,1,otherwise,15.723
gpt2-large,color_contrast,12,2,people,15.4
gpt2-large,color_contrast,12,3,survival,15.378
gpt2-large,color_contrast,12,4,of,15.132
gpt2-large,color_contrast,13,0,they,17.317
