prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a software application that reads text on a computer screen to a user. A screen reader is typically used by a person with a disability, such as a person who is blind or has low vision. A screen reader is typically used to read text on a computer screen. A screen reader is typically used to read text on a computer screen. A screen reader is typically used to read text on a computer screen. A screen reader is typically used to read text on a computer screen. A screen reader is typically",100,EleutherAI/pythia-6.9b
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"Web Content Accessibility Guidelines. These guidelines are a set of rules that describe how to make web content accessible to people with disabilities.

The W3C is the organization that develops these guidelines. The W3C is a non-profit organization that works to develop web standards.

The W3C has developed a set of guidelines that describe how to make web content accessible to people with disabilities. These guidelines are called the Web Content Accessibility Guidelines (WCAG).

The W",100,EleutherAI/pythia-6.9b
decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that is not displayed in the browser. It is used to jump to a specific location in the page.

The skip link is a link that is not displayed in the browser. It is used to jump to a specific location in the page.

Skip links are used to jump to a specific location in the page. They are used to jump to a specific location in the page.

Skip links are used to jump to a specific location in the page. They are used",100,EleutherAI/pythia-6.9b
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a description of the image.

The alt text is displayed in the image viewer when the image is not displayed.

The alt text is displayed in the image viewer when the image is not displayed.

The alt text is displayed in the image viewer when the image is not displayed.

The alt text is displayed in the image viewer when the image is not displayed.

The alt text is displayed in the image viewer when the image is not displayed.",100,EleutherAI/pythia-6.9b
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"the Association of Research Libraries in Africa. It is a non-profit organisation that promotes the development of research libraries in Africa. It was founded in 1989 and is based in Cape Town, South Africa.

The association is a member of the International Federation of Library Associations and Institutions (IFLA).

The association is a member of the International Federation of Library Associations and Institutions (IFLA).

The association is a member of the International Federation of Library Associations",100,EleutherAI/pythia-6.9b
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,a device that is used to indicate the focus of a camera. The focus indicator is typically a small light source that is located in the viewfinder of the camera. The light source is typically a small light emitting diode (LED) that is located in the viewfinder of the camera. The light source is typically located in the viewfinder of the camera. The light source is typically located in the viewfinder of the camera. The light source is typically located in the viewfinder of the camera. The,100,EleutherAI/pythia-6.9b
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate through the pages of this website. The keyboard navigation uses the up and down arrow keys to move between pages. Use the left and right arrow keys to move between the menu items.

The following keyboard shortcuts are supported:

Command

Description

Ctrl+F

Opens the Find box.

Ctrl+H

Opens the Help box.

Ctrl+L

Opens the Find box.

Ctrl+R",100,EleutherAI/pythia-6.9b
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it helps us to distinguish objects in our environment. For example, we can easily distinguish a red apple from a green apple, but we can't distinguish a red apple from a yellow apple.

Color contrast is important because it helps us to distinguish objects in our environment. For example, we can easily distinguish a red apple from a green apple, but we can't distinguish a red apple from a yellow apple.

−

The color contrast of an object is the difference between the color",100,EleutherAI/pythia-6.9b
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,you to create semantic HTML. It is a tool that helps you to create semantic HTML. It is a tool that helps you to create semantic HTML. It is a tool that helps you to create semantic HTML. It is a tool that helps you to create semantic HTML. It is a tool that helps you to create semantic HTML. It is a tool that helps you to create semantic HTML. It is a tool that helps you to create semantic HTML. It is a tool that helps you to create semantic,100,EleutherAI/pythia-6.9b
decl_captions_001,captions,declarative,cloze,Captions are used for,"a variety of purposes. They can be used to provide additional information about a video or audio file, or they can be used to provide additional information about a particular portion of a video or audio file. For example, captions can be used to provide additional information about a particular scene, a particular character, or a particular object.
Captions are typically provided by a captioning service. A captioning service is a service that provides captions for a video or audio file. The captioning service",100,EleutherAI/pythia-6.9b
