domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
medical,oxygen_saturation,oxygen saturation,declarative,cloze,Oxygen saturation refers to,"the amount of oxygen in the blood. The normal range for oxygen saturation is 95-100%. Oxygen saturation is measured by a pulse oximeter, which is a small device that clips to the finger or earlobe. The pulse oximeter measures the amount of oxygen in the blood by measuring the amount of light absorbed by the blood. The amount of light absorbed is directly related to the amount of oxygen in the blood. The pulse oximeter is a noninvasive device that can be used to monitor",100,OLMo-2-0425-1B
medical,body_temperature,body temperature,declarative,cloze,Body temperature is,a measure of the temperature of the body. It is a measure of the heat content of the body. The body temperature is measured by taking the temperature of the body by using a thermometer. The normal body temperature is 37°C (98.6°F). The body temperature is measured by using a thermometer. The normal body temperature is 37°C (98.6°F). The body temperature is measured by using a thermometer. The normal body temperature is 37°C (98.6°F).,100,OLMo-2-0425-1B
medical,platelet_count,platelet count,declarative,cloze,Platelet count measures,"the number of platelets in a sample of blood. Platelets are small, cell-like fragments of the blood that help blood clot. Platelet counts are used to diagnose and monitor many diseases, including leukemia, lymphoma, and other cancers, as well as other blood disorders. Platelet counts are also used to monitor the effectiveness of chemotherapy and other treatments for cancer. Platelet counts are also used to monitor the effectiveness of treatment for other diseases, such as heart disease, and to monitor the effectiveness",100,OLMo-2-0425-1B
medical,metabolic_panel,metabolic panel,declarative,cloze,A metabolic panel is,"a blood test that measures the amount of certain substances in the blood. The panel includes a complete blood count (CBC), which measures the number of red blood cells, white blood cells, and platelets. It also includes a blood urea nitrogen (BUN) and creatinine test, which measures the amount of nitrogen in the blood. The BUN and creatinine levels are used to measure kidney function. The panel also includes a blood glucose test, which measures the amount of sugar in the blood",100,OLMo-2-0425-1B
medical,bacterial_infection,bacterial infection,declarative,cloze,A bacterial infection is caused by,"a bacterium. The bacteria are usually harmless, but sometimes they can cause a serious infection. Bacterial infections can be treated with antibiotics.

Bacterial infections are caused by bacteria. Bacteria are tiny, single-celled organisms that can cause disease. Bacteria are everywhere, and they are found in the air, on the skin, and in the soil. Bacteria can be found in the digestive system, the urinary tract, and the lungs. Bacteria can also be found in the blood and",100,OLMo-2-0425-1B
medical,magnetic_resonance,magnetic resonance,declarative,cloze,Magnetic resonance imaging is,"a noninvasive imaging technique that uses magnetic fields to produce images of the inside of the body. It is used to diagnose and treat a variety of medical conditions. MRI is a safe and painless procedure that uses no radiation. It is often used to diagnose and treat brain and spinal cord injuries, tumors, and other conditions. MRI is also used to diagnose and treat many other medical conditions, including heart disease, stroke, and other conditions of the nervous system. MRI is also used to diagnose and",100,OLMo-2-0425-1B
medical,multiple_sclerosis,multiple sclerosis,declarative,cloze,Multiple sclerosis is,"a chronic disease that affects the nervous system. It is a disease that is characterized by the inflammation of the myelin sheath, which is the protective layer that surrounds the nerves. The myelin sheath is made up of fatty tissue that is produced by the cells of the immune system. The immune system is responsible for protecting the body from foreign substances. In MS, the immune system attacks the myelin sheath, which causes the nerves to become damaged. The nerves are responsible for sending signals to",100,OLMo-2-0425-1B
medical,complete_remission,complete remission,declarative,cloze,Complete remission means,"that the cancer has been cured. This is the best possible outcome for a cancer patient. However, it is not always possible to achieve complete remission. In some cases, the cancer may return. In other cases, the cancer may be in a stage where it is not possible to cure it completely. In these cases, the cancer is still considered to be in remission.

What is the difference between complete remission and partial remission?

Complete remission means that the cancer has been cured.",100,OLMo-2-0425-1B
medical,bowel_resection,bowel resection,declarative,cloze,A bowel resection is,"a surgical procedure to remove part of the bowel. The bowel is the part of the digestive system that connects the stomach to the anus. The bowel is made up of the small intestine, the large intestine, and the rectum. The bowel resection is done to treat a blockage in the bowel or to remove part of the bowel that is diseased or damaged.

The bowel resection is done to treat a blockage in the bowel or to remove part of the bowel that is diseased or",100,OLMo-2-0425-1B
medical,organ_transplant,organ transplant,declarative,cloze,An organ transplant is,"a procedure in which a healthy organ is transplanted into a patient who is suffering from a life-threatening disease. The organ is transplanted into the patient's body, and the patient's immune system is allowed to reject the organ. The organ is then removed and replaced with a new one. The new organ is transplanted into the patient's body, and the patient's immune system is allowed to reject the new organ. The new organ is then removed and replaced with a new one.",100,OLMo-2-0425-1B
medical,therapeutic_dosage,therapeutic dosage,declarative,cloze,A therapeutic dosage is,the amount of a drug that is used to treat a disease or condition. The therapeutic dosage is usually the same as the dose that is used to produce a therapeutic effect. The therapeutic dosage is usually the same as the dose that is used to produce a therapeutic effect. The therapeutic dosage is usually the same as the dose that is used to produce a therapeutic effect. The therapeutic dosage is usually the same as the dose that is used to produce a therapeutic effect. The therapeutic dosage is usually the same as the,100,OLMo-2-0425-1B
medical,drug_interaction,drug interaction,declarative,cloze,A drug interaction occurs when,"a drug is taken with another drug that can alter the effects of the first drug. Drug interactions can be either positive or negative. A positive drug interaction means that the drug is enhanced or improved. A negative drug interaction means that the drug is decreased or worsened.

Drug interactions can occur with any drug, but they are most likely to occur with drugs that are similar in structure and function. For example, drugs that are similar in structure and function can have similar effects on the body. This means that",100,OLMo-2-0425-1B
medical,antibiotic_resistance,antibiotic resistance,declarative,cloze,Antibiotic resistance is,a major problem in the world of medicine. The development of new antibiotics is a major challenge for the pharmaceutical industry. The development of new antibiotics is a major challenge for the pharmaceutical industry. Antibiotic resistance is a major problem in the world of medicine. The development of new antibiotics is a major challenge for the pharmaceutical industry. Antibiotic resistance is a major problem in the world of medicine. The development of new antibiotics is a major challenge for the pharmaceutical industry. Antibiotic resistance is a major problem in the,100,OLMo-2-0425-1B
medical,gastrointestinal_absorption,gastrointestinal absorption,declarative,cloze,Gastrointestinal absorption refers to,"the digestion and absorption of food in the gastrointestinal tract. The gastrointestinal tract is a long tube that starts at the mouth and ends at the anus. The gastrointestinal tract is made up of the mouth, esophagus, stomach, small intestine, large intestine, and anus. The gastrointestinal tract is responsible for the digestion and absorption of food. The gastrointestinal tract is also responsible for the absorption of water and electrolytes. The gastrointestinal tract is made up of the mouth, esophagus, stomach, small intestine",100,OLMo-2-0425-1B
medical,respiratory_tract,respiratory tract,declarative,cloze,The respiratory tract is,"the most important organ system in the body. It is responsible for the exchange of gases between the body and the environment. The respiratory system is composed of the nose, the mouth, the pharynx, the larynx, the trachea, the bronchi, the bronchioles, the alveoli, and the pulmonary capillaries. The respiratory system is responsible for the exchange of gases between the body and the environment. The respiratory system is composed of the nose, the mouth",100,OLMo-2-0425-1B
medical,cerebral_cortex,cerebral cortex,declarative,cloze,The cerebral cortex is,"the brain’s outer layer. It is responsible for the higher functions of the brain, such as thinking, reasoning, and memory. The cerebral cortex is divided into four lobes: the frontal lobe, the parietal lobe, the temporal lobe, and the occipital lobe. The frontal lobe is responsible for motor functions, such as movement and speech. The parietal lobe is responsible for sensory functions, such as touch, taste, and smell. The temporal",100,OLMo-2-0425-1B
medical,informed_consent,informed consent,declarative,cloze,Informed consent requires,that the patient be given the opportunity to understand the risks and benefits of the proposed treatment. The patient must be able to make an informed decision about the proposed treatment. The patient must be able to understand the risks and benefits of the proposed treatment. The patient must be able to understand the risks and benefits of the proposed treatment. The patient must be able to understand the risks and benefits of the proposed treatment. The patient must be able to understand the risks and benefits of the proposed treatment. The patient must,100,OLMo-2-0425-1B
medical,clinical_trial,clinical trial,declarative,cloze,A clinical trial is,a study that tests a new treatment or treatment combination. Clinical trials are conducted to determine the safety and effectiveness of new treatments. Clinical trials are conducted to determine the safety and effectiveness of new treatments. Clinical trials are conducted to determine the safety and effectiveness of new treatments. Clinical trials are conducted to determine the safety and effectiveness of new treatments. Clinical trials are conducted to determine the safety and effectiveness of new treatments. Clinical trials are conducted to determine the safety and effectiveness of new treatments. Clinical trials are conducted to,100,OLMo-2-0425-1B
medical,nerve_damage,nerve damage,declarative,cloze,Nerve damage can result in,"a variety of symptoms, including pain, tingling, numbness, and weakness. Nerve damage can occur in the neck, back, arms, legs, and hands. Nerve damage can be caused by a variety of factors, including trauma, infection, and disease. Nerve damage can also be caused by a variety of medications, including anticoagulants, anti-seizure medications, and blood pressure medications. Nerve damage can also be caused by a variety of other factors,",100,OLMo-2-0425-1B
medical,chest_pain,chest pain,declarative,cloze,Chest pain can indicate,"a heart attack, but it can also be caused by other conditions. Learn about the symptoms of a heart attack and how to tell if you're having one.

By Mayo Clinic Staff

Chest pain is a common symptom of a heart attack. But chest pain can also be caused by other conditions. Learn about the symptoms of a heart attack and how to tell if you're having one.

Chest pain is a common symptom of a heart attack. But it can also be caused by other conditions.",100,OLMo-2-0425-1B
medical,bone_marrow,bone marrow,declarative,cloze,Bone marrow is,"the source of all blood cells. It is the site of hematopoiesis, the process by which blood cells are produced. The bone marrow is the soft, spongy tissue found in the center of the bones. It is the site of blood cell production. The bone marrow is the site of the production of all blood cells. The bone marrow is the site of the production of all blood cells. The bone marrow is the soft, spongy tissue found in the center of the bones",100,OLMo-2-0425-1B
medical,brain_stem,brain stem,declarative,cloze,The brain stem controls,"the heart and lungs, and it is the part of the brain that is damaged in most cases of stroke. The brain stem is also the part of the brain that is damaged in most cases of brain tumors. The brain stem is the part of the brain that is damaged in most cases of brain injury. The brain stem is the part of the brain that is damaged in most cases of brain trauma. The brain stem is the part of the brain that is damaged in most cases of brain surgery. The",100,OLMo-2-0425-1B
medical,birth_defect,birth defect,declarative,cloze,A birth defect is,"a physical abnormality that occurs during the development of the fetus. Birth defects can affect the structure of the body, the way organs and systems work, or the way the body functions. Birth defects can affect any part of the body, including the brain, heart, eyes, ears, mouth, nose, throat, genitals, and other parts of the body. Birth defects can be present at birth or develop later in life. Birth defects can be present at any time during pregnancy, but most often occur",100,OLMo-2-0425-1B
medical,wound_care,wound care,declarative,cloze,Wound care is,"a critical part of the treatment of any patient with a wound. The wound care team is responsible for the management of the wound and the patient’s overall health. The wound care team is made up of a variety of professionals, including nurses, physicians, and therapists. The wound care team is responsible for the management of the wound and the patient’s overall health. The wound care team is also responsible for the prevention of infection and the promotion of healing.

The wound care team is made up of a variety",100,OLMo-2-0425-1B
