prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a device that allows a user to view a screen of a computer system. Screen readers are typically used to assist a user in navigating a computer system. Screen readers are typically used to assist a user in navigating a computer system by providing a user interface that allows a user to view a screen of the computer system.
Screen readers are typically used to assist a user in navigating a computer system by providing a user interface that allows a user to view a screen of the computer system. Screen readers are typically used",100,EleutherAI/pythia-410m
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"the World Confederation of Agricultural and Food Industries.

WCAG is a global organization of more than 100,000 members, representing more than 100 countries, with more than 1,000 members in more than 100 countries.

WCAG is a member of the World Confederation of Agricultural and Food Industries (WCAGI), a global organization of more than 100,000 members, representing more than 100 countries, with more than 1,000 members in more than 100 countries.

WC",100,EleutherAI/pythia-410m
decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that is not part of the main page.

A skip link is a link that is not part of the main page.

A skip link is a link that is not part of the main page.

A skip link is a link that is not part of the main page.

A skip link is a link that is not part of the main page.

A skip link is a link that is not part of the main page.

A skip",100,EleutherAI/pythia-410m
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a way for users to customize the text of the alt text.

Alt text is a text that is displayed on the screen.

Alt text is a text that is displayed on the screen.

Alt text is a text that is displayed on the screen.

Alt text is a text that is displayed on the screen.

Alt text is a text that is displayed on the screen.

Alt text is a text that is displayed on the screen.",100,EleutherAI/pythia-410m
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for,100,EleutherAI/pythia-410m
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,"a device that is used to indicate the presence of a focus in a camera. The focus indicator is typically a small, light-emitting diode (LED) that is placed in the camera's viewfinder. The LED is turned on when the camera is in focus, and off when the camera is out of focus. The LED is turned off when the camera is in the dark.

The focus indicator is typically mounted on the camera's viewfinder. The focus indicator is typically mounted on the camera",100,EleutherAI/pythia-410m
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate through the various sections of the site.

The site is divided into three sections:

The main site

The main site is the home page of the site.

The main site is the home page of the site.

The main site is the home page of the site.

The main site is the home page of the site.

The main site is the home page of the site.

The main site is the home page",100,EleutherAI/pythia-410m
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it can be used to distinguish between different colors. For example, a person wearing a red shirt and a blue shirt may be wearing a red shirt and a blue shirt, but a person wearing a red shirt and a blue shirt may be wearing a red shirt and a blue shirt.
Color contrast is also important because it can be used to distinguish between different colors. For example, a person wearing a red shirt and a blue shirt may be wearing a red shirt and a blue shirt, but a person",100,EleutherAI/pythia-410m
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"you create a rich, interactive website.

Semantic HTML is a powerful HTML parser that can parse HTML documents and generate HTML code. It is a powerful HTML parser that can parse HTML documents and generate HTML code.

Semantic HTML is a powerful HTML parser that can parse HTML documents and generate HTML code. It is a powerful HTML parser that can parse HTML documents and generate HTML code.

Semantic HTML is a powerful HTML parser that can parse HTML documents and generate HTML code.",100,EleutherAI/pythia-410m
decl_captions_001,captions,declarative,cloze,Captions are used for,"the purpose of providing a clear and concise description of the invention. The description should not be construed as an admission that the invention is prior art to the present disclosure.
In the field of semiconductor devices, there is a need to reduce the size of the devices. In particular, the size of the transistors is reduced to reduce the size of the devices. However, the size of the transistors is limited by the size of the gate electrodes. The gate electrodes are the part of the device that is used",100,EleutherAI/pythia-410m
eval_alt_text_001,alt text,evaluative,code_review,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,"The following code is not accessible because it doesn't have what? <img src='photo.jpg'>

The following code is not accessible because it doesn't have what? <img src='photo.jpg'>

The following code is not accessible because it doesn't have what? <img src='photo.jpg'>

The following code is not accessible because it doesn't have what? <img src='photo.jpg'>

The following code is not accessible",100,EleutherAI/pythia-410m
eval_div_onclick_001,semantic HTML,evaluative,code_review,A <div> with onclick is not accessible because,"it is not a valid HTML element.

A <div> with onclick is not accessible because it is not a valid HTML element.

A <div> with onclick is not accessible because it is not a valid HTML element.

A <div> with onclick is not accessible because it is not a valid HTML element.

A <div> with onclick is not accessible because it is not a valid HTML element.

A <div> with onclick is not accessible because",100,EleutherAI/pythia-410m
