prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,a device that is used to access the internet and other computer applications. It is a device that is used to access the internet and other computer applications. It is a device that is used to access the internet and other computer applications. It is a device that is used to access the internet and other computer applications. It is a device that is used to access the internet and other computer applications. It is a device that is used to access the internet and other computer applications. It is a device that is,100,OLMo-2-0425-1B
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"the ""Web Content Accessibility Guidelines"" and is a set of guidelines for making web content accessible to people with disabilities. WCAG is a set of guidelines, not a law. WCAG is not a replacement for the ADA. WCAG is a set of guidelines that help web developers make their websites accessible to people with disabilities. WCAG is not a replacement for the ADA. WCAG is not a replacement for the ADA. WCAG is not a replacement for the ADA. WCAG is not a",100,OLMo-2-0425-1B
decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that is not a link. It is a link that is used to skip to a specific page. For example, a link to a page that is not a page on the site, but a page that is on the site, but is not the page you are looking for. A link to a page that is not a page on the site, but a page that is on the site, but is not the page you are looking for.

Skip links are used to skip to a specific",100,OLMo-2-0425-1B
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,to describe the image. It is not to describe the image itself. The alt text should be short and descriptive. It should not be a list of keywords. It should not be a list of links. It should not be a list of images. It should not be a list of text. It should not be a list of links. It should not be a list of images. It should not be a list of text. It should not be a list of links. It should not be a,100,OLMo-2-0425-1B
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"the ""European Union of the Mediterranean Sea"" and is a non-governmental organization that promotes the development of the Mediterranean Sea region. The organization was founded in 1998 by the European Commission and the European Council of Ministers. The organization is a non-profit organization that is funded by the European Union and the European Commission. The organization is based in Brussels, Belgium.

The organization is a non-profit organization that is funded by the European Union and the European Commission. The organization is based in Brussels, Belgium",100,OLMo-2-0425-1B
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,"a device that is used to measure the amount of light that is reflected from a surface. The focus indicator is usually a small, round, metal or plastic device that is placed on the surface being measured. The focus indicator is usually attached to a light source, such as a light bulb or a light bulb fixture. The light source is then placed on the surface being measured, and the light source is turned on. The light source is then turned off, and the light source is turned on again.",100,OLMo-2-0425-1B
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate through the text of a document. You can use the keyboard to navigate through the text of a document, or you can use the mouse to navigate through the text of a document. The keyboard navigation allows you to navigate through the text of a document by using the arrow keys, the space bar, the Tab key, and the Enter key. The mouse navigation allows you to navigate through the text of a document by using the mouse. The keyboard navigation allows you to navigate through the text of",100,OLMo-2-0425-1B
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it can help you see the differences between the colors. The color contrast is the difference between the color of the text and the background. The color contrast is measured in percentage. The higher the percentage, the better the contrast. The color contrast is measured in percentage. The higher the percentage, the better the contrast. The color contrast is measured in percentage. The higher the percentage, the better the contrast. The color contrast is measured in percentage. The higher the percentage, the better the contrast. The",100,OLMo-2-0425-1B
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,to make the process of creating a website easier. It is a markup language that is used to create web pages. It is a markup language that is used to create web pages. It is a markup language that is used to create web pages. It is a markup language that is used to create web pages. It is a markup language that is used to create web pages. It is a markup language that is used to create web pages. It is a markup language that is used to create web pages,100,OLMo-2-0425-1B
decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,"the following purposes:

  • To provide a transcript of the video for people who are hard of hearing or deaf.
  • To provide a transcript of the video for people who are blind or visually impaired.
  • To provide a transcript of the video for people who are learning English as a second language.
  • To provide a transcript of the video for people who are learning a foreign language.
  • To provide a transcript of the video for people who are learning a foreign language and need to review",100,OLMo-2-0425-1B
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,"a way to interact with a computer without using a mouse. The keyboard is the most common way to interact with a computer. The keyboard is a flat, flat surface that is used to type letters, numbers, symbols, and other characters. The keyboard is usually located on the desk or table of a computer. The keyboard is made up of a number of keys that are arranged in a row. The keyboard is used to type letters, numbers, symbols, and other characters. The keyboard is also used",100,OLMo-2-0425-1B
decl_section_heading_001,section heading,declarative,cloze,A section heading is,a heading that is used to separate sections of a document. The section heading is usually the first heading in a document. It is used to identify the section of the document and to separate it from the rest of the document. The section heading is usually the first heading in a document. It is used to identify the section of the document and to separate it from the rest of the document. The section heading is usually the first heading in a document. It is used to identify the section of the document,100,OLMo-2-0425-1B
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,a text description of the image that is displayed instead of the image. This is a text description of the image that is displayed instead of the image. This is a text description of the image that is displayed instead of the image. This is a text description of the image that is displayed instead of the image. This is a text description of the image that is displayed instead of the image. This is a text description of the image that is displayed instead of the image. This is a text description of,100,OLMo-2-0425-1B
decl_audio_description_001,audio description,declarative,cloze,An audio description is,"a transcript of the audio, which is read by a trained professional. It is not a substitute for the audio, but rather a complementary tool for people who are hard of hearing or have difficulty hearing. The transcript is not a substitute for the audio, but rather a complementary tool for people who are hard of hearing or have difficulty hearing. The transcript is not a substitute for the audio, but rather a complementary tool for people who are hard of hearing or have difficulty hearing.

What is an audio description?",100,OLMo-2-0425-1B
decl_sign_language_001,sign language,declarative,cloze,Sign language is,a language that is used to communicate between people who share a common language. The language is used to communicate with people who do not share the same language. The language is used to communicate with people who do not share the same language. The language is used to communicate with people who do not share the same language. The language is used to communicate with people who do not share the same language. The language is used to communicate with people who do not share the same language. The language is used to,100,OLMo-2-0425-1B
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,"the most important for the detection of the presence of a disease. The most important sensory characteristics are the following: (1) the presence of a disease, (2) the presence of a disease in a specific organ, (3) the presence of a disease in a specific organ in a specific part of the body, (4) the presence of a disease in a specific organ in a specific part of the body in a specific part of the body, (5) the presence of a disease in",100,OLMo-2-0425-1B
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,a function of the input data. The input data is the data that is used to perform the function. The function is the output of the input data. The input data is the data that is used to perform the function. The function is the output of the input data. The input data is the data that is used to perform the function. The function is the output of the input data. The input data is the data that is used to perform the function. The function is the output of the,100,OLMo-2-0425-1B
decl_target_size_001,target size,declarative,cloze,A target size is,the size of the target you want to hit. The target size is the distance from the center of the target to the center of the target. The target size is measured in inches. The target size is used to calculate the range of the shot. The range is the distance from the center of the target to the center of the target. The range is measured in feet. The range is used to calculate the velocity of the shot. The velocity is the speed of the bullet. The velocity is measured,100,OLMo-2-0425-1B
