model,compound,prompt,step,token_id,token,logit
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,0,340, it,15.8667
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,1,318, is,17.3360
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,2,407, not,15.6630
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,3,257, a,14.7176
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,4,636, part,14.4076
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,5,286, of,21.5506
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,6,262, the,18.1422
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,7,16408, navigation,15.5808
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,8,13,.,15.6467
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,9,198,"
",15.7040
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,10,198,"
",20.6516
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,11,464,The,15.7008
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,12,16408, navigation,14.8442
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,13,6859, menu,16.7309
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,14,318, is,16.2963
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,15,257, a,15.7411
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,16,636, part,15.0509
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,17,286, of,21.6427
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,18,262, the,18.8548
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,19,16408, navigation,16.0688
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,20,13,.,16.5557
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,21,198,"
",16.8287
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,22,198,"
",22.4156
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,23,464,The,16.6720
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,24,16408, navigation,16.5239
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,25,6859, menu,17.5862
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,26,318, is,17.3387
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,27,257, a,16.8028
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,28,636, part,17.3594
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,29,286, of,22.0458
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,30,262, the,18.9643
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,31,16408, navigation,16.9244
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,32,13,.,18.1961
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,33,198,"
",17.9601
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,34,198,"
",22.5718
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,35,464,The,17.7036
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,36,16408, navigation,18.5058
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,37,6859, menu,19.7329
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,38,318, is,19.8989
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,39,257, a,20.0035
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,40,636, part,22.4990
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,41,286, of,21.4036
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,42,262, the,21.7964
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,43,16408, navigation,22.0249
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,44,13,.,21.5402
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,45,198,"
",19.9598
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,46,198,"
",22.3290
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,47,464,The,18.5374
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,48,16408, navigation,19.3843
gpt2-large,skip_link,A long navigation menu without a skip link is not accessible because,49,6859, menu,21.1019
