domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
accessibility,decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a device that reads and writes data to a screen. It is used to read and write data to a screen.

The screen reader is a device that reads and writes data to a screen. It is used to read and write data to a screen.

The screen reader is a device that reads and writes data to a screen. It is used to read and write data to a screen.

The screen reader is a device that reads and writes data to a screen. It is",100,gpt2
accessibility,decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"""Western Hemisphere Association of Chiefs of Police."" It is a group of police officers who are responsible for enforcing the law in the United States.

The group is comprised of officers from the U.S. Department of Justice, the U.S. Department of Homeland Security, the U.S. Department of Justice's Office of Inspector General, the U.S. Department of Justice's Office of Inspector General, the U.S. Department of Justice's Office of Inspector General, the U",100,gpt2
accessibility,decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link to a page that is not available.

A skip link is a link to a page that is not available.

A skip link is a link to a page that is not available.

A skip link is a link to a page that is not available.

A skip link is a link to a page that is not available.

A skip link is a link to a page that is not available.

A skip link is a link to a",100,gpt2
accessibility,decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a simple way to create a simple, easy to use, and easy to understand text editor.

The Alt Text Editor is a simple, easy to use, and easy to understand text editor.

The Alt Text Editor is a simple, easy to use, and easy to understand text editor.

The Alt Text Editor is a simple, easy to use, and easy to understand text editor.

The Alt Text Editor is a simple, easy to use, and easy",100,gpt2
accessibility,decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"American Indian and Alaska Native. It is a group of people who live in the United States and Canada.

ARIA is a group of people who live in the United States and Canada.

ARIA is a group of people who live in the United States and Canada.

ARIA is a group of people who live in the United States and Canada.

ARIA is a group of people who live in the United States and Canada.

ARIA is a group",100,gpt2
accessibility,decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,"a tool that displays the current focus of a focus indicator.

A focus indicator is a tool that displays the current focus of a focus indicator.

A focus indicator is a tool that displays the current focus of a focus indicator.

A focus indicator is a tool that displays the current focus of a focus indicator.

A focus indicator is a tool that displays the current focus of a focus indicator.

A focus indicator is a tool that displays the current focus of a focus",100,gpt2
accessibility,decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate through the world of the game.

The game is designed to be played with a keyboard.

The game is designed to be played with a mouse.

The game is designed to be played with a keyboard.

The game is designed to be played with a mouse.

The game is designed to be played with a mouse.

The game is designed to be played with a mouse.

The game is designed to be played with a mouse",100,gpt2
accessibility,decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it determines how much light is absorbed by the retina. The more light you have, the more you can see.

The retina is a specialized area of the brain that is responsible for visual perception. It is the part of the brain that is responsible for the color vision.

The retina is also responsible for the color vision.

The retina is the part of the brain that is responsible for the color vision.

The retina is also responsible for the color vision.",100,gpt2
accessibility,decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"you to write better, more readable code.

Semantic HTML is a powerful, flexible, and flexible language that can be used to write better, more readable code.

Semantic HTML is a powerful, flexible, and flexible language that can be used to write better, more readable code.

Semantic HTML is a powerful, flexible, and flexible language that can be used to write better, more readable code.

Semantic HTML is a powerful, flexible, and flexible",100,gpt2
accessibility,decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,"the following purposes:

To display captions in a browser window.

To display captions in a text editor.

To display captions in a text editor with a text editor.

To display captions in a text editor with a text editor.

To display captions in a text editor with a text editor.

To display captions in a text editor with a text editor.

To display captions in a text editor with a text editor",100,gpt2
accessibility,decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,"a way to interact with a keyboard. It's a way to interact with a keyboard without having to use a mouse.

The keyboard is a way to interact with a keyboard without having to use a mouse.

The keyboard is a way to interact with a keyboard without having to use a mouse.

The keyboard is a way to interact with a keyboard without having to use a mouse.

The keyboard is a way to interact with a keyboard without having to use a mouse.",100,gpt2
accessibility,decl_section_heading_001,section heading,declarative,cloze,A section heading is,"a list of all the items in the list.

The list is sorted by the number of items in the list.

The list is sorted by the number of items in the list.

The list is sorted by the number of items in the list.

The list is sorted by the number of items in the list.

The list is sorted by the number of items in the list.

The list is sorted by the number of items in the list.",100,gpt2
accessibility,decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text,100,gpt2
accessibility,decl_audio_description_001,audio description,declarative,cloze,An audio description is,"available here.

The following is a transcript of the interview with the author.

Interviewer: What is your background?

Dr. John: I'm a professor of psychology at the University of California, Berkeley. I'm a professor of psychology at the University of California, Berkeley. I'm a professor of psychology at the University of California, Berkeley. I'm a professor of psychology at the University of California, Berkeley. I'm a professor of psychology at the University of California",100,gpt2
accessibility,decl_sign_language_001,sign language,declarative,cloze,Sign language is,"a powerful tool for developers to create and share code. It's a powerful tool for developers to create and share code. It's a powerful tool for developers to create and share code.

Sign language is a powerful tool for developers to create and share code. It's a powerful tool for developers to create and share code.

Sign language is a powerful tool for developers to create and share code. It's a powerful tool for developers to create and share code.

Sign language is",100,gpt2
