domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
control,blue_sky,blue sky,declarative,cloze,A blue sky is,5,6.1426,5.3937,7.8946,4.0324,pythia-410m
control,cold_water,cold water,declarative,cloze,Cold water is typically characterized by,7,4.8479,3.4773,7.3268,0.9403,pythia-410m
control,ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,9,4.9148,4.6343,7.3268,1.9139,pythia-410m
control,life_jacket,life jacket,declarative,cloze,A life jacket is designed to,7,4.3866,3.2372,7.8946,1.0251,pythia-410m
control,tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,9,4.8748,4.2712,7.8946,1.5333,pythia-410m
control,living_room,living room,declarative,cloze,A living room is,5,5.9011,3.2966,7.8946,3.2966,pythia-410m
control,roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,10,4.0961,4.2445,7.8946,0.0073,pythia-410m
control,school_bus,school bus,declarative,cloze,A school bus is used to,7,4.9797,2.5663,7.8946,2.1998,pythia-410m
control,grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,7,4.5835,3.5376,7.8946,0.2336,pythia-410m
control,peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,7,4.5182,4.1971,7.3268,2.3001,pythia-410m
control,hot_chocolate,hot chocolate,declarative,cloze,Hot chocolate is a warm beverage typically made from,10,3.9337,4.3613,7.3268,1.5154,pythia-410m
control,apple_pie,apple pie,declarative,cloze,Apple pie is a dessert featuring,7,5.4044,4.6983,7.3268,3.7572,pythia-410m
control,orange_juice,orange juice,declarative,cloze,Orange juice is extracted from,7,4.4833,3.8391,7.3268,1.1811,pythia-410m
control,baked_beans,baked beans,declarative,cloze,Baked beans are,5,5.5839,4.7898,7.3268,3.6487,pythia-410m
control,palm_tree,palm tree,declarative,cloze,A palm tree is characterized by,7,4.713,3.1962,7.8946,0.7166,pythia-410m
control,thunder_storm,thunder storm,declarative,cloze,A thunder storm is,5,5.3813,5.2196,7.8946,1.2055,pythia-410m
control,coral_reef,coral reef,declarative,cloze,A coral reef is an underwater formation that,9,5.114,3.9191,7.8946,3.2239,pythia-410m
control,shooting_star,shooting star,declarative,cloze,A shooting star is actually,6,5.5768,3.0823,7.8946,3.0823,pythia-410m
control,mountain_lion,mountain lion,declarative,cloze,A mountain lion is,5,6.255,5.6832,7.8946,5.1714,pythia-410m
control,tidal_wave,tidal wave,declarative,cloze,A tidal wave is a large ocean wave caused by,11,4.1467,3.2894,7.8946,0.2848,pythia-410m
control,dining_table,dining table,declarative,cloze,A dining table is furniture used for,8,4.3072,4.0675,7.8946,1.8581,pythia-410m
control,car_keys,car keys,declarative,cloze,Car keys are used to,6,4.6745,3.529,7.3268,2.2616,pythia-410m
control,washing_machine,washing machine,declarative,cloze,A washing machine is an appliance that,8,3.9494,4.0022,7.8946,0.68,pythia-410m
control,bath_towels,bath towels,declarative,cloze,Bath towels are used for,7,5.0064,4.6111,7.3268,2.4929,pythia-410m
control,alarm_clock,alarm clock,declarative,cloze,An alarm clock is a device that,8,4.651,4.6878,7.3268,2.1969,pythia-410m
control,light_bulb,light bulb,declarative,cloze,A light bulb is,5,5.5361,3.0364,7.8946,3.0364,pythia-410m
control,post_office,post office,declarative,cloze,A post office is an institution that,8,5.1815,5.0655,7.8946,3.1091,pythia-410m
control,parking_lot,parking lot,declarative,cloze,A parking lot is,5,5.7397,5.341,7.8946,3.892,pythia-410m
control,train_station,train station,declarative,cloze,A train station is a facility where,8,5.086,3.3754,7.8946,3.2514,pythia-410m
control,fire_station,fire station,declarative,cloze,A fire station is,5,5.9986,5.4572,7.8946,4.3895,pythia-410m
control,swimming_pool,swimming pool,declarative,cloze,A swimming pool is a structure designed for,9,4.6175,4.2234,7.8946,1.0012,pythia-410m
control,coffee_shop,coffee shop,declarative,cloze,A coffee shop is,5,5.9119,5.0202,7.8946,4.3326,pythia-410m
control,hard_drive,hard drive,declarative,cloze,A hard drive is a computer component used for,10,4.1723,2.2226,7.8946,1.3858,pythia-410m
control,operating_system,operating system,declarative,cloze,An operating system is software that,7,4.0685,3.435,7.3268,2.1994,pythia-410m
control,search_engine,search engine,declarative,cloze,A search engine is,5,4.8855,2.0538,7.8946,2.0538,pythia-410m
control,user_name,user name,declarative,cloze,A user name is typically used for,8,4.5201,4.4992,7.8946,1.5849,pythia-410m
control,power_supply,power supply,declarative,cloze,A power supply is,5,5.6194,3.2944,7.8946,3.2944,pythia-410m
control,data_base,data base,declarative,cloze,A data base is,5,5.4044,2.4321,7.8946,2.4321,pythia-410m
control,sore_throat,sore throat,declarative,cloze,A sore throat is,5,5.3171,2.8181,7.8946,2.8181,pythia-410m
control,blood_pressure,blood pressure,declarative,cloze,Blood pressure refers to,5,3.6401,1.9725,7.3268,0.2065,pythia-410m
control,collar_bone,collar bone,declarative,cloze,The collar bone is,5,5.7076,3.4371,7.7377,3.4371,pythia-410m
control,heart_rate,heart rate,declarative,cloze,Heart rate measures,4,4.6605,3.7445,7.3268,2.4693,pythia-410m
control,dental_appointment,dental appointment,declarative,cloze,A dental appointment is,5,5.6871,3.5972,7.8946,3.5972,pythia-410m
control,waiting_room,waiting room,declarative,cloze,A waiting room is,5,5.1794,4.2391,7.8946,2.9337,pythia-410m
