prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,"a physical interaction between two or more objects.
A keyboard interaction is a physical interaction between two or more objects. A keyboard interaction is a physical interaction between two or more objects. A keyboard interaction is a physical interaction between two or more objects. A keyboard interaction is a physical interaction between two or more objects. A keyboard interaction is a physical interaction between two or more objects. A keyboard interaction is a physical interaction between two or more objects. A keyboard interaction is a physical interaction between two or more objects",100,EleutherAI/pythia-160m
decl_section_heading_001,section heading,declarative,cloze,A section heading is,"a section of a document that is used to describe the content of the document.

A section heading is a section of a document that is used to describe the content of the document.

A section heading is a section of a document that is used to describe the content of the document.

A section heading is a section of a document that is used to describe the content of the document.

A section heading is a section of a document that is used to describe the content",100,EleutherAI/pythia-160m
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,"to use a text editor to edit the text.

The text editor is a text editor that allows you to edit text.

The text editor is a text editor that allows you to edit text.

The text editor is a text editor that allows you to edit text.

The text editor is a text editor that allows you to edit text.

The text editor is a text editor that allows you to edit text.

The text editor is a text editor that",100,EleutherAI/pythia-160m
decl_audio_description_001,audio description,declarative,cloze,An audio description is,"a description of a sound that is used to describe a sound.

A sound is a sound that is used to describe a sound. A sound is a sound that is used to describe a sound.

A sound is a sound that is used to describe a sound.

A sound is a sound that is used to describe a sound.

A sound is a sound that is used to describe a sound.

A sound is a sound that is used to describe a sound",100,EleutherAI/pythia-160m
decl_sign_language_001,sign language,declarative,cloze,Sign language is,"a language that is used by the public to communicate with others.

The Sign Language is a language that is used by the public to communicate with others.

Sign language is a language that is used by the public to communicate with others.

Sign language is a language that is used by the public to communicate with others.

Sign language is a language that is used by the public to communicate with others.

Sign language is a language that is used by the public to",100,EleutherAI/pythia-160m
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,"important in the development of the human body.
Sensory characteristics are important in the development of the human body. The sensory characteristics are determined by the sensory receptors that are present in the body. The receptors are expressed in the skin, the gastrointestinal tract, the central nervous system, and the skin. The receptors are expressed in the central nervous system. The receptors are expressed in the skin, the gastrointestinal tract, the central nervous system, and the skin. The receptors are expressed in the skin, the",100,EleutherAI/pythia-160m
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,"to be provided for the input of a program.

The program is to be executed by the user.

The program is to be executed by the user.

The program is to be executed by the user.

The program is to be executed by the user.

The program is to be executed by the user.

The program is to be executed by the user.

The program is to be executed by the user.

The program is to",100,EleutherAI/pythia-160m
decl_target_size_001,target size,declarative,cloze,A target size is,"a measure of the size of a target.

The size of a target is the size of the target that is to be targeted. The size of a target is the size of the target that is to be targeted. The size of a target is the size of the target that is to be targeted.

The size of a target is the size of the target that is to be targeted. The size of a target is the size of the target that is to be targeted.",100,EleutherAI/pythia-160m
decl_touch_target_001,touch target,declarative,cloze,A touch target is,"a touch pad that is used to control a touch screen.
A touch screen is a device that is used to control a touch screen. A touch screen is a device that is used to control a touch screen. A touch screen is a device that is used to control a touch screen.
A touch screen is a device that is used to control a touch screen. A touch screen is a device that is used to control a touch screen. A touch screen is a device that is used to control",100,EleutherAI/pythia-160m
decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,"a movement that is performed by a person who is not a member of the drag group.

The drag movement is a movement that is performed by a person who is not a member of the drag group.

The drag movement is performed by a person who is not a member of the drag group.

The drag movement is performed by a person who is not a member of the drag group.

The drag movement is performed by a person who is not a member of the drag",100,EleutherAI/pythia-160m
