domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
accessibility,decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a device that allows you to read text on a screen. It is used to read text on a screen, such as a computer screen, a television screen, or a television set.

The screen reader is a device that allows you to read text on a screen. It is used to read text on a screen, such as a computer screen, a television screen, or a television set.

The screen reader is a device that allows you to read text on a screen. It is",100,gpt2-medium
accessibility,decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,World Championship of Hockey. It is a tournament that is held every four years in the United States. It is a tournament that is played in the United States. It is a tournament that is played in the United States. It is a tournament that is played in the United States. It is a tournament that is played in the United States. It is a tournament that is played in the United States. It is a tournament that is played in the United States. It is a tournament that is played in,100,gpt2-medium
accessibility,decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that is not part of the original file.

A link is a link that is part of the original file.

A link is a link that is part of the original file.

A link is a link that is part of the original file.

A link is a link that is part of the original file.

A link is a link that is part of the original file.

A link is a link that is part of the original file",100,gpt2-medium
accessibility,decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a way for users to communicate with each other without having to type in text.

Alt text is a way to communicate with each other without having to type in text.

Alt text is a way to communicate with each other without having to type in text.

Alt text is a way to communicate with each other without having to type in text.

Alt text is a way to communicate with each other without having to type in text.

Alt text is a",100,gpt2-medium
accessibility,decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"""Association of American Railroads."" It's a group of railroads that represents the interests of the railroads in the United States. It's a group that represents the interests of the railroads in the United States.

The group is made up of the largest railroads in the country, including Amtrak, which is the largest passenger rail company in the world.

The group is made up of the largest railroads in the country, including Amtrak, which is the largest passenger rail",100,gpt2-medium
accessibility,decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,"a device that shows the amount of focus that is being applied to a particular area of the screen. It is used to indicate the amount of focus that is being applied to a particular area of the screen.

The focus indicator is usually placed on the top of the screen, and is usually placed on the top edge of the screen.

The focus indicator is usually placed on the top of the screen, and is usually placed on the top edge of the screen.

The focus indicator",100,gpt2-medium
accessibility,decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate between pages of your website.

Navigation

The navigation bar is located at the top of the page. It is used to navigate between pages of your website.

The navigation bar is located at the top of the page. It is used to navigate between pages of your website.

The navigation bar is located at the top of the page. It is used to navigate between pages of your website.

The navigation bar is located at the top of the",100,gpt2-medium
accessibility,decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it helps you see the difference between two colors.

The color contrast of a color is the difference between the two colors.

The color contrast of a color is the difference between the two colors.

The color contrast of a color is the difference between the two colors.

The color contrast of a color is the difference between the two colors.

The color contrast of a color is the difference between the two colors.

The color contrast of a color is the",100,gpt2-medium
accessibility,decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"you write better HTML.

Semantic HTML is a new HTML5 feature that allows you to write better HTML. It's a new feature that allows you to write better HTML.

Semantic HTML is a new HTML5 feature that allows you to write better HTML. It's a new feature that allows you to write better HTML.

Semantic HTML is a new HTML5 feature that allows you to write better HTML. It's a new feature that allows you to write better HTML",100,gpt2-medium
accessibility,decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,"the purpose of providing a more detailed description of the text.

The following captions are available:

The following captions are available for the purpose of providing a more detailed description of the text.

The following captions are available for the purpose of providing a more detailed description of the text.

The following captions are available for the purpose of providing a more detailed description of the text.

The following captions are available for the purpose of providing a more detailed",100,gpt2-medium
