domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
medical,oxygen_saturation,oxygen saturation,declarative,cloze,Oxygen saturation refers to,the amount of oxygen in the air when the oxygen is being absorbed by the body. Oxygen saturation is measured in milligrams per liter of air. Oxygen saturation is measured in milligrams per cubic meter of air. Oxygen saturation is measured in milligrams per cubic meter of air. Oxygen saturation is measured in milligrams per cubic meter of air. Oxygen saturation is measured in milligrams per cubic meter of air. Oxygen saturation is measured in milligrams,100,gpt2
medical,body_temperature,body temperature,declarative,cloze,Body temperature is,"a measure of how much heat is absorbed by the body. It is measured in degrees Celsius (Celsius) or Fahrenheit (°F).

Body temperature is measured in degrees Celsius (Celsius) or Fahrenheit (°F). Body temperature is measured in degrees Celsius (Celsius) or Fahrenheit (°F). Body temperature is measured in degrees Celsius (Celsius) or Fahrenheit (°F). Body temperature is measured in degrees Celsius (Celsius) or Fahrenheit (°F). Body temperature",100,gpt2
medical,platelet_count,platelet count,declarative,cloze,Platelet count measures,"the number of plates in a row.

Platelet count measures the number of plates in a row.

Platelet count measures the number of plates in a row.

Platelet count measures the number of plates in a row.

Platelet count measures the number of plates in a row.

Platelet count measures the number of plates in a row.

Platelet count measures the number of plates in a row.",100,gpt2
medical,metabolic_panel,metabolic panel,declarative,cloze,A metabolic panel is,"a device that measures the amount of glucose in the blood. It is used to measure the amount of glucose in the blood.

The metabolic panel is a device that measures the amount of glucose in the blood. It is used to measure the amount of glucose in the blood.

The metabolic panel is a device that measures the amount of glucose in the blood. It is used to measure the amount of glucose in the blood.

The metabolic panel is a device that measures the amount of",100,gpt2
medical,bacterial_infection,bacterial infection,declarative,cloze,A bacterial infection is caused by,"a bacterium called Bacillus thuringiensis. The bacteria can cause a variety of health problems, including infections of the skin, eyes, and throat.

The bacteria can cause a variety of health problems, including infections of the skin, eyes, and throat.

The bacteria can cause a variety of health problems, including infections of the skin, eyes, and throat.

The bacteria can cause a variety of health problems, including infections of the skin, eyes, and throat",100,gpt2
medical,magnetic_resonance,magnetic resonance,declarative,cloze,Magnetic resonance imaging is,"a technique that can detect the presence of a magnetic field. It is used to detect the presence of a magnetic field in a person's body.

The magnetic field is a force that is generated by a magnetic field. The magnetic field is a force that is generated by a magnetic field.

The magnetic field is a force that is generated by a magnetic field.

The magnetic field is a force that is generated by a magnetic field.

The magnetic field is a force that",100,gpt2
medical,multiple_sclerosis,multiple sclerosis,declarative,cloze,Multiple sclerosis is,"a chronic disease that affects about 1 in 10 people. It affects about 1 in 10 people in the United States.

The disease is caused by a genetic mutation that causes the body to produce antibodies to the immune system.

The disease is caused by a genetic mutation that causes the body to produce antibodies to the immune system.

The disease is caused by a genetic mutation that causes the body to produce antibodies to the immune system.

The disease is caused by a genetic mutation that",100,gpt2
medical,complete_remission,complete remission,declarative,cloze,Complete remission means,"that you can continue to receive the medication for up to six months.

If you have a history of depression, anxiety, or other mental health issues, you can continue to receive the medication for up to six months.

If you have a history of depression, anxiety, or other mental health issues, you can continue to receive the medication for up to six months.

If you have a history of depression, anxiety, or other mental health issues, you can continue to receive the",100,gpt2
medical,bowel_resection,bowel resection,declarative,cloze,A bowel resection is,"a procedure to remove the bowel from the body. It is a procedure that involves removing the bowel from the body and then inserting it into the anus.

The procedure is usually performed by a doctor or nurse.

The procedure is usually done by a doctor or nurse.

The procedure is usually done by a doctor or nurse.

The procedure is usually done by a doctor or nurse.

The procedure is usually done by a doctor or nurse.

The procedure is",100,gpt2
medical,organ_transplant,organ transplant,declarative,cloze,An organ transplant is,"a procedure that involves the removal of a person's organs from a donor's body.

The procedure is performed by a surgeon who removes the organ from the donor's body.

The procedure is usually performed in the United States, Canada, and Mexico.

The procedure is usually performed in the United States, Canada, and Mexico.

The procedure is usually performed in the United States, Canada, and Mexico.

The procedure is usually performed in the United States, Canada",100,gpt2
