layer,token,token_id,rank,prob,logit
0, a,247,913,0.0,19.3956
0, an,271,523,2e-06,20.8566
0, the,253,1020,0.0,19.0863
0, not,417,366,4e-06,21.7698
0, used,908,2342,0.0,16.6106
0, one,581,280,9e-06,22.4607
0, required,2424,2437,0.0,16.4625
0, for,323,21811,0.0,5.5746
0, that,326,29378,0.0,2.0855
0, also,671,137,4.3e-05,24.0622
1, a,247,1014,0.0,20.6575
1, an,271,205,5e-06,24.8746
1, the,253,744,0.0,21.6182
1, not,417,1101,0.0,20.3992
1, used,908,1518,0.0,19.4034
1, one,581,918,0.0,20.9579
1, required,2424,575,0.0,22.2861
1, for,323,13731,0.0,9.3599
1, that,326,24688,0.0,3.9466
1, also,671,353,1e-06,23.5304
2, a,247,1387,0.0,21.4428
2, an,271,541,0.0,24.8594
2, the,253,1283,0.0,21.7929
2, not,417,412,0.0,25.7269
2, used,908,283,1e-06,26.919
2, one,581,476,0.0,25.304
2, required,2424,113,1.3e-05,29.2486
2, for,323,12411,0.0,10.6955
2, that,326,18781,0.0,7.4045
2, also,671,138,6e-06,28.5502
3, a,247,6175,0.0,12.9472
3, an,271,3488,0.0,15.4565
3, the,253,6797,0.0,12.4466
3, not,417,829,0.0,20.5701
3, used,908,53,0.0,27.5126
3, one,581,573,0.0,21.5051
3, required,2424,698,0.0,20.9925
3, for,323,6844,0.0,12.4062
3, that,326,13267,0.0,8.5854
3, also,671,21,2e-06,29.7171
4, a,247,2268,0.0,18.2502
4, an,271,1504,0.0,19.9317
4, the,253,2404,0.0,18.0078
4, not,417,366,0.0,24.3899
4, used,908,58,5.2e-05,29.3932
4, one,581,63,4.7e-05,29.2892
4, required,2424,244,1e-06,25.4577
4, for,323,4140,0.0,15.7463
4, that,326,2554,0.0,17.7778
4, also,671,4,0.037957,35.9785
5, a,247,369,0.0,23.3887
5, an,271,464,0.0,22.786
5, the,253,1668,0.0,18.8655
5, not,417,319,0.0,23.8295
5, used,908,62,1.3e-05,27.8069
5, one,581,28,0.000137,30.1875
5, required,2424,989,0.0,20.5225
5, for,323,1825,0.0,18.593
5, that,326,4451,0.0,15.3017
5, also,671,7,0.002994,33.2714
6, a,247,97,6e-06,29.8413
6, an,271,76,1.1e-05,30.5657
6, the,253,623,0.0,24.2102
6, not,417,82,8e-06,30.217
6, used,908,74,1.2e-05,30.606
6, one,581,60,2.1e-05,31.1562
6, required,2424,497,0.0,24.8499
6, for,323,640,0.0,24.1178
6, that,326,3445,0.0,18.0648
6, also,671,1,0.25924,40.5958
7, a,247,112,2.2e-05,25.4514
7, an,271,177,6e-06,24.2041
7, the,253,1318,0.0,19.0115
7, not,417,137,1.3e-05,24.9364
7, used,908,430,1e-06,22.0834
7, one,581,26,0.000392,28.3479
7, required,2424,582,0.0,21.3239
7, for,323,2433,0.0,17.077
7, that,326,4382,0.0,15.0083
7, also,671,16,0.001145,29.4192
8, a,247,12,0.001676,36.1241
8, an,271,15,0.000244,34.1959
8, the,253,256,0.0,25.3365
8, not,417,18,5.8e-05,32.7536
8, used,908,54,3e-06,29.7643
8, one,581,41,5e-06,30.2192
8, required,2424,265,0.0,25.2252
8, for,323,985,0.0,20.8381
8, that,326,1484,0.0,19.3967
8, also,671,13,0.000691,35.2386
9, a,247,2,0.161938,40.2536
9, an,271,1,0.495724,41.3724
9, the,253,100,2e-06,28.7345
9, not,417,29,0.000101,32.8768
9, used,908,12,0.001714,35.7054
9, one,581,26,0.000233,33.7109
9, required,2424,58,9e-06,30.4899
9, for,323,446,0.0,24.1084
9, that,326,340,0.0,25.0034
9, also,671,22,0.000291,33.9319
10, a,247,2,0.464033,45.6876
10, an,271,1,0.51527,45.7923
10, the,253,50,1e-06,32.2548
10, not,417,16,2e-05,35.64
10, used,908,40,2e-06,33.1437
10, one,581,22,9e-06,34.784
10, required,2424,121,0.0,29.4284
10, for,323,400,0.0,25.8164
10, that,326,1242,0.0,22.0468
10, also,671,26,5e-06,34.3391
11, a,247,1,0.464977,29.3987
11, an,271,2,0.128701,28.1142
11, the,253,3,0.034784,26.8059
11, not,417,4,0.013139,25.8323
11, used,908,5,0.0123,25.7663
11, one,581,6,0.008739,25.4245
11, required,2424,7,0.007045,25.209
11, for,323,8,0.005518,24.9648
11, that,326,9,0.005137,24.8931
11, also,671,10,0.00511,24.8878
