prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,4.8358,2.451,7.786,2.451,EleutherAI/pythia-2.8b
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,4.6908,2.8052,6.411,1.7485,EleutherAI/pythia-2.8b
decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,5.2423,2.387,7.786,2.387,EleutherAI/pythia-2.8b
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,3.1693,1.1969,7.4896,0.1067,EleutherAI/pythia-2.8b
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,4.6582,5.4632,6.426,0.5455,EleutherAI/pythia-2.8b
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,4.5005,3.2383,7.786,1.2173,EleutherAI/pythia-2.8b
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,4.4278,3.6557,6.4571,0.9623,EleutherAI/pythia-2.8b
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,3.8351,3.1254,6.2484,1.9236,EleutherAI/pythia-2.8b
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,4.7013,3.0321,6.6074,2.6951,EleutherAI/pythia-2.8b
decl_captions_001,captions,declarative,cloze,Captions are used for,6,4.2498,5.6542,6.2484,2.1483,EleutherAI/pythia-2.8b
eval_alt_text_001,alt text,evaluative,code_review,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,3.7271,4.3243,7.4896,0.5869,EleutherAI/pythia-2.8b
eval_div_onclick_001,semantic HTML,evaluative,code_review,A <div> with onclick is not accessible because,11,4.2953,2.6758,7.786,1.1622,EleutherAI/pythia-2.8b
eval_empty_link_001,empty link,evaluative,code_review,The accessibility problem with <a href='#'></a> is,14,3.553,4.4097,7.5766,0.1159,EleutherAI/pythia-2.8b
eval_unlabeled_input_001,form label,evaluative,code_review,<input type='text'> needs a,9,2.8584,5.176,6.2484,0.2316,EleutherAI/pythia-2.8b
eval_click_here_001,link text,evaluative,code_review,A button that only says 'Click here' is bad because,13,4.4582,2.9386,7.786,1.4144,EleutherAI/pythia-2.8b
comp_alt_text_few_shot_001,alt text,completion,few_shot,"<img src=""icons/home.png"" alt=""Home""><img src=""icons/mail.png"" alt=""Inbox""><img src=""photo.jpg""",36,1.5199,0.3952,7.2482,0.007,EleutherAI/pythia-2.8b
comp_alt_text_bare_001,alt text,completion,bare,"<img src=""photo.jpg""",9,2.6525,2.267,6.2484,0.919,EleutherAI/pythia-2.8b
comp_captions_few_shot_001,captions,completion,few_shot,"<video src=""intro.mp4""><track kind=""captions"" src=""intro.vtt""></video><video src=""demo.mp4""><track kind=""captions"" src=""demo.vtt""></video><video src=""lecture.mp4"">",57,1.2003,2.5061,6.8186,0.0001,EleutherAI/pythia-2.8b
comp_captions_bare_001,captions,completion,bare,"<video src=""lecture.mp4"">",11,2.8121,1.3812,6.2484,0.0605,EleutherAI/pythia-2.8b
comp_page_title_few_shot_001,page title,completion,few_shot,<html><head><title>About Us</title></head><html><head><title>Contact</title></head><html><head>,31,1.586,3.5667,6.9874,0.0119,EleutherAI/pythia-2.8b
comp_page_title_bare_001,page title,completion,bare,"<html><head><meta charset=""utf-8"">",13,1.3795,0.3155,6.2484,0.0031,EleutherAI/pythia-2.8b
comp_script_bare_001,script,completion,bare,<script,3,4.1201,1.3339,6.2484,1.3339,EleutherAI/pythia-2.8b
comp_script_few_shot_001,script,completion,few_shot,"<script src=""utils.js""></script><script src=""main.js""></script><script src=""",23,1.6033,6.9255,6.9404,0.0001,EleutherAI/pythia-2.8b
hypo_alt_text_direct_001,alt text,hypothesis,direct_question,Look at this HTML: <img src='portrait.jpg'>. What specific attribute is missing to make it accessible?,26,3.0586,3.596,6.322,0.8249,EleutherAI/pythia-2.8b
hypo_alt_text_correction_001,alt text,hypothesis,error_correction,Correct the following inaccessible code: <img src='logo.png'>,15,3.9638,3.8722,7.6911,0.7634,EleutherAI/pythia-2.8b
