layer,token,token_id,rank,prob,logit
0, you,345,12,0.017961,12.7542
0, to,284,22,0.005953,11.6499
0, us,514,27,0.004549,11.381
0, make,787,82,0.001176,10.0282
0, with,351,164,0.000483,9.1386
0, developers,6505,1527,2.1e-05,6.0186
0, reduce,4646,159,0.000503,9.1796
0, the,262,29,0.004362,11.3389
0, create,2251,134,0.000648,9.4326
0, keep,1394,49,0.002277,10.6886
1, you,345,7,0.030013,14.8513
1, to,284,23,0.004945,13.048
1, us,514,14,0.015488,14.1897
1, make,787,198,0.000249,10.0606
1, with,351,105,0.000612,10.9579
1, developers,6505,1318,1.4e-05,7.1902
1, reduce,4646,112,0.000523,10.8021
1, the,262,75,0.001046,11.4948
1, create,2251,147,0.000359,10.4249
1, keep,1394,188,0.000265,10.121
2, you,345,11,0.030177,15.6409
2, to,284,16,0.009596,14.4951
2, us,514,5,0.060585,16.3379
2, make,787,128,0.00039,11.2927
2, with,351,88,0.00064,11.7878
2, developers,6505,611,3.8e-05,8.9586
2, reduce,4646,177,0.00025,10.8494
2, the,262,68,0.000968,12.2012
2, create,2251,106,0.000522,11.5839
2, keep,1394,202,0.000219,10.7165
3, you,345,2,0.154712,17.5357
3, to,284,13,0.007918,14.5632
3, us,514,4,0.100262,17.1019
3, make,787,224,0.000131,10.4619
3, with,351,56,0.000855,12.3369
3, developers,6505,299,8.4e-05,10.0158
3, reduce,4646,188,0.000157,10.6447
3, the,262,24,0.002975,13.5842
3, create,2251,150,0.000208,10.9217
3, keep,1394,230,0.000128,10.4353
4, you,345,3,0.098134,16.204
4, to,284,12,0.01175,14.0815
4, us,514,4,0.07878,15.9843
4, make,787,319,0.000117,9.4684
4, with,351,61,0.001128,11.7379
4, developers,6505,141,0.000343,10.5485
4, reduce,4646,174,0.000253,10.2425
4, the,262,20,0.005169,13.2602
4, create,2251,128,0.000385,10.6631
4, keep,1394,396,8.3e-05,9.1274
5, you,345,7,0.066684,16.4863
5, to,284,12,0.011434,14.7229
5, us,514,3,0.093432,16.8236
5, make,787,278,0.0001,9.9794
5, with,351,73,0.00059,11.7579
5, developers,6505,92,0.000479,11.5511
5, reduce,4646,76,0.000575,11.7329
5, the,262,32,0.002758,13.3009
5, create,2251,150,0.000231,10.8211
5, keep,1394,269,0.000105,10.0282
6, you,345,3,0.116039,18.1243
6, to,284,11,0.010585,15.7298
6, us,514,1,0.249654,18.8904
6, make,787,229,8.8e-05,10.9358
6, with,351,70,0.000623,12.8965
6, developers,6505,28,0.002215,14.1656
6, reduce,4646,93,0.000325,12.2471
6, the,262,31,0.001921,14.0231
6, create,2251,48,0.001018,13.3879
6, keep,1394,247,7.7e-05,10.8114
7, you,345,4,0.05397,18.7488
7, to,284,19,0.002684,15.7477
7, us,514,1,0.455192,20.8811
7, make,787,157,5.5e-05,11.8578
7, with,351,69,0.000249,13.369
7, developers,6505,21,0.002605,15.718
7, reduce,4646,42,0.000485,14.0359
7, the,262,55,0.000374,13.778
7, create,2251,32,0.001164,14.9119
7, keep,1394,115,0.0001,12.4576
8, you,345,10,0.023721,19.485
8, to,284,36,0.001455,16.694
8, us,514,1,0.246711,21.8268
8, make,787,62,0.000394,15.3862
8, with,351,77,0.000254,14.9471
8, developers,6505,19,0.008676,18.4792
8, reduce,4646,20,0.007988,18.3966
8, the,262,108,0.000119,14.1933
8, create,2251,7,0.028566,19.6708
8, keep,1394,67,0.000338,15.2344
9, you,345,4,0.064407,21.1519
9, to,284,22,0.004466,18.4831
9, us,514,1,0.27342,22.5977
9, make,787,37,0.001623,17.4709
9, with,351,47,0.000759,16.7103
9, developers,6505,7,0.044579,20.7839
9, reduce,4646,11,0.022379,20.0948
9, the,262,90,0.000165,15.1838
9, create,2251,3,0.098394,21.5756
9, keep,1394,38,0.001324,17.267
10, you,345,1,0.474125,20.0176
10, to,284,5,0.027237,17.1607
10, us,514,2,0.11272,18.581
10, make,787,16,0.007821,15.9129
10, with,351,18,0.006672,15.7539
10, developers,6505,3,0.037318,17.4756
10, reduce,4646,6,0.022419,16.966
10, the,262,50,0.001022,13.8779
10, create,2251,9,0.017509,16.7188
10, keep,1394,23,0.004918,15.4491
11, you,345,1,0.365171,16.0355
11, to,284,2,0.08832,14.6161
11, us,514,3,0.048066,14.0077
11, make,787,4,0.03631,13.7272
11, with,351,5,0.02725,13.4402
11, developers,6505,6,0.0139,12.767
11, reduce,4646,7,0.012955,12.6966
11, the,262,8,0.010242,12.4616
11, create,2251,9,0.008839,12.3143
11, keep,1394,10,0.007875,12.1989
