prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,4.4738,1.3733,7.77,1.3733,EleutherAI/pythia-12b
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,3.5154,1.35,6.6114,0.1365,EleutherAI/pythia-12b
decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,4.6209,1.8158,7.77,1.8158,EleutherAI/pythia-12b
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,3.0168,1.308,7.4108,0.1203,EleutherAI/pythia-12b
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,4.2446,4.9313,6.6114,1.5079,EleutherAI/pythia-12b
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,4.5108,3.1525,7.77,1.4743,EleutherAI/pythia-12b
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,4.5174,2.0256,6.6114,2.0256,EleutherAI/pythia-12b
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,3.8689,2.7342,6.6114,1.8097,EleutherAI/pythia-12b
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,4.5977,3.4847,6.6114,2.5037,EleutherAI/pythia-12b
decl_captions_001,captions,declarative,cloze,Captions are used for,6,4.1683,5.0505,6.6114,2.0139,EleutherAI/pythia-12b
eval_alt_text_001,alt text,evaluative,code_review,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,3.6584,4.8197,7.4108,0.4257,EleutherAI/pythia-12b
eval_div_onclick_001,semantic HTML,evaluative,code_review,A <div> with onclick is not accessible because,11,4.2592,2.5488,7.77,1.2716,EleutherAI/pythia-12b
eval_empty_link_001,empty link,evaluative,code_review,The accessibility problem with <a href='#'></a> is,14,3.3625,3.2697,7.4108,0.0593,EleutherAI/pythia-12b
eval_unlabeled_input_001,form label,evaluative,code_review,<input type='text'> needs a,9,2.8002,5.0656,6.6114,0.109,EleutherAI/pythia-12b
eval_click_here_001,link text,evaluative,code_review,A button that only says 'Click here' is bad because,13,4.5403,3.0511,7.77,1.3709,EleutherAI/pythia-12b
comp_alt_text_few_shot_001,alt text,completion,few_shot,"<img src=""icons/home.png"" alt=""Home""><img src=""icons/mail.png"" alt=""Inbox""><img src=""photo.jpg""",36,1.4302,0.1572,7.0911,0.0074,EleutherAI/pythia-12b
comp_alt_text_bare_001,alt text,completion,bare,"<img src=""photo.jpg""",9,2.5993,1.9623,6.6114,0.9652,EleutherAI/pythia-12b
comp_captions_few_shot_001,captions,completion,few_shot,"<video src=""intro.mp4""><track kind=""captions"" src=""intro.vtt""></video><video src=""demo.mp4""><track kind=""captions"" src=""demo.vtt""></video><video src=""lecture.mp4"">",57,1.1309,3.4265,6.671,0.0005,EleutherAI/pythia-12b
comp_captions_bare_001,captions,completion,bare,"<video src=""lecture.mp4"">",11,2.3171,2.0613,6.6114,0.0353,EleutherAI/pythia-12b
comp_page_title_few_shot_001,page title,completion,few_shot,<html><head><title>About Us</title></head><html><head><title>Contact</title></head><html><head>,31,1.5757,3.2135,6.9449,0.0032,EleutherAI/pythia-12b
comp_page_title_bare_001,page title,completion,bare,"<html><head><meta charset=""utf-8"">",13,1.4085,0.6605,6.6114,0.0004,EleutherAI/pythia-12b
comp_script_bare_001,script,completion,bare,<script,3,4.2019,1.3222,6.6114,1.3222,EleutherAI/pythia-12b
comp_script_few_shot_001,script,completion,few_shot,"<script src=""utils.js""></script><script src=""main.js""></script><script src=""",23,1.6753,7.1359,7.1359,0.0013,EleutherAI/pythia-12b
hypo_alt_text_direct_001,alt text,hypothesis,direct_question,Look at this HTML: <img src='portrait.jpg'>. What specific attribute is missing to make it accessible?,26,3.0636,4.1286,6.6114,0.848,EleutherAI/pythia-12b
hypo_alt_text_correction_001,alt text,hypothesis,error_correction,Correct the following inaccessible code: <img src='logo.png'>,15,3.8045,3.5201,6.8977,0.9606,EleutherAI/pythia-12b
hypo_alt_text_socratic_001,alt text,hypothesis,socratic,A screen reader is software that reads text aloud. Why would a screen reader fail to describe this tag: <img src='chart.svg'>?,31,3.0391,3.0462,7.77,0.1142,EleutherAI/pythia-12b
valid_alt_text_direct_001,alt text,validation,direct_question,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,3.6584,4.8197,7.4108,0.4257,EleutherAI/pythia-12b
valid_alt_text_instruction_001,alt text,validation,instruction,What accessibility attribute is missing from this HTML: <img src='photo.jpg'>?,19,3.0927,2.4735,6.6114,0.7241,EleutherAI/pythia-12b
valid_screen_reader_socratic_001,screen reader,validation,socratic,A screen reader is software that reads text aloud. Why would it fail to describe <img src='chart.svg'>?,26,2.9826,3.1877,7.77,1.2183,EleutherAI/pythia-12b
