concept,freq_compound,sense_flag,correct_criteria,correct_markers,partial_criteria,incorrect_markers,a11y_sense_markers,wcag_sc_or_aria_ref,notes,status
keyboard interaction,keyboard_interaction,,"operating, navigating, or using functionality/UI via keystrokes or tabbing (not merely text entry)",keystroke(s); tab/tabbing; navigate/navigation; operate; arrow keys; Enter; Escape; focus; without a mouse,generic keyboard use (typing/text input) with no operating/navigating content,piano/music sense; key-to-key mechanics; circular; degenerate,screen reader; assistive; keyboard-only; focus indicator; WCAG; motor,Guideline 2.1 / SC 2.1.1; ARIA APG Keyboard Interaction sections,APG/practitioner vocabulary not spec vocabulary; tests the operability concept not the WCAG term,AUTHORED
section heading,section_heading,,"heading that labels/introduces a section of content, organizing page structure (h1–h6 / levels); strong nod: not required, but IF used must be in order with no levels skipped (Trisha 2026-07-02)",heading; section; structure/organize; level(s) / h1/h2/h3; hierarchy/order; label or title of a section; skip(ped),"title/label framing with no section-or-structure content, or visual-only (""big bold text"")",newspaper-section/headline-only sense; circular; degenerate,screen reader; navigate by headings; assistive; WCAG; heading level; skipped level,SC 2.4.10 Section Headings (AAA); SC 1.3.1; SC 2.4.6,not-a-requirement nuance maps to 2.4.10 being AAA — same ceiling-tier pattern as sign language; order/no-skip is the practitioner contract once headings exist,AUTHORED
text alternative,text_alternative,,"text serving in place of (or conveying equivalent information for) NON-TEXT CONTENT generally — images, audio, video, controls; umbrella concept. May cite alt text as an instance (""alt text is the text alternative for images"") but must not be images-only",non-text content; equivalent / serves the same purpose; text version/replacement; scope beyond images (audio/video/media/controls) OR general non-text framing,"alt-text-only definition (images only) — instance-for-umbrella, too narrow; right domain, misses the umbrella",wrong domain (alternate file formats etc.); circular; degenerate,screen reader; assistive; blind; WCAG; non-text,Guideline 1.1 / SC 1.1.1 Non-text Content,vertical confusion trap: testers collapse umbrella into alt text; alt-text-only = PARTIAL per Trisha ruling 2026-07-02 (""too narrow""); contrast with AD/captions lateral confusion = INCORRECT,AUTHORED
audio description,audio_description,,"describes (or similar verb: narrates, explains) essential visual content of video/media — actions, scenes, on-screen events; audience need NOT be specified",describe/description/narrate/narration; visual / on-screen / what's happening; video/media/film,"added narration or audio track for video with no describing-visual-content connection (mechanism, no direction)",inverted sense ("describes the audio"/describing sounds or music); CAPTIONS CONFUSION (text of dialogue/speech, transcription, for deaf users); circular; degenerate,blind; low vision; screen reader; assistive; WCAG,SC 1.2.3 / 1.2.5 (Audio Description prerecorded),mirror-image trap: captions = text of audio (deaf); AD = audio of visuals (blind); confusion between the two codes INCORRECT since both are tested concepts,AUTHORED
sign language,sign_language,AMBIGUOUS,"visual/gestural language (hands, movement, expressions) used for communication, esp. by deaf people — OR interpretation provided for media; both senses correct per Option A. Low bar: hard to get wrong absent specificity demands (Trisha 2026-07-02)",language; gesture(s)/hand(s)/signs; communicate/communication; deaf; visual,mentions signing/gestures with no communication-or-language content (thin),signage/road-sign or symbol sense; circular (""language of signs""); degenerate,interpret/interpreter/interpretation; deaf; media/video; provided; WCAG; AAA,SC 1.2.6 Sign Language (Prerecorded) — AAA,expected ceiling item: high-frequency common concept; low discrimination is fine — anchors the high-freq end of the Spearman; interpretation sense = a11y_sense for the dual analysis,AUTHORED
sensory characteristics,sensory_characteristics,,"instructions/information for understanding or operating content must not rely SOLELY on sensory traits — shape, color, size, visual location, orientation, sound (Trisha 2026-07-02; e.g. color-only legend, asterisk-only required fields)",shape; color; size; location/position; orientation; sound; instructions; rely/solely/alone/only,names sensory traits in a UI/perception context WITHOUT the don't-rely-solely-in-instructions point,"food-science/biology sense (taste, smell, texture, aroma, sensory evaluation of products); circular; degenerate",WCAG; assistive; screen reader; blind/low vision; color blind(ness),"SC 1.3.3 Sensory Characteristics; family: SC 1.4.1 Use of Color (color-only legend technically 1.4.1; asterisk-only fields straddle 3.3.2) — practitioner treats as one don't-rely-on-senses family",PREDICTION: food-science sense (sensory evaluation) is likely the high-frequency attractor — prime token-competition candidate; if it fires it's a §05 exhibit,AUTHORED
input purpose,input_purpose,,"the purpose of an input field — what information it collects (name, email, phone, address) — identified so it is programmatically determinable / machine-readable (autocomplete attribute); scope: fields collecting info ABOUT THE USER",purpose; input/field; programmatically determinable / machine-readable; autocomplete; name/email/phone/address; collect(s),"fields-have-purposes framing with no machine-readable/programmatic layer, or label-only framing (human-readable, no autocomplete/programmatic content)",LABEL CONFUSION as whole answer (defining it as labeling/instructions for humans = SC 3.3.2 territory); generic CS sense (purpose of user input in a program); circular; degenerate,autocomplete; assistive; autofill; WCAG; programmatically determinable; cognitive,SC 1.3.5 Identify Input Purpose (AA); adjacent trap: SC 3.3.2 Labels or Instructions,"double-layer distinction: 1.3.5 = machine-readable (browser/AT), 3.3.2 = human-readable (labels); Trisha's own 9pm fuzz WAS the lateral confusion — expect it in models",AUTHORED
target size,target_size,AMBIGUOUS,"the size/area of an interactive target (button, link, control) — must be large enough to activate reliably, esp. by touch or with motor impairments; strong nod: 24×24 CSS px minimum (2.5.8 AA)",target; size/area/dimensions; button/link/control/interactive; click/tap/touch/activate; large enough / minimum; 24,size-of-elements framing with no interactive/activation content (thin),"archery/shooting/marketing sense (no UI content) — NO Option A rescue, no technical generic sense here (Trisha 2026-07-03: ""absolutely not""); circular; degenerate",motor; touch; WCAG; assistive; tremor; 24px; spacing,SC 2.5.8 Target Size Minimum (AA, WCAG 2.2); SC 2.5.5 (AAA enhanced),SYNONYM PAIR with touch_target — cross-definition NODS (Trisha 2026-07-03: ""the target size is the target size""); opposite of the AD/captions lateral rule,AUTHORED
touch target,touch_target,,"same concept as target_size, practitioner phrasing: the tappable/clickable area of an interactive element, large enough for reliable activation by touch; 24×24 CSS px (2.5.8) strong nod",touch/tap; target/area; button/link/control/interactive; large enough / minimum / size; finger; 24,area-or-region framing with no interactive/activation content (thin),non-UI touch senses (touchscreen hardware sensing, targeting in games); circular; degenerate,motor; WCAG; assistive; mobile; finger; 24px; spacing,SC 2.5.8 Target Size Minimum (AA); Apple/Android HIG touch guidance (44pt/48dp) also nods,"synonym of target_size — ""less precise but still the same thing"" (Trisha 2026-07-03); cross-definition NODS; platform-HIG numbers (44/48) count as correct size content",AUTHORED
drag movement,drag_movement,,"functionality operated by dragging (sliders, reorder, drag-and-drop) must be achievable WITHOUT the drag — a single-pointer/click/tap alternative must exist",drag(ging); alternative; single pointer / click / tap; without; slider / reorder / drag-and-drop; motor,"dragging-is-moving-things framing (mechanism only, no alternative-required content)",non-UI drag senses (drag racing, drag coefficient/physics); circular; degenerate,motor; tremor; assistive; WCAG; single pointer; alternative,SC 2.5.7 Dragging Movements (AA, WCAG 2.2),"the why, verbatim Trisha 2026-07-03: ""someone who can't use a mouse can't drag a UI element"" — alternative-required is the load-bearing half, not the drag mechanics",AUTHORED
