domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
medical,oxygen_saturation,oxygen saturation,declarative,cloze,Oxygen saturation refers to,6,4.0308,0.7239,7.0014,0.0649,OLMo-2-1124-13B
medical,body_temperature,body temperature,declarative,cloze,Body temperature is,4,5.4463,3.9845,7.0014,3.9845,OLMo-2-1124-13B
medical,platelet_count,platelet count,declarative,cloze,Platelet count measures,5,4.1161,1.6033,7.0014,1.6033,OLMo-2-1124-13B
medical,metabolic_panel,metabolic panel,declarative,cloze,A metabolic panel is,5,5.0304,1.3841,7.9966,1.3841,OLMo-2-1124-13B
medical,bacterial_infection,bacterial infection,declarative,cloze,A bacterial infection is caused by,7,4.4795,2.7444,7.9966,0.5347,OLMo-2-1124-13B
medical,magnetic_resonance,magnetic resonance,declarative,cloze,Magnetic resonance imaging is,6,4.6246,2.9405,7.0014,1.5917,OLMo-2-1124-13B
medical,multiple_sclerosis,multiple sclerosis,declarative,cloze,Multiple sclerosis is,4,4.9062,1.7778,7.3545,1.7778,OLMo-2-1124-13B
medical,complete_remission,complete remission,declarative,cloze,Complete remission means,5,4.0021,2.5903,7.0014,0.6682,OLMo-2-1124-13B
medical,bowel_resection,bowel resection,declarative,cloze,A bowel resection is,6,3.9044,1.9874,7.9966,0.271,OLMo-2-1124-13B
medical,organ_transplant,organ transplant,declarative,cloze,An organ transplant is,5,4.7014,2.3632,7.0014,2.3632,OLMo-2-1124-13B
medical,therapeutic_dosage,therapeutic dosage,declarative,cloze,A therapeutic dosage is,5,5.5342,4.2701,7.9966,2.2043,OLMo-2-1124-13B
medical,drug_interaction,drug interaction,declarative,cloze,A drug interaction occurs when,6,4.352,2.1936,7.9966,0.4287,OLMo-2-1124-13B
medical,antibiotic_resistance,antibiotic resistance,declarative,cloze,Antibiotic resistance is,6,4.145,3.1801,7.0014,1.7861,OLMo-2-1124-13B
medical,gastrointestinal_absorption,gastrointestinal absorption,declarative,cloze,Gastrointestinal absorption refers to,7,3.4782,0.9675,7.0014,0.1415,OLMo-2-1124-13B
medical,respiratory_tract,respiratory tract,declarative,cloze,The respiratory tract is,5,5.0163,3.5017,8.3991,3.0329,OLMo-2-1124-13B
medical,cerebral_cortex,cerebral cortex,declarative,cloze,The cerebral cortex is,5,4.9517,2.461,8.3991,2.3486,OLMo-2-1124-13B
medical,informed_consent,informed consent,declarative,cloze,Informed consent requires,5,4.9405,3.5601,7.0014,3.5601,OLMo-2-1124-13B
medical,clinical_trial,clinical trial,declarative,cloze,A clinical trial is,5,5.2302,2.7183,7.9966,2.7183,OLMo-2-1124-13B
medical,nerve_damage,nerve damage,declarative,cloze,Nerve damage can result in,7,4.4336,4.5516,7.0014,1.0068,OLMo-2-1124-13B
medical,chest_pain,chest pain,declarative,cloze,Chest pain can indicate,6,4.432,2.7365,7.0014,2.2202,OLMo-2-1124-13B
medical,bone_marrow,bone marrow,declarative,cloze,Bone marrow is,4,4.9573,2.3837,7.0014,2.3837,OLMo-2-1124-13B
medical,brain_stem,brain stem,declarative,cloze,The brain stem controls,5,5.4016,3.7166,8.3991,3.387,OLMo-2-1124-13B
medical,birth_defect,birth defect,declarative,cloze,A birth defect is,5,4.7085,1.6479,7.9966,1.6479,OLMo-2-1124-13B
medical,wound_care,wound care,declarative,cloze,Wound care is,5,5.0883,3.3404,7.0014,3.3404,OLMo-2-1124-13B
medical,pain_management,pain management,declarative,cloze,Pain management involves,5,5.4013,4.1999,7.0014,4.1999,OLMo-2-1124-13B
medical,blood_clot,blood clot,declarative,cloze,A blood clot is,5,4.9074,1.831,7.9966,1.831,OLMo-2-1124-13B
medical,tumor_growth,tumor growth,declarative,cloze,Tumor growth is,5,5.4358,4.1525,7.0014,4.0691,OLMo-2-1124-13B
medical,joint_replacement,joint replacement,declarative,cloze,A joint replacement is,5,5.32,2.8082,7.9966,2.8082,OLMo-2-1124-13B
medical,immune_response,immune response,declarative,cloze,An immune response is,5,5.0601,3.9564,7.0014,3.7191,OLMo-2-1124-13B
medical,viral_infection,viral infection,declarative,cloze,A viral infection is caused by,7,4.0963,1.6968,7.9966,0.3493,OLMo-2-1124-13B
medical,chronic_pain,chronic pain,declarative,cloze,Chronic pain is,5,5.0144,3.6014,7.0014,3.5534,OLMo-2-1124-13B
medical,mental_health,mental health,declarative,cloze,Mental health refers to,6,4.032,2.6127,7.0014,0.1541,OLMo-2-1124-13B
medical,spinal_cord,spinal cord,declarative,cloze,The spinal cord is,5,4.7589,2.8446,8.3991,2.4221,OLMo-2-1124-13B
medical,scar_tissue,scar tissue,declarative,cloze,Scar tissue is,4,4.6603,3.8876,7.0014,3.2464,OLMo-2-1124-13B
medical,fluid_retention,fluid retention,declarative,cloze,Fluid retention can cause,5,4.9297,4.4765,7.0014,2.9336,OLMo-2-1124-13B
