suite,scale,model,prompt_id,pair_id,concept,polarity,paired_with,prompt_type,template_type,prompt,output,max_tokens
gpt2,1.5B,gpt2-xl,evalp_alt_text_primary_violation,alt_text_primary,alt text,violation,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg'><p>Based only on the code shown, an accessibility reviewer should mark this example as", a <a href='http://www.accessibility-guide.org/wp-content/uploads/2015/06/Dish-Soap-Code-of-Practice.pdf'>code of practice</a> for the <a href='http://www.accessibility-guide.org/wp-content/uploads/2015/06/Dish-Soap-Code-of-Practice.pdf'>Accessibility Guide</a>. The code of practice is,100
gpt2,1.5B,gpt2-xl,evalp_alt_text_primary_conformant,alt_text_primary,alt text,conformant,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg' alt='Sink filled with dirty dishes'><p>Based only on the code shown, an accessibility reviewer should mark this example as", a <a href='http://www.accessibility-guide.org/wp-content/uploads/2015/06/Dish-soap-code-example.pdf'>high-impact code example</a>. </p><p>This example demonstrates how to use the <code>dish-soap-code-example</code> accessibility guide to create a <code>heavy-duty dish soap</code> that is easy to use and easy to clean. </,100
gpt2,1.5B,gpt2-xl,evalp_captions_primary_violation,captions_primary,closed captions,violation,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a <a href='/help/accessibility_reviews' target='_top'>high-priority issue</a>. The code is not correct, and the code is not correct because it is incorrect. The code is correct because it is correct. The code is incorrect because it is incorrect. The code is incorrect because it is incorrect. The code is incorrect because it is incorrect. The code is incorrect because it is incorrect. The code is incorrect because it is incorrect. The code is",100
gpt2,1.5B,gpt2-xl,evalp_captions_primary_conformant,captions_primary,closed captions,conformant,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls><track kind='captions' src='lecture.vtt' srclang='en' label='English'></video><p>Based only on the code shown, an accessibility reviewer should mark this example as", a <a href='http://www.w3.org/TR/REC-html40'>qualified example of a cell division</a>. The <a href='http://www.w3.org/TR/REC-html40'>REC-html40</a> standard defines the <code>cell</code> element as a <code>element</code> that can be used to mark up a <code>cell</code> element. The <code>cell,100
gpt2,1.5B,gpt2-xl,evalp_contrast_primary_violation,color_contrast_primary,color contrast,violation,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as",": <p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p>

<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as: <p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p>

<p style='color:#999999; background:#",100
gpt2,1.5B,gpt2-xl,evalp_contrast_primary_conformant,color_contrast_primary,color contrast,conformant,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as",": <p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p>

<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as: <p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p>

<p style='color:#767676; background:#",100
gpt2,1.5B,gpt2-xl,evalp_focus_indicator_primary_violation,focus_indicator_primary,focus indicator,violation,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as", a problem. <p>The button's text is not accessible. The button's background color is not accessible. The button's background image is not accessible. The button's text is not accessible. The button's background color is not accessible. The button's background image is not accessible. The button's text is not accessible. The button's background color is not accessible. The button's background image is not accessible. The button's text is not accessible. The button's background color is not accessible,100
gpt2,1.5B,gpt2-xl,evalp_focus_indicator_primary_conformant,focus_indicator_primary,focus indicator,conformant,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as", a low priority. </p><p>This example is not accessible to people with vision impairments. </p><p>This example is not accessible to people with hearing impairments. </p><p>This example is not accessible to people with mobility impairments. </p><p>This example is not accessible to people with cognitive impairments. </p><p>This example is not accessible to people with mental impairments. </p><p>This example is not accessible to,100
gpt2,1.5B,gpt2-xl,evalp_keyboard_navigation_primary_violation,keyboard_navigation_primary,keyboard navigation,violation,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first' tabindex='2'></label><label>Last name <input name='last' tabindex='1'></label><button type='submit' tabindex='3'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as",": <p><label>Accessibility: <input type='checkbox' name='accessibility' tabindex='1' value='true' checked>true</label></p></div>

<form><label>First name <input name='first' tabindex='2'></label><label>Last name <input name='last' tabindex='1'></label><button type='submit' tabindex='3'>Submit</button></form><p>Based",100
gpt2,1.5B,gpt2-xl,evalp_keyboard_navigation_primary_conformant,keyboard_navigation_primary,keyboard navigation,conformant,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first'></label><label>Last name <input name='last'></label><button type='submit'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," <a href=""http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd"">incomplete</a>. <br><br> <input type='hidden' name='submit' value='Submit' /> </p> <p>This example is incomplete because it does not include the following elements: <br><br> <label>First name <input name='first'></label><label>Last name <",100
