model,concept,condition,prompt,layer,rank,token,logit,margin,matches_final
pythia-12b,skip_link,regress,A skip link is,0,0,||,9.939,0.9319,False
pythia-12b,skip_link,regress,A skip link is,0,1,====================,9.007,0.9319,False
pythia-12b,skip_link,regress,A skip link is,0,2,======================,8.757,0.9319,False
pythia-12b,skip_link,regress,A skip link is,0,3,=====================,8.119,0.9319,False
pythia-12b,skip_link,regress,A skip link is,0,4,===================,7.815,0.9319,False
pythia-12b,skip_link,regress,A skip link is,1,0,||,9.146,0.5417,False
pythia-12b,skip_link,regress,A skip link is,1,1,======================,8.605,0.5417,False
pythia-12b,skip_link,regress,A skip link is,1,2,====================,8.392,0.5417,False
pythia-12b,skip_link,regress,A skip link is,1,3,=====================,7.789,0.5417,False
pythia-12b,skip_link,regress,A skip link is,1,4,Simplify,7.744,0.5417,False
pythia-12b,skip_link,regress,A skip link is,2,0,======================,8.989,0.3071,False
pythia-12b,skip_link,regress,A skip link is,2,1,||,8.682,0.3071,False
pythia-12b,skip_link,regress,A skip link is,2,2,====================,7.845,0.3071,False
pythia-12b,skip_link,regress,A skip link is,2,3,Simplify,7.558,0.3071,False
pythia-12b,skip_link,regress,A skip link is,2,4,Decided,7.551,0.3071,False
pythia-12b,skip_link,regress,A skip link is,3,0,======================,8.375,0.4706,False
pythia-12b,skip_link,regress,A skip link is,3,1,Simplify,7.905,0.4706,False
pythia-12b,skip_link,regress,A skip link is,3,2,||,7.791,0.4706,False
pythia-12b,skip_link,regress,A skip link is,3,3,ek,7.654,0.4706,False
pythia-12b,skip_link,regress,A skip link is,3,4,A,7.647,0.4706,False
pythia-12b,skip_link,regress,A skip link is,4,0,======================,8.427,0.5038,False
pythia-12b,skip_link,regress,A skip link is,4,1,||,7.923,0.5038,False
pythia-12b,skip_link,regress,A skip link is,4,2,Simplify,7.455,0.5038,False
pythia-12b,skip_link,regress,A skip link is,4,3,===================,7.148,0.5038,False
pythia-12b,skip_link,regress,A skip link is,4,4,ek,6.985,0.5038,False
pythia-12b,skip_link,regress,A skip link is,5,0,======================,8.958,1.0925,False
pythia-12b,skip_link,regress,A skip link is,5,1,Simplify,7.865,1.0925,False
pythia-12b,skip_link,regress,A skip link is,5,2,===================,6.93,1.0925,False
pythia-12b,skip_link,regress,A skip link is,5,3,=====================,6.895,1.0925,False
pythia-12b,skip_link,regress,A skip link is,5,4,====================,6.885,1.0925,False
pythia-12b,skip_link,regress,A skip link is,6,0,======================,8.165,0.9529,False
pythia-12b,skip_link,regress,A skip link is,6,1,Simplify,7.212,0.9529,False
pythia-12b,skip_link,regress,A skip link is,6,2,used,7.102,0.9529,False
pythia-12b,skip_link,regress,A skip link is,6,3,=========================,6.855,0.9529,False
pythia-12b,skip_link,regress,A skip link is,6,4,to,6.769,0.9529,False
pythia-12b,skip_link,regress,A skip link is,7,0,used,8.732,0.9354,False
pythia-12b,skip_link,regress,A skip link is,7,1,usually,7.797,0.9354,False
pythia-12b,skip_link,regress,A skip link is,7,2,to,7.685,0.9354,False
pythia-12b,skip_link,regress,A skip link is,7,3,or,7.128,0.9354,False
pythia-12b,skip_link,regress,A skip link is,7,4,======================,7.047,0.9354,False
pythia-12b,skip_link,regress,A skip link is,8,0,used,8.479,0.5041,False
pythia-12b,skip_link,regress,A skip link is,8,1,usually,7.975,0.5041,False
pythia-12b,skip_link,regress,A skip link is,8,2,typically,7.468,0.5041,False
pythia-12b,skip_link,regress,A skip link is,8,3,generally,7.454,0.5041,False
pythia-12b,skip_link,regress,A skip link is,8,4,often,7.352,0.5041,False
pythia-12b,skip_link,regress,A skip link is,9,0,typically,8.701,0.0282,False
pythia-12b,skip_link,regress,A skip link is,9,1,generally,8.673,0.0282,False
pythia-12b,skip_link,regress,A skip link is,9,2,usually,8.524,0.0282,False
pythia-12b,skip_link,regress,A skip link is,9,3,often,8.455,0.0282,False
pythia-12b,skip_link,regress,A skip link is,9,4,used,7.829,0.0282,False
pythia-12b,skip_link,regress,A skip link is,10,0,generally,8.276,0.1928,False
pythia-12b,skip_link,regress,A skip link is,10,1,typically,8.084,0.1928,False
pythia-12b,skip_link,regress,A skip link is,10,2,often,7.893,0.1928,False
pythia-12b,skip_link,regress,A skip link is,10,3,usually,7.834,0.1928,False
pythia-12b,skip_link,regress,A skip link is,10,4,used,7.572,0.1928,False
pythia-12b,skip_link,regress,A skip link is,11,0,typically,9.056,0.2862,False
pythia-12b,skip_link,regress,A skip link is,11,1,generally,8.77,0.2862,False
pythia-12b,skip_link,regress,A skip link is,11,2,often,8.743,0.2862,False
pythia-12b,skip_link,regress,A skip link is,11,3,usually,8.395,0.2862,False
pythia-12b,skip_link,regress,A skip link is,11,4,used,7.844,0.2862,False
pythia-12b,skip_link,regress,A skip link is,12,0,generally,9.188,0.2108,False
pythia-12b,skip_link,regress,A skip link is,12,1,often,8.977,0.2108,False
pythia-12b,skip_link,regress,A skip link is,12,2,typically,8.924,0.2108,False
pythia-12b,skip_link,regress,A skip link is,12,3,usually,8.353,0.2108,False
pythia-12b,skip_link,regress,A skip link is,12,4,not,7.782,0.2108,False
pythia-12b,skip_link,regress,A skip link is,13,0,generally,8.422,0.0658,False
pythia-12b,skip_link,regress,A skip link is,13,1,a,8.356,0.0658,False
pythia-12b,skip_link,regress,A skip link is,13,2,used,8.245,0.0658,False
pythia-12b,skip_link,regress,A skip link is,13,3,often,8.244,0.0658,False
pythia-12b,skip_link,regress,A skip link is,13,4,typically,8.213,0.0658,False
pythia-12b,skip_link,regress,A skip link is,14,0,a,9.931,0.3879,True
pythia-12b,skip_link,regress,A skip link is,14,1,in,9.543,0.3879,True
pythia-12b,skip_link,regress,A skip link is,14,2,an,9.22,0.3879,True
pythia-12b,skip_link,regress,A skip link is,14,3,typically,8.911,0.3879,True
pythia-12b,skip_link,regress,A skip link is,14,4,generally,8.86,0.3879,True
pythia-12b,skip_link,regress,A skip link is,15,0,a,9.636,0.4891,True
pythia-12b,skip_link,regress,A skip link is,15,1,an,9.147,0.4891,True
pythia-12b,skip_link,regress,A skip link is,15,2,in,8.883,0.4891,True
pythia-12b,skip_link,regress,A skip link is,15,3,typically,8.453,0.4891,True
pythia-12b,skip_link,regress,A skip link is,15,4,the,8.452,0.4891,True
pythia-12b,skip_link,regress,A skip link is,16,0,a,10.805,0.951,True
pythia-12b,skip_link,regress,A skip link is,16,1,an,9.854,0.951,True
pythia-12b,skip_link,regress,A skip link is,16,2,in,9.675,0.951,True
pythia-12b,skip_link,regress,A skip link is,16,3,the,9.636,0.951,True
pythia-12b,skip_link,regress,A skip link is,16,4,",",8.859,0.951,True
pythia-12b,skip_link,regress,A skip link is,17,0,a,11.147,1.1181,True
pythia-12b,skip_link,regress,A skip link is,17,1,an,10.029,1.1181,True
pythia-12b,skip_link,regress,A skip link is,17,2,in,10.024,1.1181,True
pythia-12b,skip_link,regress,A skip link is,17,3,the,9.54,1.1181,True
