domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
finance,cash_flow,cash flow,declarative,cloze,Cash flow is,"a key factor in the success of any business. It is the primary source of revenue for many businesses. However, it is also a key factor in the success of many businesses.

The following is a list of the top 10 most profitable businesses in the world.

1. Apple

Apple is a company that has been around for over a century. It is a company that has been around for over a century. It is a company that has been around for over a century.",100,pythia-410m
finance,balance_sheet,balance sheet,declarative,cloze,A balance sheet is,a financial statement that shows the balance of assets and liabilities of a company. The balance sheet is a financial statement that shows the balance of assets and liabilities of a company. The balance sheet is a financial statement that shows the balance of assets and liabilities of a company. The balance sheet is a financial statement that shows the balance of assets and liabilities of a company. The balance sheet is a financial statement that shows the balance of assets and liabilities of a company. The balance sheet is a financial statement that shows,100,pythia-410m
finance,journal_entry,journal entry,declarative,cloze,A journal entry is,"a record of a particular event, event, or event. A journal entry is a record of a particular event, event, or event. A journal entry is a record of a particular event, event, or event. A journal entry is a record of a particular event, event, or event. A journal entry is a record of a particular event, event, or event. A journal entry is a record of a particular event, event, or event. A journal entry is a record of a",100,pythia-410m
finance,accelerated_depreciation,accelerated depreciation,declarative,cloze,Accelerated depreciation is,"a common practice in the construction industry. The depreciation of a building is a process that is often performed by a contractor. The contractor may be required to perform a number of different tasks, such as:

• Building a new building

• Building a new building

• Building a new building

• Building a new building

• Building a new building

• Building a new building

• Building a new building

• Building a new building

•",100,pythia-410m
finance,impairment_goodwill,impairment goodwill,declarative,cloze,Goodwill impairment occurs when,"a person's body is unable to perform the normal functions of the body. For example, a person may have a heart condition, but the heart is not functioning properly. A person may have a stroke, but the brain is not functioning properly. A person may have a heart attack, but the heart is not functioning properly. A person may have a heart attack, but the brain is not functioning properly. A person may have a heart attack, but the heart is not functioning properly. A person may",100,pythia-410m
finance,yield_maturity,yield maturity,declarative,cloze,Yield to maturity is,a key factor in the success of a plant. The yield of a plant is the amount of food that a plant can produce in a year. The yield of a plant is determined by the number of seeds that a plant can produce in a year. The yield of a plant is determined by the number of seeds that a plant can produce in a year. The yield of a plant is determined by the number of seeds that a plant can produce in a year. The yield of a plant is determined by,100,pythia-410m
finance,bond_coupon,bond coupon,declarative,cloze,A bond coupon is,"a coupon that is issued by a bank or other financial institution. A bond coupon is issued by a bank or other financial institution to pay for a loan or other obligation. A bond coupon is issued by a bank or other financial institution to pay for a loan or other obligation. A bond coupon is issued by a bank or other financial institution to pay for a loan or other obligation.

A bond is a form of security that is issued by a bank or other financial institution to pay for a loan",100,pythia-410m
finance,credit_spread,credit spread,declarative,cloze,A credit spread is,"a spread of a company's earnings between two companies. The spread is usually calculated by dividing the company's earnings by the company's market value.

A credit spread is a spread of a company's earnings between two companies. The spread is usually calculated by dividing the company's earnings by the company's market value.

A credit spread is a spread of a company's earnings between two companies. The spread is usually calculated by dividing the company's earnings by the company's market value.",100,pythia-410m
finance,modified_duration,modified duration,declarative,cloze,Modified duration measures,"of the P300 and P600 components of the event-related potentials (ERPs) in patients with schizophrenia.
The P300 and P600 components of the event-related potentials (ERPs) are known to be sensitive to the cognitive processes involved in the processing of information. The present study was designed to investigate the effects of the duration of the P300 and P600 components on the amplitude of the P300 and P600 components of the ERPs in patients with schizophrenia. The P300",100,pythia-410m
finance,interest_swap,interest swap,declarative,cloze,An interest swap is,"a type of transaction in which a buyer and seller agree to exchange certain assets. The buyer may be a business or a person, and the seller may be a person or a business. The buyer and seller may be parties to a transaction, and the transaction may be a sale or a purchase.

An interest swap is a type of transaction in which a buyer and seller agree to exchange certain assets. The buyer may be a business or a person, and the seller may be a person or a",100,pythia-410m
finance,call_option,call option,declarative,cloze,A call option gives,a financial advisor the ability to take a call at any time. Call options are a great way to get a financial advisor to help you with your financial goals. Call options are a great way to get a financial advisor to help you with your financial goals. Call options are a great way to get a financial advisor to help you with your financial goals. Call options are a great way to get a financial advisor to help you with your financial goals. Call options are a great way to get a financial advisor,100,pythia-410m
finance,commodity_futures,commodity futures,declarative,cloze,Commodity futures are,"a good place to start.

The market for commodities is a good place to start.

The market for commodities is a good place to start.

The market for commodities is a good place to start.

The market for commodities is a good place to start.

The market for commodities is a good place to start.

The market for commodities is a good place to start.

The market for commodities is a good place to start.

The",100,pythia-410m
finance,currency_hedge,currency hedge,declarative,cloze,A currency hedge is,a type of financial instrument that is used to hedge the risk of a currency fluctuation. The hedge is a type of financial instrument that is used to hedge the risk of a currency fluctuation. The hedge is a type of financial instrument that is used to hedge the risk of a currency fluctuation. The hedge is a type of financial instrument that is used to hedge the risk of a currency fluctuation. The hedge is a type of financial instrument that is used to hedge the risk of a currency fluctuation. The hedge is,100,pythia-410m
finance,implied_volatility,implied volatility,declarative,cloze,Implied volatility refers to,"the fact that the price of a security is not necessarily the price of the underlying security. For example, a security may be a security that is traded on a stock exchange, but the price of the security may be the price of the underlying security.

Implied volatility is a measure of the implied volatility of a security. The implied volatility of a security is the volatility of the price of the security. The implied volatility of a security is the volatility of the price of the security.",100,pythia-410m
finance,zero_collar,zero collar,declarative,cloze,A zero collar strategy,"for the treatment of patients with severe head and neck cancer.
The aim of this study was to evaluate the efficacy of a novel treatment strategy for patients with severe head and neck cancer. A total of 100 patients with severe head and neck cancer were treated with a novel treatment strategy consisting of a zero collar. The patients were divided into two groups: group A (n = 50) received a collar with a 0.5-cm-wide band, and group B (n = 50) received a",100,pythia-410m
finance,diluted_earnings,diluted earnings,declarative,cloze,Diluted earnings per share is,"a key metric for the company, which is looking to increase its share price by as much as 10% this year.

The company's shares have fallen by more than 10% this year, and the stock is down more than 10% from its all-time high of $33.50 on Friday.

The company's stock price has fallen by more than 10% this year, and the stock is down more than 10% from its all-time high of $33.50",100,pythia-410m
finance,price_ratio,price ratio,declarative,cloze,The price to earnings ratio is,"a measure of the relative importance of the different factors that influence the price of a stock. The higher the price to earnings ratio, the more important the factors are.

The price to earnings ratio is a measure of the relative importance of the different factors that influence the price of a stock. The higher the price to earnings ratio, the more important the factors are.

The price to earnings ratio is a measure of the relative importance of the different factors that influence the price of a stock.",100,pythia-410m
finance,preferred_dividend,preferred dividend,declarative,cloze,A preferred dividend is,a dividend that is preferred over a dividend that is not preferred. A preferred dividend is a dividend that is preferred over a dividend that is not preferred. A preferred dividend is a dividend that is preferred over a dividend that is not preferred. A preferred dividend is a dividend that is preferred over a dividend that is not preferred. A preferred dividend is a dividend that is preferred over a dividend that is not preferred. A preferred dividend is a dividend that is preferred over a dividend that is not preferred. A preferred,100,pythia-410m
finance,financial_leverage,financial leverage,declarative,cloze,Financial leverage is,a key factor in the success of any business. It is a key factor in the success of any business. It is a key factor in the success of any business. It is a key factor in the success of any business. It is a key factor in the success of any business. It is a key factor in the success of any business. It is a key factor in the success of any business. It is a key factor in the success of any business. It is a key factor in,100,pythia-410m
