domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
accessibility,decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a device that allows a user to view a screen of a computer system. Screen readers are typically used to assist a user in navigating a computer system. Screen readers are typically used to assist a user in navigating a computer system by providing a user interface that allows a user to view a screen of the computer system.
Screen readers are typically used to assist a user in navigating a computer system by providing a user interface that allows a user to view a screen of the computer system. Screen readers are typically used",100,pythia-410m
accessibility,decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"the World Confederation of Agricultural and Food Industries.

WCAG is a global organization of more than 100,000 members, representing more than 100 countries, with more than 1,000 members in more than 100 countries.

WCAG is a member of the World Confederation of Agricultural and Food Industries (WCAGI), a global organization of more than 100,000 members, representing more than 100 countries, with more than 1,000 members in more than 100 countries.

WC",100,pythia-410m
accessibility,decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that is not part of the main page.

A skip link is a link that is not part of the main page.

A skip link is a link that is not part of the main page.

A skip link is a link that is not part of the main page.

A skip link is a link that is not part of the main page.

A skip link is a link that is not part of the main page.

A skip",100,pythia-410m
accessibility,decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a way for users to customize the text of the alt text.

Alt text is a text that is displayed on the screen.

Alt text is a text that is displayed on the screen.

Alt text is a text that is displayed on the screen.

Alt text is a text that is displayed on the screen.

Alt text is a text that is displayed on the screen.

Alt text is a text that is displayed on the screen.",100,pythia-410m
accessibility,decl_aria_001,ARIA,declarative,cloze,ARIA stands for,the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for the acronym for,100,pythia-410m
accessibility,decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,"a device that is used to indicate the presence of a focus in a camera. The focus indicator is typically a small, light-emitting diode (LED) that is placed in the camera's viewfinder. The LED is turned on when the camera is in focus, and off when the camera is out of focus. The LED is turned off when the camera is in the dark.

The focus indicator is typically mounted on the camera's viewfinder. The focus indicator is typically mounted on the camera",100,pythia-410m
accessibility,decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate through the various sections of the site.

The site is divided into three sections:

The main site

The main site is the home page of the site.

The main site is the home page of the site.

The main site is the home page of the site.

The main site is the home page of the site.

The main site is the home page of the site.

The main site is the home page",100,pythia-410m
accessibility,decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it can be used to distinguish between different colors. For example, a person wearing a red shirt and a blue shirt may be wearing a red shirt and a blue shirt, but a person wearing a red shirt and a blue shirt may be wearing a red shirt and a blue shirt.
Color contrast is also important because it can be used to distinguish between different colors. For example, a person wearing a red shirt and a blue shirt may be wearing a red shirt and a blue shirt, but a person",100,pythia-410m
accessibility,decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"you create a rich, interactive website.

Semantic HTML is a powerful HTML parser that can parse HTML documents and generate HTML code. It is a powerful HTML parser that can parse HTML documents and generate HTML code.

Semantic HTML is a powerful HTML parser that can parse HTML documents and generate HTML code. It is a powerful HTML parser that can parse HTML documents and generate HTML code.

Semantic HTML is a powerful HTML parser that can parse HTML documents and generate HTML code.",100,pythia-410m
accessibility,decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,"the purpose of providing a more concise and readable version of the text.


The following is a list of the most common closed captions used in the text.

The following is a list of the most common closed captions used in the text.

The following is a list of the most common closed captions used in the text.

The following is a list of the most common closed captions used in the text.

The following is a list of the",100,pythia-410m
accessibility,decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,"a process in which a user interacts with a keyboard to perform a task. For example, a user may interact with a keyboard to perform a task such as typing a word, typing a sentence, or typing a paragraph.
Typing a word is a process in which a user types a word using a keyboard. A user may type a word using a keyboard by pressing a key on the keyboard. A user may type a word using a keyboard by pressing a key on a keyboard.
Typing",100,pythia-410m
accessibility,decl_section_heading_001,section heading,declarative,cloze,A section heading is,a section of a document that is used to identify the section of the document. A section heading is typically used to identify a section of a document. A section heading is typically used to identify a section of a document. A section heading is typically used to identify a section of a document. A section heading is typically used to identify a section of a document. A section heading is typically used to identify a section of a document. A section heading is typically used to identify a section of a document.,100,pythia-410m
accessibility,decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,a text that is not a text. A text alternative is a text that is not a text. A text alternative is a text that is not a text. A text alternative is a text that is not a text. A text alternative is a text that is not a text. A text alternative is a text that is not a text. A text alternative is a text that is not a text. A text alternative is a text that is not a text. A text alternative is a text that is,100,pythia-410m
accessibility,decl_audio_description_001,audio description,declarative,cloze,An audio description is,"a short audio file that can be used to describe a particular event.

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description

Audio description",100,pythia-410m
accessibility,decl_sign_language_001,sign language,declarative,cloze,Sign language is,a language that is used to communicate with other people. Sign language is a language that is used to communicate with other people. Sign language is a language that is used to communicate with other people. Sign language is a language that is used to communicate with other people. Sign language is a language that is used to communicate with other people. Sign language is a language that is used to communicate with other people. Sign language is a language that is used to communicate with other people. Sign language is a language,100,pythia-410m
accessibility,decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,"important in the diagnosis of many diseases. For example, the sensory characteristics of a patient's skin are important in the diagnosis of skin cancer. The sensory characteristics of a patient's skin are also important in the diagnosis of a variety of diseases, including, for example, the diagnosis of diabetes.
Sensory characteristics are also important in the diagnosis of a variety of diseases, including, for example, the diagnosis of diabetes.
Sensory characteristics are also important in the diagnosis of a variety of diseases,",100,pythia-410m
accessibility,decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,"a function that is used to input data to a computer system. An input device is a device that is used to input data to a computer system. An input device may be a keyboard, a mouse, a touch screen, a touch pad, a touch pad controller, a touch pad controller controller, a touch pad controller controller, a touch pad controller controller, a touch pad controller controller, a touch pad controller controller, a touch pad controller controller, a touch pad controller controller, a touch pad controller",100,pythia-410m
accessibility,decl_target_size_001,target size,declarative,cloze,A target size is,"a measure of the size of the target that is to be targeted. The target size is typically expressed in the form of a number of bits. For example, a target size of 8 bits is a target size of 256 bits.
Target size is a measure of the size of the target that is to be targeted. The target size is typically expressed in the form of a number of bits. For example, a target size of 8 bits is a target size of 256 bits.
Target size is",100,pythia-410m
accessibility,decl_touch_target_001,touch target,declarative,cloze,A touch target is,"a device that is used to detect a touch on a surface. Touch targets are typically used in a variety of applications, such as in a touch screen display, a touch pad, a touch pen, a touch pad, a touch screen, a touch pad, a touch screen, a touch pad, a touch screen, a touch pad, a touch screen, a touch pad, a touch screen, a touch pad, a touch screen, a touch pad, a touch screen, a touch pad,",100,pythia-410m
