domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
control,blue_sky,blue sky,declarative,cloze,A blue sky is,"the perfect backdrop for a wedding.

A blue sky is the perfect backdrop for a wedding.

A blue sky is the perfect backdrop for a wedding.

A blue sky is the perfect backdrop for a wedding.

A blue sky is the perfect backdrop for a wedding.

A blue sky is the perfect backdrop for a wedding.

A blue sky is the perfect backdrop for a wedding.

A blue sky is the perfect backdrop for a wedding.",100,pythia-2.8b
control,cold_water,cold water,declarative,cloze,Cold water is typically characterized by,"a high degree of turbulence, which can be detrimental to the performance of a heat exchanger. Cold water can also be characterized by a high degree of stratification, which can be detrimental to the performance of a heat exchanger.
In order to reduce the effects of cold water, it is known to provide a heat exchanger with a cold water inlet and a cold water outlet. The cold water inlet and the cold water outlet are typically located in a cold water inlet and a cold water outlet chamber, respectively. The",100,pythia-2.8b
control,ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,"milk, sugar, and cream. Ice cream is usually made by freezing the milk, sugar, and cream together, then churning the mixture to form ice crystals. The ice crystals are then frozen in a freezer to form a solid mass of ice cream.

Ice cream is a popular dessert in many countries around the world. It is a popular treat in the United States, where it is sold in many different flavors. Ice cream is also a popular treat in many other countries around the world.",100,pythia-2.8b
control,life_jacket,life jacket,declarative,cloze,A life jacket is designed to,keep a person afloat in water. It is a type of life jacket that is designed to keep a person afloat in water. It is a type of life jacket that is designed to keep a person afloat in water. It is a type of life jacket that is designed to keep a person afloat in water. It is a type of life jacket that is designed to keep a person afloat in water. It is a type of life jacket that is designed to keep a person afloat,100,pythia-2.8b
control,tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,"drinking tea. It is usually made of ceramic, glass, or porcelain. The cup is usually made of a single piece of material, but may be made of multiple pieces. The cup is usually made of a single piece of material, but may be made of multiple pieces. The cup is usually made of a single piece of material, but may be made of multiple pieces. The cup is usually made of a single piece of material, but may be made of multiple pieces. The cup is",100,pythia-2.8b
control,living_room,living room,declarative,cloze,A living room is,a place where you can relax and enjoy your time with your family and friends. It is a place where you can enjoy the comfort of your home. It is a place where you can enjoy the comfort of your home. It is a place where you can enjoy the comfort of your home. It is a place where you can enjoy the comfort of your home. It is a place where you can enjoy the comfort of your home. It is a place where you can enjoy the comfort of your home.,100,pythia-2.8b
control,roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,is designed to be ridden by a passenger seated on a seat. The roller coaster is typically designed to be ridden by a passenger seated on a seat that is mounted on a track. The track is typically a steel or wood track that is supported by a steel or wood structure. The track is typically supported by a steel or wood structure that is supported by a steel or wood structure. The track is typically supported by a steel or wood structure that is supported by a steel or wood structure.,100,pythia-2.8b
control,school_bus,school bus,declarative,cloze,A school bus is used to,transport students to and from school. The school bus is a large vehicle that is used to transport students to and from school. The school bus is a large vehicle that is used to transport students to and from school. The school bus is a large vehicle that is used to transport students to and from school. The school bus is a large vehicle that is used to transport students to and from school. The school bus is a large vehicle that is used to transport students to and from school. The school bus,100,pythia-2.8b
control,grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,"a slice of bread, a slice of cheese, and a slice of meat. The meat is usually a ham, a roast beef, or a turkey. The cheese is usually American, cheddar, Swiss, or provolone. The bread is usually white, and the cheese is usually American.

The sandwich is usually served with a side of ketchup, mustard, or mayonnaise.

The sandwich is a favorite of children, and is often served at school lun",100,pythia-2.8b
control,peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,"ground peanuts. It is a popular spread in the United States and is used in many recipes. It is also a popular ingredient in many other foods.

Peanut butter is made from ground peanuts. It is a popular spread in the United States and is used in many recipes. It is also a popular ingredient in many other foods.

Peanut butter is made from ground peanuts. It is a popular spread in the United States and is used in many recipes. It is",100,pythia-2.8b
control,hot_chocolate,hot chocolate,declarative,cloze,Hot chocolate is a warm beverage typically made from,"cocoa powder, sugar, and milk. It is a popular drink in many countries, especially in the United States. It is also a popular drink in many countries, especially in the United States.

Hot chocolate is a warm beverage typically made from cocoa powder, sugar, and milk. It is a popular drink in many countries, especially in the United States. It is also a popular drink in many countries, especially in the United States.

Hot chocolate is a warm beverage typically made from",100,pythia-2.8b
control,apple_pie,apple pie,declarative,cloze,Apple pie is a dessert featuring,"a fruit filling, usually apple, and a crust. The filling is usually sweetened with sugar or honey, and the crust is usually made with flour, butter, and a little water. Apple pie is a common dessert in the United States, and is often served with ice cream or whipped cream.

The first written mention of apple pie was in a letter written by a woman named Elizabeth Wayland in 1789. The letter was written to her husband, who was serving in the Revolutionary War",100,pythia-2.8b
