compound,layer,head,binding_score,word1,word2,prompt,tokens,word1_idx,word2_idx,model
screen_reader,0,0,0.8454,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,1,0.0,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,2,0.0046,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,3,0.0471,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,4,0.1966,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,5,0.0146,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,6,0.2611,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,7,0.0139,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,8,0.0431,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,9,0.2697,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,10,0.0805,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,11,0.04,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,12,0.0107,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,13,0.0023,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,14,0.9758,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,0,15,0.0869,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,0,0.0207,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,1,0.0302,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,2,0.6587,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,3,0.9404,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,4,0.0003,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,5,0.1462,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,6,0.6878,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,7,0.3305,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,8,0.0125,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,9,0.7598,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,10,0.8005,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,11,0.3266,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,12,0.3833,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,13,0.0998,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,14,0.5306,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,1,15,0.0,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,2,0,0.0209,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,2,1,0.0234,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
screen_reader,2,2,0.023,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,EleutherAI/pythia-410m
