domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
legal,due_process,due process,declarative,cloze,Due process is,the cornerstone of any legal system. It is the cornerstone of any legal system. It is the cornerstone of any legal system. It is the cornerstone of any legal system. It is the cornerstone of any legal system. It is the cornerstone of any legal system. It is the cornerstone of any legal system. It is the cornerstone of any legal system. It is the cornerstone of any legal system. It is the cornerstone of any legal system. It is the cornerstone of any legal system. It is the,100,gpt2
legal,equal_protection,equal protection,declarative,cloze,Equal protection refers to,"the fact that the law does not apply to the individual.

The law does not apply to the individual.

The law does not apply to the individual.

The law does not apply to the individual.

The law does not apply to the individual.

The law does not apply to the individual.

The law does not apply to the individual.

The law does not apply to the individual.

The law does not apply to the individual.",100,gpt2
legal,commerce_clause,commerce clause,declarative,cloze,The commerce clause is,"a clause that allows the government to regulate the sale of goods and services. It is a clause that allows the government to regulate the sale of goods and services. It is a clause that allows the government to regulate the sale of goods and services.

The Commerce Clause is a clause that allows the government to regulate the sale of goods and services. It is a clause that allows the government to regulate the sale of goods and services.

The Commerce Clause is a clause that allows the government to",100,gpt2
legal,fifth_amendment,fifth amendment,declarative,cloze,The fifth amendment provides,"that ""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof.""

The Supreme Court has held that the Establishment Clause does not apply to the federal government.

The Supreme Court has held that the Establishment Clause does not apply to the federal government.

The Supreme Court has held that the Establishment Clause does not apply to the federal government.

The Supreme Court has held that the Establishment Clause does not apply to the federal government.

The Supreme",100,gpt2
legal,free_speech,free speech,declarative,cloze,Free speech is a right that,"should be protected by law. But it's not.

The First Amendment protects free speech. It protects the right to speak freely. It protects the right to speak freely about issues that matter to people.

The First Amendment protects the right to speak freely about issues that matter to people.

The First Amendment protects the right to speak freely about issues that matter to people.

The First Amendment protects the right to speak freely about issues that matter to people.

The First",100,gpt2
legal,strict_liability,strict liability,declarative,cloze,Strict liability is a legal doctrine holding,"that a person is liable for damages if he or she negligently causes harm to another person.

Strict liability is a legal doctrine holding that a person is liable for damages if he or she negligently causes harm to another person.

The law of negligence is a legal doctrine holding that a person is liable for damages if he or she negligently causes harm to another person.

The law of negligence is a legal doctrine holding that a person is liable for damages if he or she",100,gpt2
legal,punitive_damages,punitive damages,declarative,cloze,Punitive damages are awarded to,"the victim if the victim is injured or killed by the defendant.

Punitive damages are awarded to the victim if the victim is injured or killed by the defendant.

Punitive damages are awarded to the victim if the victim is injured or killed by the defendant.

Punitive damages are awarded to the victim if the victim is injured or killed by the defendant.

Punitive damages are awarded to the victim if the victim is injured or killed by the defendant",100,gpt2
legal,sovereign_immunity,sovereign immunity,declarative,cloze,Sovereign immunity is,"a legal requirement for the government to protect its citizens from foreign governments.

The law was passed in the wake of the 9/11 attacks, which left more than 1,000 Americans dead.

The law was passed in the wake of the terrorist attacks in Paris and San Bernardino, California, in which 49 people were killed.

The law was passed in the wake of the terrorist attacks in Paris and San Bernardino, California, in which 49 people were killed.

The law",100,gpt2
legal,grand_indictment,grand indictment,declarative,cloze,A grand indictment is,"expected to be filed against the former head of the FBI in the case.

The indictment, unsealed Tuesday, alleges that former FBI Director James Comey and his deputy, James Comey, conspired to cover up the existence of a ""Russian government-sponsored hacking campaign"" against the Democratic National Committee and the Democratic National Committee in 2016.

The indictment alleges that Comey and his deputy, James Comey, conspired to cover up the existence of a ""Russian government-sponsored hacking campaign"" against",100,gpt2
legal,guilty_plea,guilty plea,declarative,cloze,A guilty plea is when,"the judge finds that the defendant has committed a crime.

The plea is a plea of guilty to a charge of first degree murder.

The defendant is charged with first degree murder in the death of a person.

The defendant is also charged with first degree murder in the death of a person.

The defendant is also charged with first degree murder in the death of a person.

The defendant is also charged with first degree murder in the death of a person.",100,gpt2
legal,excessive_bail,excessive bail,declarative,cloze,Excessive bail is prohibited by,"law.

The law states that a person who is convicted of a felony or misdemeanor and is sentenced to a term of imprisonment of not more than five years or to a term of imprisonment of not more than five years or to a term of imprisonment of not more than five years or to a term of imprisonment of not more than five years or to a term of imprisonment of not more than five years or to a term of imprisonment of not more than five years or to a term of imprisonment of not",100,gpt2
legal,felony_conviction,felony conviction,declarative,cloze,A felony conviction is,"a felony conviction for which a person is sentenced to imprisonment for a term of not more than one year. A felony conviction is a felony conviction for which a person is sentenced to imprisonment for a term of not more than one year.

A felony conviction is a felony conviction for which a person is sentenced to imprisonment for a term of not more than one year.

A felony conviction is a felony conviction for which a person is sentenced to imprisonment for a term of not more than one year.",100,gpt2
legal,conditional_parole,conditional parole,declarative,cloze,Conditional parole requires,"that a person be convicted of a crime and sentenced to life in prison.

The sentence is based on the conviction of the person who committed the crime.

The sentence is based on the conviction of the person who committed the crime.

The sentence is based on the conviction of the person who committed the crime.

The sentence is based on the conviction of the person who committed the crime.

The sentence is based on the conviction of the person who committed the crime.",100,gpt2
legal,joint_custody,joint custody,declarative,cloze,Joint custody means,"that the parties are separated by a court order.

Joint custody means that the parties are separated by a court order.

Joint custody means that the parties are separated by a court order.

Joint custody means that the parties are separated by a court order.

Joint custody means that the parties are separated by a court order.

Joint custody means that the parties are separated by a court order.

Joint custody means that the parties are",100,gpt2
legal,material_breach,material breach,declarative,cloze,A material breach is,"a material breach of a contract or agreement between a party to a contract or agreement.

A material breach is a material breach of a contract or agreement between a party to a contract or agreement.

A material breach is a material breach of a contract or agreement between a party to a contract or agreement.

A material breach is a material breach of a contract or agreement between a party to a contract or agreement.

A material breach is a material breach of a contract or agreement",100,gpt2
legal,adequate_consideration,adequate consideration,declarative,cloze,Adequate consideration in a contract means,"that the parties agree to the terms of the contract.

The terms of a contract are as follows:

The parties agree to the terms of the contract.

The parties agree to the terms of the contract.

The parties agree to the terms of the contract.

The parties agree to the terms of the contract.

The parties agree to the terms of the contract.

The parties agree to the terms of the contract.

The parties agree to",100,gpt2
legal,arbitration_clause,arbitration clause,declarative,cloze,An arbitration clause is,"a clause that allows a court to award a court a monetary award for a violation of a provision of a contract.

The arbitration clause is a clause that allows a court to award a court a monetary award for a violation of a provision of a contract.

The arbitration clause is a clause that allows a court to award a court a monetary award for a violation of a provision of a contract.

The arbitration clause is a clause that allows a court to award a court a monetary award",100,gpt2
legal,specific_performance,specific performance,declarative,cloze,Specific performance is a remedy that,"can be used to improve performance of the CPU.

The CPU is designed to be able to perform at least one task at a time.

The CPU is designed to be able to perform at least one task at a time.

The CPU is designed to be able to perform at least one task at a time.

The CPU is designed to be able to perform at least one task at a time.

The CPU is designed to be able to perform at least one",100,gpt2
legal,preliminary_injunction,preliminary injunction,declarative,cloze,A preliminary injunction is,"expected to be issued on Monday, May 1, 2017, to stop the use of the term ""illegal immigrant"" in the state of California.

The injunction was issued by the California Department of Justice on May 1, 2017, and was issued by the California Department of Justice on May 1, 2017.

The injunction was issued by the California Department of Justice on May 1, 2017, and was issued by the California Department of Justice on May 1, 2017.

The injunction was",100,gpt2
legal,oral_deposition,oral deposition,declarative,cloze,An oral deposition is,"a deposition of a witness or witness's testimony. The deposition is a legal document that is used to establish the facts of the case. The deposition is not a legal document that is used to establish the facts of the case.

The deposition is not a legal document that is used to establish the facts of the case.

The deposition is not a legal document that is used to establish the facts of the case.

The deposition is not a legal document that is used to establish the",100,gpt2
