model,compound,prompt,rank,token_id,token,logit
gpt2-medium,alt_text,An image without alt text is not accessible because,0,340, it,15.9036
gpt2-medium,alt_text,An image without alt text is not accessible because,1,262, the,15.3380
gpt2-medium,alt_text,An image without alt text is not accessible because,2,286, of,14.7825
gpt2-medium,alt_text,An image without alt text is not accessible because,3,663, its,13.1791
gpt2-medium,alt_text,An image without alt text is not accessible because,4,257, a,12.8719
gpt2-medium,alt_text,An image without alt text is not accessible because,5,612, there,12.8301
gpt2-medium,alt_text,An image without alt text is not accessible because,6,345, you,12.5457
gpt2-medium,alt_text,An image without alt text is not accessible because,7,281, an,12.4293
gpt2-medium,alt_text,An image without alt text is not accessible because,8,534, your,12.2768
gpt2-medium,alt_text,An image without alt text is not accessible because,9,25,:,12.0483
gpt2-medium,alt_text,An image without alt text is not accessible because,10,617, some,11.9241
gpt2-medium,alt_text,An image without alt text is not accessible because,11,428, this,11.8241
gpt2-medium,alt_text,An image without alt text is not accessible because,12,356, we,11.7461
gpt2-medium,alt_text,An image without alt text is not accessible because,13,645, no,11.7438
gpt2-medium,alt_text,An image without alt text is not accessible because,14,5988, alt,11.3876
