domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
control,blue_sky,blue sky,declarative,cloze,A blue sky is,5,6.2534,4.8071,8.0838,4.8071,OLMo-2-1124-7B
control,cold_water,cold water,declarative,cloze,Cold water is typically characterized by,7,4.925,4.2476,7.0639,0.9606,OLMo-2-1124-7B
control,ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,9,3.9324,1.5459,7.0639,1.3892,OLMo-2-1124-7B
control,life_jacket,life jacket,declarative,cloze,A life jacket is designed to,7,4.3777,2.8461,8.0838,0.5161,OLMo-2-1124-7B
control,tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,9,4.6591,2.1489,8.0838,1.0287,OLMo-2-1124-7B
control,living_room,living room,declarative,cloze,A living room is,5,5.5623,3.2991,8.0838,3.2991,OLMo-2-1124-7B
control,roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,9,4.0031,3.8569,8.0838,1.0736,OLMo-2-1124-7B
control,school_bus,school bus,declarative,cloze,A school bus is used to,7,4.8168,2.3994,8.0838,1.6364,OLMo-2-1124-7B
control,grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,7,4.0679,2.4032,8.0838,0.213,OLMo-2-1124-7B
control,peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,8,3.5649,2.8986,7.0639,0.4647,OLMo-2-1124-7B
control,hot_chocolate,hot chocolate,declarative,cloze,Hot chocolate is a warm beverage typically made from,10,3.804,2.6108,7.0639,1.3375,OLMo-2-1124-7B
control,apple_pie,apple pie,declarative,cloze,Apple pie is a dessert featuring,7,4.7368,2.9848,7.0639,2.9848,OLMo-2-1124-7B
control,orange_juice,orange juice,declarative,cloze,Orange juice is extracted from,6,4.3526,2.392,7.0639,1.0537,OLMo-2-1124-7B
control,baked_beans,baked beans,declarative,cloze,Baked beans are,5,5.3519,3.9064,7.0639,3.8131,OLMo-2-1124-7B
control,palm_tree,palm tree,declarative,cloze,A palm tree is characterized by,7,4.7112,2.7059,8.0838,0.5787,OLMo-2-1124-7B
control,thunder_storm,thunder storm,declarative,cloze,A thunder storm is,5,5.2521,4.2226,8.0838,1.7825,OLMo-2-1124-7B
control,coral_reef,coral reef,declarative,cloze,A coral reef is an underwater formation that,9,4.0907,3.2904,8.0838,2.3147,OLMo-2-1124-7B
control,shooting_star,shooting star,declarative,cloze,A shooting star is actually,6,4.8987,1.8583,8.0838,1.8583,OLMo-2-1124-7B
control,mountain_lion,mountain lion,declarative,cloze,A mountain lion is,5,5.9537,4.8657,8.0838,4.8199,OLMo-2-1124-7B
control,tidal_wave,tidal wave,declarative,cloze,A tidal wave is a large ocean wave caused by,11,3.4559,1.3655,8.0838,0.2807,OLMo-2-1124-7B
control,dining_table,dining table,declarative,cloze,A dining table is furniture used for,8,4.0446,2.3919,8.0838,1.5067,OLMo-2-1124-7B
control,car_keys,car keys,declarative,cloze,Car keys are used to,6,4.5403,2.8027,7.0639,1.8371,OLMo-2-1124-7B
control,washing_machine,washing machine,declarative,cloze,A washing machine is an appliance that,8,4.2096,3.0417,8.0838,1.846,OLMo-2-1124-7B
control,bath_towels,bath towels,declarative,cloze,Bath towels are used for,7,4.6182,2.0956,7.0639,2.0956,OLMo-2-1124-7B
