compound,split,shuffle_position,random_seed
accessible_name,selection,1,20260813
responsive_design,selection,2,20260813
semantic_html,selection,3,20260813
radio_group,selection,4,20260813
drag_movement,selection,5,20260813
input_purpose,selection,6,20260813
alt_text,selection,7,20260813
low_vision,selection,8,20260813
focus_indicator,selection,9,20260813
text_spacing,selection,10,20260813
informative_image,selection,11,20260813
landmark_region,selection,12,20260813
semantic_markup,selection,13,20260813
tool_tip,selection,14,20260813
keyboard_interaction,selection,15,20260813
pointer_cancellation,selection,16,20260813
focus_management,selection,17,20260813
decorative_image,selection,18,20260813
status_message,selection,19,20260813
focus_appearance,selection,20,20260813
menu_bar,selection,21,20260813
reading_order,selection,22,20260813
text_formatting,selection,23,20260813
screen_reader,selection,24,20260813
accessibility_tree,selection,25,20260813
error_identification,held_out,26,20260813
audio_description,held_out,27,20260813
section_heading,held_out,28,20260813
character_key,held_out,29,20260813
sign_language,held_out,30,20260813
accessible_authentication,held_out,31,20260813
cognitive_disabilities,held_out,32,20260813
closed_captions,held_out,33,20260813
target_size,held_out,34,20260813
color_contrast,held_out,35,20260813
tab_panel,held_out,36,20260813
live_region,held_out,37,20260813
skip_link,held_out,38,20260813
tree_grid,held_out,39,20260813
redundant_entry,held_out,40,20260813
form_field,held_out,41,20260813
combo_box,held_out,42,20260813
keyboard_navigation,held_out,43,20260813
touch_target,held_out,44,20260813
accessible_description,held_out,45,20260813
universal_design,held_out,46,20260813
text_alternative,held_out,47,20260813
consistent_help,held_out,48,20260813
sensory_characteristics,held_out,49,20260813
