domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
legal,due_process,due process,declarative,cloze,Due process is,"a fundamental right of all Americans. It is a right that is protected by the Constitution and the Bill of Rights. It is a right that is guaranteed by the Fifth Amendment. It is a right that is protected by the Fourteenth Amendment. It is a right that is protected by the Fifth and Fourteenth Amendments. It is a right that is protected by the First Amendment. It is a right that is protected by the First, Fifth, and Fourteenth Amendments. It is a right that is protected by",100,pythia-6.9b
legal,equal_protection,equal protection,declarative,cloze,Equal protection refers to,"the principle that all persons similarly situated should be treated alike. The Equal Protection Clause of the Fourteenth Amendment to the United States Constitution prohibits states from denying to any person within its jurisdiction the equal protection of the laws. The Equal Protection Clause applies to the states through the Fourteenth Amendment.

The Equal Protection Clause of the Fourteenth Amendment to the United States Constitution provides that no state shall ""deny to any person within its jurisdiction the equal protection of the laws."" The Equal Protection Clause applies to the states through",100,pythia-6.9b
legal,commerce_clause,commerce clause,declarative,cloze,The commerce clause is,"a constitutional provision that gives Congress the power to regulate commerce among the states. The Supreme Court has interpreted the clause to mean that Congress can regulate any activity that substantially affects interstate commerce.

The Supreme Court has upheld the constitutionality of the individual mandate under the commerce clause. The Court has also upheld the constitutionality of the individual mandate under the taxing power.

The Supreme Court has upheld the constitutionality of the individual mandate under the commerce clause. The Court has also upheld the constitutionality",100,pythia-6.9b
legal,fifth_amendment,fifth amendment,declarative,cloze,The fifth amendment provides,"that no person shall be compelled in any criminal case to be a witness against himself. The fifth amendment is a fundamental right of the accused. It is a right that is not to be taken lightly. It is a right that is to be zealously guarded. It is a right that is to be zealously protected.

The fifth amendment is a fundamental right of the accused. It is a right that is not to be taken lightly. It is a right that is to be zealously guarded",100,pythia-6.9b
legal,free_speech,free speech,declarative,cloze,Free speech is a right that,"is protected by the First Amendment to the United States Constitution. The First Amendment states that “Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.”

The First Amendment is the most important part of the Constitution, and it is the most important part of the Bill of Rights.",100,pythia-6.9b
legal,strict_liability,strict liability,declarative,cloze,Strict liability is a legal doctrine holding,"that a person is liable for the consequences of his or her actions, even if the person did not intend to cause harm. The doctrine is most commonly applied in tort law, but it is also used in criminal law.

The doctrine is most commonly applied in tort law, but it is also used in criminal law. In tort law, the doctrine is most commonly applied in cases where the defendant is charged with negligence. In criminal law, the doctrine is most commonly applied in cases where the defendant",100,pythia-6.9b
legal,punitive_damages,punitive damages,declarative,cloze,Punitive damages are awarded to,"punish a defendant for egregious conduct. The purpose of punitive damages is to punish the defendant and to deter others from engaging in similar conduct.

Punitive damages are awarded to punish a defendant for egregious conduct. The purpose of punitive damages is to punish the defendant and to deter others from engaging in similar conduct.

Punitive damages are awarded to punish a defendant for egregious conduct. The purpose of punitive damages is to punish the defendant and to deter others from",100,pythia-6.9b
legal,sovereign_immunity,sovereign immunity,declarative,cloze,Sovereign immunity is,"a legal doctrine that protects the government from lawsuits. It is a fundamental principle of American law, and it is a cornerstone of the American legal system.

The doctrine is based on the principle that the government is not subject to the same laws as private citizens. The government is not subject to the same laws as private citizens because the government is a separate entity from the people.

The government is a separate entity from the people because the government is a separate entity from the people. The",100,pythia-6.9b
legal,grand_indictment,grand indictment,declarative,cloze,A grand indictment is,"being made against the United States of America, and the people thereof, for their manifold sins and abominations.

The indictment is that the people of the United States have been guilty of the following crimes:

1. Murdering the unborn.

2. Murdering the innocent.

3. Murdering the helpless.

4. Murdering the defenseless.

5. Murdering the innocent.

6. Murdering the helpless.",100,pythia-6.9b
legal,guilty_plea,guilty plea,declarative,cloze,A guilty plea is when,"a person pleads guilty to a criminal charge. A plea of guilty is a formal admission of guilt. A plea of not guilty is a denial of guilt. A plea of guilty is a formal admission of guilt. A plea of not guilty is a denial of guilt.

A guilty plea is when a person pleads guilty to a criminal charge. A plea of guilty is a formal admission of guilt. A plea of not guilty is a denial of guilt. A plea of guilty is a formal",100,pythia-6.9b
legal,excessive_bail,excessive bail,declarative,cloze,Excessive bail is prohibited by,the Eighth Amendment to the United States Constitution. The Excessive Bail Clause is a part of the Due Process Clause of the Fourteenth Amendment. The Excessive Bail Clause is a part of the Due Process Clause of the Fourteenth Amendment. The Excessive Bail Clause is a part of the Due Process Clause of the Fourteenth Amendment. The Excessive Bail Clause is a part of the Due Process Clause of the Fourteenth Amendment. The Excessive Bail Clause is a part of the Due Process Clause of,100,pythia-6.9b
legal,felony_conviction,felony conviction,declarative,cloze,A felony conviction is,"a serious matter. It can affect your ability to get a job, housing, and even your right to vote. It can also affect your ability to get a student loan, a driver’s license, or even a passport.

If you have been convicted of a felony, you may be eligible to have your record sealed. Sealing your record can help you get a job, housing, and even a student loan.

What is Sealing a Record?

A felony conviction",100,pythia-6.9b
legal,conditional_parole,conditional parole,declarative,cloze,Conditional parole requires,"a prisoner to be released from prison if certain conditions are met. The conditions are set by the parole board and are based on the prisoner’s criminal history, the nature of the crime, and the prisoner’s behavior while in prison.

Conditional parole is a form of parole that is granted to prisoners who have been convicted of a crime and are serving a sentence of less than one year. The parole board may grant conditional parole to a prisoner if the prisoner has been in prison for less",100,pythia-6.9b
legal,joint_custody,joint custody,declarative,cloze,Joint custody means,"that the parents share the care of the child. The parents may have joint custody of the child, or one parent may have sole custody of the child. Joint custody is a form of shared parenting.

Joint custody is a form of shared parenting. It is a way of sharing the care of the child. It is a way of sharing the responsibility of raising the child. It is a way of sharing the decision-making process. It is a way of sharing the decision-making process.",100,pythia-6.9b
legal,material_breach,material breach,declarative,cloze,A material breach is,a failure to comply with a material obligation under a contract. A material breach is a breach of a material obligation under a contract. A material breach is a breach of a material obligation under a contract. A material breach is a breach of a material obligation under a contract. A material breach is a breach of a material obligation under a contract. A material breach is a breach of a material obligation under a contract. A material breach is a breach of a material obligation under a contract. A material breach is,100,pythia-6.9b
legal,adequate_consideration,adequate consideration,declarative,cloze,Adequate consideration in a contract means,"that the parties to the contract have considered the relevant factors and have reached a reasonable conclusion.

The contract must be fair and reasonable.

The contract must be in writing.

The contract must be signed by the parties.

The contract must be signed by the party who is to perform the contract.

The contract must be signed by the party who is to receive the benefit of the contract.

The contract must be signed by the party who is to be bound",100,pythia-6.9b
legal,arbitration_clause,arbitration clause,declarative,cloze,An arbitration clause is,"a provision in a contract that allows a party to a contract to have a dispute resolved by a third party. Arbitration clauses are common in contracts, and are often included in contracts for the sale of goods.

Arbitration clauses are often included in contracts for the sale of goods. The clause allows the buyer and seller to resolve any disputes that arise between them without going to court.

The clause is often included in contracts for the sale of goods. The clause allows the buyer and",100,pythia-6.9b
legal,specific_performance,specific performance,declarative,cloze,Specific performance is a remedy that,is used to prevent a party from performing a contract. It is a remedy that is used to prevent a party from performing a contract. It is a remedy that is used to prevent a party from performing a contract. It is a remedy that is used to prevent a party from performing a contract. It is a remedy that is used to prevent a party from performing a contract. It is a remedy that is used to prevent a party from performing a contract. It is a remedy that is used to prevent,100,pythia-6.9b
