prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a software program that reads the text on a computer screen and converts it into speech or Braille. Screen readers are used by people who are blind or have low vision. They are also used by people with learning disabilities, memory loss, or other print disabilities. Screen readers are available for computers running Windows, Macintosh, and Linux operating systems. Screen readers are also available for mobile devices such as smartphones and tablets.

Screen readers work by reading the text on the screen aloud. They can also be used",100,OLMo-2-1124-7B
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"Web Content Accessibility Guidelines. It is a set of guidelines that help web developers create websites that are accessible to people with disabilities. The guidelines are created by the World Wide Web Consortium (W3C), which is the main international standards organization for the World Wide Web.

The WCAG guidelines are divided into four levels of accessibility: A, AA, AAA, and AAAA. Each level has its own set of requirements that must be met in order to achieve that level of accessibility. The higher the level",100,OLMo-2-1124-7B
decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that is placed at the top of a page that allows users to skip the page’s content and go directly to the main navigation. This is useful for users who are using a screen reader or have a disability that makes it difficult to navigate the page.

Skip links are typically placed in the header of the page, and they are usually labeled with the word “Skip” or “Skip to main content.” They can also be placed in the footer of the page, but this is less common.",100,OLMo-2-1124-7B
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a textual alternative to non-text content in web pages. It is used by screen readers to read out the content of images to blind and visually impaired users. It is also used by search engines to index images and provide a text alternative for them. Alt text is also used by assistive technologies to describe the content of images to users.

Alt text is not just for images. It can also be used for other non-text content such as audio, video, and animations. Alt text should be",100,OLMo-2-1124-7B
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,Accessible Rich Internet Applications. It is a set of guidelines that help developers create web applications that are accessible to people with disabilities. The W3C has created a set of guidelines that help developers create web applications that are accessible to people with disabilities. The W3C has created a set of guidelines that help developers create web applications that are accessible to people with disabilities. The W3C has created a set of guidelines that help developers create web applications that are accessible to people with disabilities. The W,100,OLMo-2-1124-7B
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,a small light that is used to indicate that a device is ready to accept data. The focus indicator is usually a small light that is located on the front of the device. The focus indicator is used to indicate that the device is ready to accept data. The focus indicator is usually a small light that is located on the front of the device. The focus indicator is used to indicate that the device is ready to accept data. The focus indicator is usually a small light that is located on the front of,100,OLMo-2-1124-7B
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate through the page using the keyboard. This is especially useful for people who use screen readers or have limited mobility. The keyboard navigation is controlled by the tab key. When you press the tab key, the focus moves to the next element on the page. The focus is indicated by a dotted outline around the element. You can also use the arrow keys to move the focus around the page.

The tab key is used to move the focus to the next element on the page. The focus is",100,OLMo-2-1124-7B
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it can make it easier for people with low vision to read text and see images. It can also make it easier for people with color blindness to see the difference between colors. The contrast ratio is the ratio of the luminance of the lightest color to the darkest color. The higher the contrast ratio, the easier it is to see the difference between colors.

The contrast ratio is important because it can make it easier for people with low vision to read text and see images. It can also make it",100,OLMo-2-1124-7B
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"search engines understand the content of your page. It also helps screen readers and other assistive technologies to understand the content of your page. This is important for people with disabilities. It also helps people who are using a mobile device to read your page.

The following are some examples of semantic HTML:

  • <h1> for the main heading of a page
  • <h2> for a subheading
  • <p> for a paragraph
  • <ul> for a",100,OLMo-2-1124-7B
decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,"the hearing impaired. They are also used for people who are in a noisy environment, such as a bar or a factory. They are also used for people who are learning English as a second language. They are also used for people who are learning English as a second language. They are also used for people who are learning English as a second language. They are also used for people who are learning English as a second language. They are also used for people who are learning English as a second language.",100,OLMo-2-1124-7B
