domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
control,blue_sky,blue sky,declarative,cloze,A blue sky is,a blue sky. A blue sky is a blue sky. A blue sky is a blue sky. A blue sky is a blue sky. A blue sky is a blue sky. A blue sky is a blue sky. A blue sky is a blue sky. A blue sky is a blue sky. A blue sky is a blue sky. A blue sky is a blue sky. A blue sky is a blue sky. A blue sky is a blue sky. A blue sky is a blue sky.,100,pythia-410m
control,cold_water,cold water,declarative,cloze,Cold water is typically characterized by,"a high temperature and a low pressure. Cold water is used in the production of water-based paints, inks, and other products. Cold water is typically produced by a process called “cold water extraction” or “cold water extraction” (CWE). Cold water extraction is a process that extracts water from a liquid, such as water from a water supply, and then recovers the water by heating it to a temperature that is below the boiling point of the water. Cold water extraction is typically",100,pythia-410m
control,ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,"a mixture of cream, sugar, and ice. It is a popular dessert in many countries, including the United States, Canada, and Australia. Ice cream is a popular dessert in the United States, Canada, and Australia.

Ice cream is a frozen dessert made from a mixture of cream, sugar, and ice. It is a popular dessert in many countries, including the United States, Canada, and Australia. Ice cream is a popular dessert in the United States, Canada, and Australia.",100,pythia-410m
control,life_jacket,life jacket,declarative,cloze,A life jacket is designed to,protect a person from the elements. It is a protective garment that is worn by people who are in a position of danger. It is also a garment that is worn by people who are in a position of danger. A life jacket is designed to protect a person from the elements. It is a protective garment that is worn by people who are in a position of danger. A life jacket is designed to protect a person from the elements. It is a protective garment that is worn by people who are in,100,pythia-410m
control,tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,"drinking tea. The cup is usually made of a metal or ceramic material, and is usually made of a cup-shaped body with a handle. The cup is usually made of a metal or ceramic material, and is usually made of a cup-shaped body with a handle. The cup is usually made of a metal or ceramic material, and is usually made of a cup-shaped body with a handle. The cup is usually made of a metal or ceramic material, and is usually made of a cup",100,pythia-410m
control,living_room,living room,declarative,cloze,A living room is,a place where you can relax and enjoy the comfort of your own home. It is a place where you can enjoy the comfort of your own home. It is a place where you can relax and enjoy the comfort of your own home. It is a place where you can relax and enjoy the comfort of your own home. It is a place where you can relax and enjoy the comfort of your own home. It is a place where you can relax and enjoy the comfort of your own home. It is,100,pythia-410m
control,roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,is designed to be operated by a person. The ride is usually a series of vertical or horizontal tracks that are driven by a motor. The tracks are usually made of a material that is light and flexible. The tracks are usually made of a material that is strong and durable. The tracks are usually made of a material that is light and flexible. The tracks are usually made of a material that is strong and durable. The tracks are usually made of a material that is light and flexible. The tracks are,100,pythia-410m
control,school_bus,school bus,declarative,cloze,A school bus is used to,transport students from one school to another. The bus is a vehicle that is used to transport students from one school to another. The bus is a vehicle that is used to transport students from one school to another. The bus is a vehicle that is used to transport students from one school to another. The bus is a vehicle that is used to transport students from one school to another. The bus is a vehicle that is used to transport students from one school to another. The bus is a vehicle that is,100,pythia-410m
control,grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,"a sandwich of two or more different types of food. The sandwich is usually made of bread, cheese, and mayonnaise. The sandwich is usually served with a slice of bread, a slice of cheese, and a slice of mayonnaise.

A grilled cheese sandwich consists of a sandwich of two or more different types of food. The sandwich is usually made of bread, cheese, and mayonnaise. The sandwich is usually served with a slice of bread, a slice of cheese,",100,pythia-410m
control,peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,"the seeds of the peanut plant. It is a nutritious food that is rich in protein, fat, and carbohydrates. It is also a source of vitamins A, C, and E.

Peanut butter is a great source of protein, and it is also a great source of fat. It is a good source of calcium, iron, and zinc.

Peanut butter is a great source of protein, and it is also a great source of fat. It is a good",100,pythia-410m
