model,prompt,layer,rank,token,logit
gpt2-medium,skip_link,0,0,currently,29.136
gpt2-medium,skip_link,0,1,not,29.115
gpt2-medium,skip_link,0,2,often,27.728
gpt2-medium,skip_link,0,3,definitely,27.568
gpt2-medium,skip_link,0,4,required,27.355
gpt2-medium,skip_link,1,0,currently,39.148
gpt2-medium,skip_link,1,1,not,37.742
gpt2-medium,skip_link,1,2,typically,36.647
gpt2-medium,skip_link,1,3,often,36.462
gpt2-medium,skip_link,1,4,bound,35.309
gpt2-medium,skip_link,2,0,NOT,38.077
gpt2-medium,skip_link,2,1,not,37.947
gpt2-medium,skip_link,2,2,currently,37.87
gpt2-medium,skip_link,2,3,often,36.124
gpt2-medium,skip_link,2,4,located,35.412
gpt2-medium,skip_link,3,0,currently,42.257
gpt2-medium,skip_link,3,1,not,41.054
gpt2-medium,skip_link,3,2,often,40.437
gpt2-medium,skip_link,3,3,typically,38.535
gpt2-medium,skip_link,3,4,NOT,38.529
gpt2-medium,skip_link,4,0,currently,47.416
gpt2-medium,skip_link,4,1,not,47.027
gpt2-medium,skip_link,4,2,often,45.489
gpt2-medium,skip_link,4,3,located,44.415
gpt2-medium,skip_link,4,4,driven,43.808
gpt2-medium,skip_link,5,0,often,51.5
gpt2-medium,skip_link,5,1,driven,50.289
gpt2-medium,skip_link,5,2,currently,50.053
gpt2-medium,skip_link,5,3,located,49.761
gpt2-medium,skip_link,5,4,not,48.241
gpt2-medium,skip_link,6,0,often,60.803
gpt2-medium,skip_link,6,1,usually,56.607
gpt2-medium,skip_link,6,2,typically,55.553
gpt2-medium,skip_link,6,3,currently,55.27
gpt2-medium,skip_link,6,4,not,54.199
gpt2-medium,skip_link,7,0,often,65.461
gpt2-medium,skip_link,7,1,usually,62.959
gpt2-medium,skip_link,7,2,always,60.076
gpt2-medium,skip_link,7,3,currently,59.519
gpt2-medium,skip_link,7,4,attached,59.263
gpt2-medium,skip_link,8,0,often,73.826
gpt2-medium,skip_link,8,1,always,71.288
gpt2-medium,skip_link,8,2,usually,70.05
gpt2-medium,skip_link,8,3,located,69.597
gpt2-medium,skip_link,8,4,not,66.557
gpt2-medium,skip_link,9,0,usually,88.205
gpt2-medium,skip_link,9,1,often,86.328
gpt2-medium,skip_link,9,2,typically,80.553
gpt2-medium,skip_link,9,3,always,79.819
gpt2-medium,skip_link,9,4,attached,75.343
gpt2-medium,skip_link,10,0,usually,92.161
gpt2-medium,skip_link,10,1,often,91.163
gpt2-medium,skip_link,10,2,always,84.79
gpt2-medium,skip_link,10,3,typically,83.377
gpt2-medium,skip_link,10,4,attached,83.248
gpt2-medium,skip_link,11,0,usually,100.868
gpt2-medium,skip_link,11,1,often,95.566
gpt2-medium,skip_link,11,2,not,93.094
gpt2-medium,skip_link,11,3,typically,92.822
gpt2-medium,skip_link,11,4,located,90.145
gpt2-medium,skip_link,12,0,usually,124.404
gpt2-medium,skip_link,12,1,often,118.752
gpt2-medium,skip_link,12,2,typically,115.589
gpt2-medium,skip_link,12,3,commonly,106.871
gpt2-medium,skip_link,12,4,always,105.546
gpt2-medium,skip_link,13,0,usually,132.069
gpt2-medium,skip_link,13,1,typically,123.36
gpt2-medium,skip_link,13,2,often,122.664
gpt2-medium,skip_link,13,3,commonly,115.799
gpt2-medium,skip_link,13,4,always,113.466
gpt2-medium,skip_link,14,0,usually,147.818
gpt2-medium,skip_link,14,1,often,137.024
gpt2-medium,skip_link,14,2,typically,136.628
gpt2-medium,skip_link,14,3,commonly,133.854
gpt2-medium,skip_link,14,4,normally,128.152
gpt2-medium,skip_link,15,0,usually,168.716
gpt2-medium,skip_link,15,1,often,156.766
gpt2-medium,skip_link,15,2,typically,156.18
gpt2-medium,skip_link,15,3,commonly,149.549
gpt2-medium,skip_link,15,4,always,144.668
gpt2-medium,skip_link,16,0,usually,188.269
gpt2-medium,skip_link,16,1,typically,176.94
gpt2-medium,skip_link,16,2,often,174.376
gpt2-medium,skip_link,16,3,a,172.246
gpt2-medium,skip_link,16,4,commonly,168.175
gpt2-medium,skip_link,17,0,a,208.688
gpt2-medium,skip_link,17,1,usually,204.681
gpt2-medium,skip_link,17,2,an,198.988
gpt2-medium,skip_link,17,3,typically,191.721
gpt2-medium,skip_link,17,4,often,190.641
gpt2-medium,skip_link,18,0,a,245.195
gpt2-medium,skip_link,18,1,an,233.797
gpt2-medium,skip_link,18,2,usually,226.261
gpt2-medium,skip_link,18,3,inserted,212.004
gpt2-medium,skip_link,18,4,typically,211.805
gpt2-medium,skip_link,19,0,a,270.718
gpt2-medium,skip_link,19,1,an,254.852
gpt2-medium,skip_link,19,2,usually,247.09
gpt2-medium,skip_link,19,3,often,236.73
gpt2-medium,skip_link,19,4,typically,229.024
gpt2-medium,skip_link,20,0,a,314.613
gpt2-medium,skip_link,20,1,an,293.36
gpt2-medium,skip_link,20,2,used,258.083
gpt2-medium,skip_link,20,3,usually,257.876
gpt2-medium,skip_link,20,4,automatically,253.322
gpt2-medium,skip_link,21,0,a,339.407
gpt2-medium,skip_link,21,1,an,319.139
gpt2-medium,skip_link,21,2,used,298.951
gpt2-medium,skip_link,21,3,provided,288.993
gpt2-medium,skip_link,21,4,displayed,286.726
gpt2-medium,skip_link,22,0,a,357.142
gpt2-medium,skip_link,22,1,an,336.671
gpt2-medium,skip_link,22,2,used,331.223
gpt2-medium,skip_link,22,3,provided,322.123
gpt2-medium,skip_link,22,4,inserted,316.224
gpt2-medium,skip_link,23,0,a,369.0
gpt2-medium,skip_link,23,1,an,350.415
gpt2-medium,skip_link,23,2,used,342.19
gpt2-medium,skip_link,23,3,provided,338.478
gpt2-medium,skip_link,23,4,displayed,329.584
gpt2-medium,color_contrast,0,0,deploying,30.003
gpt2-medium,color_contrast,0,1,demonstrating,28.913
gpt2-medium,color_contrast,0,2,adherence,28.772
gpt2-medium,color_contrast,0,3,administering,28.765
gpt2-medium,color_contrast,0,4,failing,28.4
gpt2-medium,color_contrast,1,0,Iraqis,35.994
gpt2-medium,color_contrast,1,1,we,35.247
gpt2-medium,color_contrast,1,2,they,34.442
gpt2-medium,color_contrast,1,3,there,34.308
gpt2-medium,color_contrast,1,4,deploying,34.249
gpt2-medium,color_contrast,2,0,Iraqis,35.952
gpt2-medium,color_contrast,2,1,persistence,34.682
gpt2-medium,color_contrast,2,2,we,34.539
gpt2-medium,color_contrast,2,3,amen,34.424
gpt2-medium,color_contrast,2,4,atmospheric,34.329
gpt2-medium,color_contrast,3,0,atmospheric,42.324
gpt2-medium,color_contrast,3,1,determining,41.416
