compound,layer,head,binding_score,word1,word2,prompt,tokens,word1_idx,word2_idx,domain,model
screen_reader,0,0,0.1343,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,1,0.1514,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,2,0.1089,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,3,0.0879,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,4,0.0602,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,5,0.2118,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,6,0.22,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,7,0.058,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,8,0.0399,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,9,0.334,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,10,0.195,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,11,0.134,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,12,0.2797,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,13,0.2533,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,14,0.1186,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,15,0.2245,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,16,0.0568,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,17,0.2041,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,18,0.0876,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,19,0.0872,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,20,0.2536,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,21,0.0864,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,22,0.2957,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,23,0.0485,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,0,24,0.1137,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,0,0.2097,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,1,0.3103,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,2,0.2103,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,3,0.2003,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,4,0.1111,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,5,0.0944,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,6,0.1993,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,7,0.0594,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,8,0.1391,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,9,0.1776,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,10,0.4141,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,11,0.4065,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,12,0.031,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,13,0.3012,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,14,0.2452,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,15,0.1777,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,16,0.1771,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,17,0.2655,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,18,0.4518,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
screen_reader,1,19,0.0589,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,gpt2-xl
