prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,"a sequence of keystrokes that is performed by a user. The keyboard interaction is the result of a user's interaction with a keyboard.

The keyboard interaction is the result of a user's interaction with a keyboard.

The keyboard interaction is the result of a user's interaction with a keyboard.

The keyboard interaction is the result of a user's interaction with a keyboard.

The keyboard interaction is the result of a user's interaction with a keyboard.

The keyboard",100,gpt2-xl
decl_section_heading_001,section heading,declarative,cloze,A section heading is,"a heading that appears at the beginning of a section of a document. The heading is used to identify the section of the document.

The heading is also used to identify the section of the document that contains the heading.

The heading is also used to identify the section of the document that contains the heading.

The heading is also used to identify the section of the document that contains the heading.

The heading is also used to identify the section of the document that contains the",100,gpt2-xl
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,"a text that is displayed in a different font, size, or color than the original text.

Text alternatives are often used to make text easier to read.

Text alternatives are often used to make text easier to read.

Text alternatives are often used to make text easier to read.

Text alternatives are often used to make text easier to read.

Text alternatives are often used to make text easier to read.

Text alternatives are often used to make text easier",100,gpt2-xl
decl_audio_description_001,audio description,declarative,cloze,An audio description is,"a recording of a speech or other audio material that is intended to be understood by the listener. It is often used in conjunction with a video or video-on-demand (VOD) service.

The audio description is a recording of a speech or other audio material that is intended to be understood by the listener. It is often used in conjunction with a video or video-on-demand (VOD) service.

Audio description is a recording of a speech or other audio material",100,gpt2-xl
decl_sign_language_001,sign language,declarative,cloze,Sign language is,"a language that is used to communicate with people who are deaf or hard of hearing. It is a language that is used to communicate with people who are deaf or hard of hearing.

Sign language is a language that is used to communicate with people who are deaf or hard of hearing. It is a language that is used to communicate with people who are deaf or hard of hearing.

Sign language is a language that is used to communicate with people who are deaf or hard of hearing. It",100,gpt2-xl
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,"the most important factors in the development of autism. The sensory system is the most complex part of the brain and is affected by a number of factors, including genetics, environment, and the development of the brain.

The sensory system is divided into two main areas: the visual system and the auditory system. The visual system is responsible for processing visual information, while the auditory system is responsible for processing auditory information.

The visual system is divided into two main areas: the retina and the optic",100,gpt2-xl
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,"a function that takes a value and returns a value.

Input purpose is a function that takes a value and returns a value.

Input purpose is a function that takes a value and returns a value.

Input purpose is a function that takes a value and returns a value.

Input purpose is a function that takes a value and returns a value.

Input purpose is a function that takes a value and returns a value.

Input purpose is a function that takes",100,gpt2-xl
decl_target_size_001,target size,declarative,cloze,A target size is,"a number that represents the maximum number of targets that can be hit by a single attack.

The target size for a weapon is the number of attacks that can be made with that weapon.

For example, a weapon with a 1d8 damage die has a target size of 1.

A weapon with a 1d10 damage die has a target size of 2.

A weapon with a 1d12 damage die has a target size of 3.

A weapon",100,gpt2-xl
decl_touch_target_001,touch target,declarative,cloze,A touch target is,"a device that can be used to control a computer mouse. The touch target is a small, flat, flat surface that is used to detect the movement of a finger or stylus. The touch target is typically a surface that is flat and has a smooth surface.

The touch target is typically a surface that is flat and has a smooth surface.

The touch target is typically a surface that is flat and has a smooth surface.

The touch target is typically a surface that is",100,gpt2-xl
decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,"a form of drag that is performed by a person who is not a member of the LGBT community. Drag is a form of performance art that is performed by a person who is not a member of the LGBT community. Drag is a form of performance art that is performed by a person who is not a member of the LGBT community.

Drag is a form of performance art that is performed by a person who is not a member of the LGBT community. Drag is a form of performance art that is",100,gpt2-xl
decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,"a special event where a player is given a specific task to complete. The player is given a set amount of time to complete the task, and the player is given a reward for completing the task.

Contents show]

List of focus appearances Edit

The following is a list of focus appearances.

The following is a list of focus appearances.

The following is a list of focus appearances.

The following is a list of focus appearances.

The following",100,gpt2-xl
decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,"a key part of the recovery process.

The first step is to get help.

The next step is to get the help you need.

The third step is to get the help you need.

The fourth step is to get the help you need.

The fifth step is to get the help you need.

The sixth step is to get the help you need.

The seventh step is to get the help you need.

The eighth",100,gpt2-xl
decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,"a file that is not used by the system. It is usually a file that is not used by the system because it is not needed.

A redundant entry is a file that is not used by the system. It is usually a file that is not used by the system because it is not needed.

A redundant entry is a file that is not used by the system. It is usually a file that is not used by the system because it is not needed.

A redundant",100,gpt2-xl
decl_accessible_authentication_001,accessible authentication,declarative,cloze,Accessible authentication is,"a way to authenticate users to a web application. It is a way to make sure that the user is who they say they are.

In this article, we will look at how to implement accessible authentication in ASP.NET MVC.

The ASP.NET MVC framework provides a number of authentication methods. The most common ones are:

Basic Authentication

Digest Authentication

OATH

Password Authentication

The ASP.NET MVC framework also provides",100,gpt2-xl
decl_text_spacing_001,text spacing,declarative,cloze,Text spacing is,"a common problem in many programming languages. It is a problem that is often overlooked, but it is a very important part of the language design.

In this article, I will show you how to solve text spacing problems in Python.

Text Spacing in Python

The problem with text spacing is that it is often overlooked. It is a problem that is often overlooked, but it is a very important part of the language design.

In this article, I will show you",100,gpt2-xl
decl_status_message_001,status message,declarative,cloze,A status message is,"a message that is displayed to the user when the user is in a particular state.

Status messages are used to indicate the user's current state.

Status messages are displayed in the status bar of the user's device.

Status messages are displayed in the status bar of the user's device.

A status message is a message that is displayed to the user when the user is in a particular state.

A status message is displayed in the status bar of the user",100,gpt2-xl
decl_error_identification_001,error identification,declarative,cloze,Error identification is,"a critical part of the security process. It is the first step in the process of identifying and fixing a security vulnerability.

The following is a list of common error messages that are commonly seen in the security logs.

Error message:

The following error message is commonly seen in the security logs:

Error message:

The following error message is commonly seen in the security logs:

Error message:

The following error message is commonly seen in the security logs",100,gpt2-xl
decl_pointer_cancellation_001,pointer cancellation,declarative,cloze,Pointer cancellation is,"a common problem in C++. It is a problem that can be solved by using the std::is_pointer_safe<T>::value type.

Pointer cancellation is a problem when you have a pointer to a member function and you want to call that member function. For example, if you have a function like this:

void foo(int *x) { x = *x; }

You can't call foo(int *x) because x is",100,gpt2-xl
decl_character_key_001,character key,declarative,cloze,A character key is,"a key that can be used to change the appearance of a character.

Contents show]

Character Key Edit

The character key is a key that can be used to change the appearance of a character. It is used to change the character's hair, eye color, skin color, and eye shape.

Character Key Edit

The character key is a key that can be used to change the appearance of a character. It is used to change the character's hair, eye",100,gpt2-xl
decl_accessibility_tree_001,accessibility tree,declarative,cloze,An accessibility tree is,"a tree that represents the accessibility of a web page. It is a tree that represents the accessibility of a web page. It is a tree that represents the accessibility of a web page.

The accessibility tree is a tree that represents the accessibility of a web page. It is a tree that represents the accessibility of a web page.

The accessibility tree is a tree that represents the accessibility of a web page. It is a tree that represents the accessibility of a web page.

The",100,gpt2-xl
decl_accessible_name_001,accessible name,declarative,cloze,An accessible name is,"a name that is easy to remember and pronounce.

An accessible name is a name that is easy to remember and pronounce.

An accessible name is a name that is easy to remember and pronounce.

An accessible name is a name that is easy to remember and pronounce.

An accessible name is a name that is easy to remember and pronounce.

An accessible name is a name that is easy to remember and pronounce.

An accessible name is a name that is",100,gpt2-xl
decl_accessible_description_001,accessible description,declarative,cloze,An accessible description is,"a description that is accessible to people with disabilities.

Accessible descriptions are used to describe the content of a document, and are used to help people with disabilities understand the content of a document.

Accessible descriptions are used in the following contexts:

In the context of the accessibility of the document, an accessible description is a description that is accessible to people with disabilities.

In the context of the accessibility of the document, an accessible description is a description that is accessible to",100,gpt2-xl
decl_live_region_001,live region,declarative,cloze,A live region is,"a region that is not part of a live game.

A live region is a region that is not part of a live game.

A live region is a region that is not part of a live game.

A live region is a region that is not part of a live game.

A live region is a region that is not part of a live game.

A live region is a region that is not part of a live game.

A live",100,gpt2-xl
decl_tab_panel_001,tab panel,declarative,cloze,A tab panel is,"a panel that is used to display a list of tabs.

The tab panel is a panel that is used to display a list of tabs.

The tab panel is a panel that is used to display a list of tabs.

The tab panel is a panel that is used to display a list of tabs.

The tab panel is a panel that is used to display a list of tabs.

The tab panel is a panel that is used to display a list of",100,gpt2-xl
decl_radio_group_001,radio group,declarative,cloze,A radio group is,"suing the Federal Communications Commission over its plan to eliminate the ""public"" part of the organization's name.

The American Radio Relay League, which represents radio stations, says the FCC's proposal to eliminate the ""public"" part of the organization's name is ""unconstitutional.""

The FCC's proposal would eliminate the ""public"" part of the organization's name, which is currently ""RF"" and ""RAD.""

The FCC says the change is necessary to make the organization",100,gpt2-xl
decl_tree_grid_001,tree grid,declarative,cloze,A tree grid is,"a grid of trees, usually of the same species, that are arranged in a specific pattern. The grid is usually made up of a series of straight lines, but can also be made up of curves. The grid is usually made up of a single species of tree, but can also be made up of a series of different species.

The grid is usually made up of a single species of tree, but can also be made up of a series of different species.

The grid is",100,gpt2-xl
decl_menu_bar_001,menu bar,declarative,cloze,A menu bar is,"a menu that appears on the top of the screen. It is used to display menu items and to select menu items.

Menu bar items are displayed in a menu bar.

Menu bar items are displayed in a menu bar.

Menu bar items are displayed in a menu bar.

Menu bar items are displayed in a menu bar.

Menu bar items are displayed in a menu bar.

Menu bar items are displayed in a menu bar.

Menu bar",100,gpt2-xl
decl_tool_tip_001,tool tip,declarative,cloze,A tool tip is,"a small text or icon that appears on the screen of a computer or mobile device when the user is using a particular application. The tool tip is usually displayed in the upper right corner of the screen.

The tool tip is a visual representation of the application's functionality. It is usually displayed in the upper right corner of the screen.

The tool tip is a visual representation of the application's functionality. It is usually displayed in the upper right corner of the screen.

A tool",100,gpt2-xl
decl_combo_box_001,combo box,declarative,cloze,A combo box is,"a type of item that can be used to combine items into a new item.

Combos can be used to create a new item, or to combine items into a new item.

Contents show]

Combos Edit

The following is a list of combos.

Item Combos Edit

The following is a list of items that can be combined into a new item.

Item Combos Edit

The following is a list of items that can be",100,gpt2-xl
decl_semantic_markup_001,semantic markup,declarative,cloze,Semantic markup is,"a way to add metadata to HTML documents. It is used to add information about the document, such as the author, the title, the date, the location, etc.

The markup is usually added to the <head> of the document.

The markup is usually added to the <head> of the document.

The markup is usually added to the <head> of the document.

The markup is usually added to the <head> of the document.",100,gpt2-xl
decl_focus_management_001,focus management,declarative,cloze,Focus management is,"a key skill for any photographer. It's a skill that can be learned, practiced, and perfected.

The key to focus management is to keep your eyes on the subject and your mind on the subject.

Focus management is a skill that can be learned, practiced, and perfected.

The key to focus management is to keep your eyes on the subject and your mind on the subject.

Focus management is a skill that can be learned, practiced, and perfected.",100,gpt2-xl
decl_reading_order_001,reading order,declarative,cloze,Reading order is,"a very important part of the reading experience. It helps you to understand the story and the characters. It also helps you to understand the plot.

The first thing you need to do is to decide what order you want to read the books in.

The order of the books in the reading order is:

1. The Lord of the Rings

2. The Hobbit

3. The Silmarillion

4. The History of Middle-earth

5",100,gpt2-xl
decl_text_formatting_001,text formatting,declarative,cloze,Text formatting is,"a very important part of writing a blog post. It's a way to make your text look more professional and professional writing is a very important part of blogging.

But, how do you format your text?

There are many ways to format your text.

You can use the standard WordPress text formatting.

You can use the WordPress text formatting plugin.

You can use the WordPress text formatting plugin with the WordPress text formatting plugin.

You can use the WordPress",100,gpt2-xl
decl_form_field_001,form field,declarative,cloze,A form field is,"a field that can be used to store data in a form.

A form field is a field that can be used to store data in a form.

A form field is a field that can be used to store data in a form.

A form field is a field that can be used to store data in a form.

A form field is a field that can be used to store data in a form.

A form field is a field that can be",100,gpt2-xl
