compound,layer,head,binding_score,word1,word2,prompt,tokens,word1_idx,word2_idx,domain,model
due_process,0,0,0.1317,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,1,0.1583,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,2,0.1284,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,3,0.0803,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,4,0.0684,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,5,0.1301,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,6,0.2101,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,7,0.1346,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,8,0.0657,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,9,0.2126,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,10,0.1468,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,11,0.1043,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,12,0.2741,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,13,0.1974,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,14,0.515,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,15,0.1791,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,16,0.066,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,17,0.2177,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,18,0.272,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,19,0.0389,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,20,0.0734,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,21,0.1068,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,22,0.1539,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,23,0.075,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,0,24,0.0654,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,0,0.1406,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,1,0.5008,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,2,0.0415,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,3,0.1445,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,4,0.1264,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,5,0.1776,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,6,0.2688,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,7,0.1247,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,8,0.2824,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,9,0.1842,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,10,0.1718,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,11,0.1667,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,12,0.0726,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,13,0.1925,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,14,0.1765,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,15,0.2458,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,16,0.2825,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,17,0.0931,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,18,0.1989,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,19,0.1386,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,20,0.3121,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,21,0.3372,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,22,0.0797,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
due_process,1,23,0.1118,due,process,The due process clause protects individual rights,"['<|endoftext|>', 'The', ' due', ' process', ' clause', ' protects', ' individual', ' rights']",2,3,legal,gpt2-xl
