domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
accessibility,decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a software application that reads aloud the text on a computer screen. It is designed to be used by people who are blind or have low vision.

A screen reader is a software application that reads aloud the text on a computer screen. It is designed to be used by people who are blind or have low vision.

A screen reader is a software application that reads aloud the text on a computer screen. It is designed to be used by people who are blind or have low vision.",100,pythia-2.8b
accessibility,decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"the World Council of Churches. The WCC is a worldwide association of churches, which is made up of over 1,000 denominations and over 100 million members. The WCC is a member of the World Council of Churches, which is a global network of churches.

The WCC is a member of the World Council of Churches, which is a global network of churches. The WCC is a member of the World Council of Churches, which is a global network of",100,pythia-2.8b
accessibility,decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that is used to skip a section of a web page. The skip link is typically used to skip a section of a web page that is not relevant to the current page. For example, a skip link may be used to skip a section of a web page that is not relevant to the current page. The skip link may be used to skip a section of a web page that is not relevant to the current page. The skip link may be used to skip a section of a web page",100,pythia-2.8b
accessibility,decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a brief description of the image.

The alt text is not displayed in the browser window.

The alt text is used to provide a brief description of the image.

The alt text is not displayed in the browser window.

The alt text is used to provide a brief description of the image.

The alt text is not displayed in the browser window.

The alt text is used to provide a brief description of the image.

The alt",100,pythia-2.8b
accessibility,decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"“A Rational Approach to Information and Automation”.

The ARIA framework is a set of principles and guidelines for the design of intelligent systems. It is a set of principles and guidelines for the design of intelligent systems. It is a set of principles and guidelines for the design of intelligent systems.

The ARIA framework is a set of principles and guidelines for the design of intelligent systems. It is a set of principles and guidelines for the design of intelligent systems. It is a set",100,pythia-2.8b
accessibility,decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,a device that is used to indicate the focus of a camera. The focus indicator is typically a small light source that is mounted on the camera. The light source is typically a light emitting diode (LED) that is mounted on the camera. The light source is typically mounted on the camera in a position that is substantially parallel to the optical axis of the camera. The light source is typically mounted on the camera in a position that is substantially parallel to the optical axis of the camera. The light source is,100,pythia-2.8b
accessibility,decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate through the pages of this website.

The navigation bar at the top of the page allows you to move between pages of this website.

The navigation bar at the bottom of the page allows you to move between pages of this website.

The navigation bar at the top of the page allows you to move between pages of this website.

The navigation bar at the bottom of the page allows you to move between pages of this website.

The navigation bar at",100,pythia-2.8b
accessibility,decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it is a key factor in determining the quality of a printed image. In a color image, the colors of the image are represented by a combination of three primary colors, red, green, and blue. The colors of the image are represented by the amount of each color in the image. The colors of the image are represented by the amount of each color in the image. The colors of the image are represented by the amount of each color in the image. The colors of the image are represented by",100,pythia-2.8b
accessibility,decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"you create semantic HTML documents.

Semantic HTML is a set of HTML elements and attributes that help you create semantic HTML documents.

Semantic HTML is a set of HTML elements and attributes that help you create semantic HTML documents.

Semantic HTML is a set of HTML elements and attributes that help you create semantic HTML documents.

Semantic HTML is a set of HTML elements and attributes that help you create semantic HTML documents.

Semantic HTML is a set of HTML",100,pythia-2.8b
accessibility,decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,"a variety of purposes, including the presentation of closed captions to the hearing impaired. For example, closed captions are used to provide closed captions to video programming, such as television programming, and to provide closed captions to audio programming, such as radio programming.
Closed captions are typically provided by a closed captioning service, which is a service that provides closed captions to a television program or a radio program. The closed captioning service typically provides closed captions to a television program",100,pythia-2.8b
accessibility,decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,"a process in which a user interacts with a computer system by using a keyboard. The keyboard interaction may be performed by a user, a software application, or a hardware device. The keyboard interaction may be performed by a user by using a keyboard. The keyboard interaction may be performed by a software application by using a keyboard. The keyboard interaction may be performed by a hardware device by using a keyboard.
A keyboard interaction may be performed by a user by using a keyboard. The keyboard interaction may be performed",100,pythia-2.8b
accessibility,decl_section_heading_001,section heading,declarative,cloze,A section heading is,a way of grouping together a set of related items. It is a way of organizing a set of related items. It is a way of grouping together a set of related items. It is a way of organizing a set of related items. It is a way of organizing a set of related items. It is a way of organizing a set of related items. It is a way of organizing a set of related items. It is a way of organizing a set of related items. It is a way,100,pythia-2.8b
accessibility,decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,"available for the following languages:

English

Spanish

French

German

Italian

Portuguese

Russian

Chinese

Japanese

Korean

Dutch

Swedish

Polish

Portuguese

Dutch

Swedish

Polish

Portuguese

Dutch

Swedish

Polish

Portuguese

Dutch

Swedish

Polish

Portuguese

Dutch

Swedish",100,pythia-2.8b
accessibility,decl_audio_description_001,audio description,declarative,cloze,An audio description is,"a way to provide a description of a video or other media content to a user. The audio description is typically presented in a separate audio track that is synchronized with the video or other media content. The audio description may be presented in a separate audio track that is synchronized with the video or other media content, or the audio description may be presented in the same audio track as the video or other media content.
The audio description may be presented in a separate audio track that is synchronized with the video or",100,pythia-2.8b
accessibility,decl_sign_language_001,sign language,declarative,cloze,Sign language is,"a language of the deaf, and is used to communicate with deaf people.

Sign language is a language of the deaf, and is used to communicate with deaf people.

Sign language is a language of the deaf, and is used to communicate with deaf people.

Sign language is a language of the deaf, and is used to communicate with deaf people.

Sign language is a language of the deaf, and is used to communicate with deaf people.

Sign language is",100,pythia-2.8b
accessibility,decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,"important for the development of the central nervous system (CNS) and the maintenance of normal function. The olfactory system is a sensory system that is critical for the detection of odorants and the subsequent processing of odor information. The olfactory system is also important for the detection of pheromones, which are chemical signals that are used to communicate with conspecifics. The olfactory system is also important for the detection of food and other environmental stimuli. The olfactory system is also important for the detection of drugs and",100,pythia-2.8b
accessibility,decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,a purpose that is used to determine the output of a function. The input purpose is a purpose that is used to determine the output of a function. The input purpose is a purpose that is used to determine the output of a function. The input purpose is a purpose that is used to determine the output of a function. The input purpose is a purpose that is used to determine the output of a function. The input purpose is a purpose that is used to determine the output of a function. The input,100,pythia-2.8b
