prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
cash_flow,cash flow,declarative,cloze,Cash flow is,"a key factor in the success of any business. It is the amount of money that is available to pay for goods and services. It is also the amount of money that is available to pay for debt.

Cash flow is a key factor in the success of any business. It is the amount of money that is available to pay for goods and services. It is also the amount of money that is available to pay for debt.

Cash flow is a key factor in the success of any",100,gpt2-medium
balance_sheet,balance sheet,declarative,cloze,A balance sheet is,"a list of assets and liabilities that are recorded on a company's balance sheet. It is a list of all the assets and liabilities that are recorded on the company's balance sheet.

A balance sheet is a list of assets and liabilities that are recorded on a company's balance sheet. It is a list of all the assets and liabilities that are recorded on the company's balance sheet.

A balance sheet is a list of assets and liabilities that are recorded on a company's balance sheet.",100,gpt2-medium
journal_entry,journal entry,declarative,cloze,A journal entry is,"a record of a person's thoughts, feelings, and actions. It is a record of a person's thoughts, feelings, and actions.

Contents show]

History Edit

The journal entry is a record of a person's thoughts, feelings, and actions. It is a record of a person's thoughts, feelings, and actions.

The journal entry is a record of a person's thoughts, feelings, and actions. It is a record of a person's thoughts,",100,gpt2-medium
accelerated_depreciation,accelerated depreciation,declarative,cloze,Accelerated depreciation is,"a common practice in the real estate industry. It is a way to reduce the cost of a property by reducing the value of the property.

The process of accelerated depreciation is a common practice in the real estate industry. It is a way to reduce the cost of a property by reducing the value of the property.

Accelerated depreciation is a common practice in the real estate industry. It is a way to reduce the cost of a property by reducing the value of the property.",100,gpt2-medium
impairment_goodwill,impairment goodwill,declarative,cloze,Goodwill impairment occurs when,"a charity's goodwill is impaired by a business transaction.

Goodwill impairment is a loss of value that occurs when a charity's goodwill is impaired by a business transaction.

Goodwill impairment is a loss of value that occurs when a charity's goodwill is impaired by a business transaction.

Goodwill impairment is a loss of value that occurs when a charity's goodwill is impaired by a business transaction.

Goodwill impairment is a loss of value that occurs when a charity's goodwill",100,gpt2-medium
yield_maturity,yield maturity,declarative,cloze,Yield to maturity is,"the time between when the plant is ready to harvest and when it is ready to harvest. The yield to maturity is the time between when the plant is ready to harvest and when it is ready to harvest.

Yield to maturity is the time between when the plant is ready to harvest and when it is ready to harvest.

Yield to maturity is the time between when the plant is ready to harvest and when it is ready to harvest.

Yield to maturity is the time",100,gpt2-medium
bond_coupon,bond coupon,declarative,cloze,A bond coupon is,"a coupon that can be used to purchase a bond. Bond coupons are used to buy bonds from the bond issuer.

Bond coupons are issued by the issuer of the bond. The issuer of the bond must be the same as the issuer of the bond.

Bond coupons are issued by the issuer of the bond. The issuer of the bond must be the same as the issuer of the bond. Bond coupons are issued by the issuer of the bond. The issuer of the bond must",100,gpt2-medium
credit_spread,credit spread,declarative,cloze,A credit spread is,"a spread between two or more credit cards. It is usually used to help you pay for a purchase.

A credit spread is a spread between two or more credit cards. It is usually used to help you pay for a purchase.

A credit spread is a spread between two or more credit cards. It is usually used to help you pay for a purchase.

A credit spread is a spread between two or more credit cards. It is usually used to help you pay for a",100,gpt2-medium
modified_duration,modified duration,declarative,cloze,Modified duration measures,"the time it takes for a player to reach a certain level of health.

The duration is measured in seconds.

The duration is measured in seconds.

The duration is measured in seconds.

The duration is measured in seconds.

The duration is measured in seconds.

The duration is measured in seconds.

The duration is measured in seconds.

The duration is measured in seconds.

The duration is measured in seconds.

The duration",100,gpt2-medium
interest_swap,interest swap,declarative,cloze,An interest swap is,"a type of swap that allows you to swap your shares of a company's stock for shares of another company's stock.

The swap is usually done through a company's stock exchange, but it can also be done through a broker or through a mutual fund.

The swap is usually done through a company's stock exchange, but it can also be done through a broker or through a mutual fund.

The swap is usually done through a company's stock exchange, but it can also",100,gpt2-medium
