domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
legal,due_process,due process,declarative,cloze,Due process is,4,3.8184,4.1065,6.7631,0.5293,gpt2-xl
legal,equal_protection,equal protection,declarative,cloze,Equal protection refers to,6,3.9926,1.5851,6.7631,0.1117,gpt2-xl
legal,commerce_clause,commerce clause,declarative,cloze,The commerce clause is,5,4.9645,3.458,8.4116,2.9858,gpt2-xl
legal,fifth_amendment,fifth amendment,declarative,cloze,The fifth amendment provides,5,4.9408,1.8332,8.4116,1.8332,gpt2-xl
legal,free_speech,free speech,declarative,cloze,Free speech is a right that,7,4.9358,3.9694,7.2043,3.3168,gpt2-xl
legal,strict_liability,strict liability,declarative,cloze,Strict liability is a legal doctrine holding,9,3.7765,0.6123,6.7631,0.6123,gpt2-xl
legal,punitive_damages,punitive damages,declarative,cloze,Punitive damages are awarded to,8,4.7985,3.9321,6.7631,2.3789,gpt2-xl
legal,sovereign_immunity,sovereign immunity,declarative,cloze,Sovereign immunity is,6,4.4604,2.5988,7.0428,0.3695,gpt2-xl
legal,grand_indictment,grand indictment,declarative,cloze,A grand indictment is,5,4.7715,3.2602,7.7341,2.1502,gpt2-xl
legal,guilty_plea,guilty plea,declarative,cloze,A guilty plea is when,6,4.1094,1.738,7.7341,1.0319,gpt2-xl
legal,excessive_bail,excessive bail,declarative,cloze,Excessive bail is prohibited by,7,4.5844,3.4302,7.0719,2.1851,gpt2-xl
legal,felony_conviction,felony conviction,declarative,cloze,A felony conviction is,5,5.2465,3.629,7.7341,3.4911,gpt2-xl
legal,conditional_parole,conditional parole,declarative,cloze,Conditional parole requires,5,5.0901,3.5064,7.7862,3.1884,gpt2-xl
legal,joint_custody,joint custody,declarative,cloze,Joint custody means,5,5.3618,3.5776,6.7631,3.5776,gpt2-xl
legal,material_breach,material breach,declarative,cloze,A material breach is,5,5.3656,3.4591,7.7341,3.061,gpt2-xl
legal,adequate_consideration,adequate consideration,declarative,cloze,Adequate consideration in a contract means,9,4.5912,3.5803,7.2312,0.209,gpt2-xl
legal,arbitration_clause,arbitration clause,declarative,cloze,An arbitration clause is,5,4.4133,2.0284,6.9793,2.0284,gpt2-xl
legal,specific_performance,specific performance,declarative,cloze,Specific performance is a remedy that,7,5.3855,4.8168,7.5137,3.3742,gpt2-xl
legal,preliminary_injunction,preliminary injunction,declarative,cloze,A preliminary injunction is,5,5.3412,3.8717,7.7341,3.7104,gpt2-xl
legal,oral_deposition,oral deposition,declarative,cloze,An oral deposition is,5,5.046,2.4738,6.9793,2.4738,gpt2-xl
legal,personal_jurisdiction,personal jurisdiction,declarative,cloze,Personal jurisdiction refers to,5,3.0233,1.531,6.7631,0.0882,gpt2-xl
legal,electronic_discovery,electronic discovery,declarative,cloze,Electronic discovery is,5,4.6196,4.8505,6.7631,2.0043,gpt2-xl
legal,summary_motion,summary motion,declarative,cloze,A summary motion is,5,4.3393,2.7546,7.7341,0.7401,gpt2-xl
legal,proper_venue,proper venue,declarative,cloze,Proper venue is determined by,7,4.6842,4.5618,7.4067,1.1249,gpt2-xl
legal,patent_infringement,patent infringement,declarative,cloze,Patent infringement occurs when,6,4.1461,2.0276,6.7631,0.7428,gpt2-xl
legal,articles_incorporation,articles incorporation,declarative,cloze,Articles of incorporation are,6,4.6902,5.5558,6.7631,3.0773,gpt2-xl
legal,hostile_merger,hostile merger,declarative,cloze,A hostile merger is,5,5.2523,4.1651,7.7341,2.6385,gpt2-xl
legal,statute_limitations,statute limitations,declarative,cloze,A statute of limitations is,6,4.1277,1.6789,7.7341,1.2501,gpt2-xl
legal,legal_standing,legal standing,declarative,cloze,Legal standing is the right to,7,4.4178,4.1255,6.7631,1.4235,gpt2-xl
legal,binding_precedent,binding precedent,declarative,cloze,A binding precedent is,5,5.5571,3.9257,7.7341,3.4857,gpt2-xl
legal,judicial_review,judicial review,declarative,cloze,Judicial review is,5,3.6288,4.2666,6.7631,1.1594,gpt2-xl
legal,civil_lawsuit,civil lawsuit,declarative,cloze,A civil lawsuit is,5,4.9501,3.9969,7.7341,2.8888,gpt2-xl
legal,criminal_record,criminal record,declarative,cloze,A criminal record is,5,5.1525,3.4354,7.7341,3.4354,gpt2-xl
legal,search_warrant,search warrant,declarative,cloze,A search warrant is,5,5.0495,3.9684,7.7341,3.3292,gpt2-xl
legal,plea_bargain,plea bargain,declarative,cloze,A plea bargain is,5,4.888,2.6386,7.7341,2.6386,gpt2-xl
legal,witness_testimony,witness testimony,declarative,cloze,Witness testimony is,4,4.77,5.3538,6.7631,2.3403,gpt2-xl
legal,expert_witness,expert witness,declarative,cloze,An expert witness is,5,5.1065,4.4167,6.9793,3.4942,gpt2-xl
legal,court_order,court order,declarative,cloze,A court order is,5,5.2787,4.5355,7.7341,2.6041,gpt2-xl
legal,bench_trial,bench trial,declarative,cloze,A bench trial is,5,4.8513,3.5495,7.7341,2.986,gpt2-xl
legal,jury_verdict,jury verdict,declarative,cloze,A jury verdict is,5,4.7233,2.4533,7.7341,2.4533,gpt2-xl
legal,class_action,class action,declarative,cloze,A class action lawsuit is,6,4.2916,3.8024,7.7341,1.136,gpt2-xl
legal,double_jeopardy,double jeopardy,declarative,cloze,Double jeopardy is,4,5.2971,2.9608,7.1727,2.9608,gpt2-xl
legal,probable_cause,probable cause,declarative,cloze,Probable cause is,5,5.0201,3.7582,6.7631,3.7582,gpt2-xl
legal,restraining_order,restraining order,declarative,cloze,A restraining order is,5,4.0947,2.3123,7.7341,0.0563,gpt2-xl
