domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
control,blue_sky,blue sky,declarative,cloze,A blue sky is,5,6.3202,5.7432,7.763,5.7432,gpt2-medium
control,cold_water,cold water,declarative,cloze,Cold water is typically characterized by,7,4.8191,4.4559,6.3241,0.7694,gpt2-medium
control,ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,9,4.6102,5.0827,6.0872,2.1504,gpt2-medium
control,life_jacket,life jacket,declarative,cloze,A life jacket is designed to,7,4.3751,3.3918,7.763,1.1896,gpt2-medium
control,tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,9,4.7265,4.331,7.763,1.4719,gpt2-medium
control,living_room,living room,declarative,cloze,A living room is,5,6.1766,4.3864,7.763,4.3864,gpt2-medium
control,roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,9,4.2727,4.7128,7.763,1.4942,gpt2-medium
control,school_bus,school bus,declarative,cloze,A school bus is used to,7,4.3944,2.4026,7.763,1.9046,gpt2-medium
control,grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,7,4.5076,4.4052,7.763,0.3402,gpt2-medium
control,peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,7,4.1208,4.7941,6.0022,2.0866,gpt2-medium
control,hot_chocolate,hot chocolate,declarative,cloze,Hot chocolate is a warm beverage typically made from,10,4.4921,4.3105,6.118,1.8876,gpt2-medium
control,apple_pie,apple pie,declarative,cloze,Apple pie is a dessert featuring,7,5.1099,5.325,6.0022,4.3635,gpt2-medium
control,orange_juice,orange juice,declarative,cloze,Orange juice is extracted from,6,4.5784,4.7269,6.0022,1.1129,gpt2-medium
control,baked_beans,baked beans,declarative,cloze,Baked beans are,5,5.546,4.8617,6.6496,3.7667,gpt2-medium
control,palm_tree,palm tree,declarative,cloze,A palm tree is characterized by,7,4.5257,4.4588,7.763,0.2563,gpt2-medium
control,thunder_storm,thunder storm,declarative,cloze,A thunder storm is,5,4.9944,4.3526,7.763,1.7864,gpt2-medium
control,coral_reef,coral reef,declarative,cloze,A coral reef is an underwater formation that,9,4.9158,4.0353,7.763,3.6379,gpt2-medium
control,shooting_star,shooting star,declarative,cloze,A shooting star is actually,6,5.1415,3.0511,7.763,3.0511,gpt2-medium
control,mountain_lion,mountain lion,declarative,cloze,A mountain lion is,5,5.7292,5.2021,7.763,4.1921,gpt2-medium
control,tidal_wave,tidal wave,declarative,cloze,A tidal wave is a large ocean wave caused by,11,3.6049,3.2104,7.763,0.2939,gpt2-medium
control,dining_table,dining table,declarative,cloze,A dining table is furniture used for,8,4.6489,4.7494,7.763,2.0503,gpt2-medium
control,car_keys,car keys,declarative,cloze,Car keys are used to,6,4.9241,4.7538,6.0168,2.5407,gpt2-medium
control,washing_machine,washing machine,declarative,cloze,A washing machine is an appliance that,8,4.4529,4.6981,7.763,0.9951,gpt2-medium
control,bath_towels,bath towels,declarative,cloze,Bath towels are used for,7,5.1547,5.3274,6.4498,2.8266,gpt2-medium
control,alarm_clock,alarm clock,declarative,cloze,An alarm clock is a device that,8,4.8704,4.9487,7.092,2.1364,gpt2-medium
control,light_bulb,light bulb,declarative,cloze,A light bulb is,5,5.8179,5.3086,7.763,3.7399,gpt2-medium
control,post_office,post office,declarative,cloze,A post office is an institution that,8,4.9203,4.8423,7.763,3.2194,gpt2-medium
control,parking_lot,parking lot,declarative,cloze,A parking lot is,5,5.3315,4.6378,7.763,4.06,gpt2-medium
control,train_station,train station,declarative,cloze,A train station is a facility where,8,5.1216,4.0086,7.763,3.1099,gpt2-medium
control,fire_station,fire station,declarative,cloze,A fire station is,5,5.6163,4.9845,7.763,4.5645,gpt2-medium
control,swimming_pool,swimming pool,declarative,cloze,A swimming pool is a structure designed for,9,4.7514,4.9633,7.763,1.4321,gpt2-medium
control,coffee_shop,coffee shop,declarative,cloze,A coffee shop is,5,5.1719,5.2813,7.763,3.1475,gpt2-medium
control,hard_drive,hard drive,declarative,cloze,A hard drive is a computer component used for,10,4.2528,1.9283,7.763,1.3112,gpt2-medium
control,operating_system,operating system,declarative,cloze,An operating system is software that,7,4.4906,4.0455,7.092,1.9708,gpt2-medium
control,search_engine,search engine,declarative,cloze,A search engine is,5,5.4438,4.9226,7.763,3.1922,gpt2-medium
control,user_name,user name,declarative,cloze,A user name is typically used for,8,4.6337,4.8463,7.763,1.6815,gpt2-medium
control,power_supply,power supply,declarative,cloze,A power supply is,5,5.6313,3.6886,7.763,3.6886,gpt2-medium
control,data_base,data base,declarative,cloze,A data base is,5,5.159,2.3725,7.763,2.3725,gpt2-medium
control,sore_throat,sore throat,declarative,cloze,A sore throat is,5,5.3194,3.7423,7.763,3.7423,gpt2-medium
control,blood_pressure,blood pressure,declarative,cloze,Blood pressure refers to,5,3.7989,1.79,6.102,0.2353,gpt2-medium
control,collar_bone,collar bone,declarative,cloze,The collar bone is,5,5.5444,4.1204,8.5565,4.1204,gpt2-medium
control,heart_rate,heart rate,declarative,cloze,Heart rate measures,4,4.8237,4.2641,6.0022,3.8164,gpt2-medium
control,dental_appointment,dental appointment,declarative,cloze,A dental appointment is,5,5.4287,4.2716,7.763,3.8909,gpt2-medium
control,waiting_room,waiting room,declarative,cloze,A waiting room is,5,5.3525,4.7715,7.763,3.4031,gpt2-medium
