prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
cash_flow,cash flow,declarative,cloze,Cash flow is,"the key to success.

The key to success is to have a cash flow that is sufficient to meet your expenses.

The key to success is to have a cash flow that is sufficient to meet your expenses.

The key to success is to have a cash flow that is sufficient to meet your expenses.

The key to success is to have a cash flow that is sufficient to meet your expenses.

The key to success is to have a cash flow that is sufficient",100,gpt2-xl
balance_sheet,balance sheet,declarative,cloze,A balance sheet is,"a summary of a company's assets and liabilities. It is a summary of the company's financial position at a particular point in time.

A balance sheet is a summary of a company's assets and liabilities. It is a summary of the company's financial position at a particular point in time.

A balance sheet is a summary of a company's assets and liabilities. It is a summary of the company's financial position at a particular point in time.

A balance sheet is a",100,gpt2-xl
journal_entry,journal entry,declarative,cloze,A journal entry is,"a record of a person's thoughts, feelings, or actions. It is a record of a person's thoughts, feelings, or actions.

The journal entry is a record of a person's thoughts, feelings, or actions. It is a record of a person's thoughts, feelings, or actions.

The journal entry is a record of a person's thoughts, feelings, or actions. It is a record of a person's thoughts, feelings, or actions.

The journal",100,gpt2-xl
accelerated_depreciation,accelerated depreciation,declarative,cloze,Accelerated depreciation is,"a tax deduction that allows you to deduct the cost of depreciating property over a certain period of time.

The depreciation period is the period of time that you can deduct the cost of depreciating property.

The amount of depreciation you can deduct is limited to the lesser of:

the cost of the property at the beginning of the period

the cost of the property at the end of the period

The cost of depreciating property is the cost of the",100,gpt2-xl
impairment_goodwill,impairment goodwill,declarative,cloze,Goodwill impairment occurs when,"a business has a significant loss of sales or customers, or a significant reduction in the value of its assets. Goodwill is the value of a business's assets less its liabilities. Goodwill is not the same as the value of a business's assets. Goodwill is the value of a business's assets less its liabilities. Goodwill is not the same as the value of a business's assets. Goodwill is the value of a business's assets less its liabilities. Goodwill is the value of",100,gpt2-xl
yield_maturity,yield maturity,declarative,cloze,Yield to maturity is,"a common practice in the wine industry. It is a way to ensure that the wine is ready to drink when it is ready.

Yield to maturity is a common practice in the wine industry. It is a way to ensure that the wine is ready to drink when it is ready.

Yield to maturity is a common practice in the wine industry. It is a way to ensure that the wine is ready to drink when it is ready.

Yield to maturity is a",100,gpt2-xl
bond_coupon,bond coupon,declarative,cloze,A bond coupon is,"a type of security that is issued by a bank or other financial institution to a customer. Bonds are issued by a bank or other financial institution to pay for a loan or other obligation. Bonds are issued in the form of a coupon, which is a piece of paper that is attached to the bond. The bond is then sold to the investor.

Bonds are issued by a bank or other financial institution to pay for a loan or other obligation. Bonds are issued in the form of a coupon",100,gpt2-xl
credit_spread,credit spread,declarative,cloze,A credit spread is,a measure of the difference between the interest rate on a loan and the interest rate on a bond. The credit spread is the difference between the interest rate on a loan and the interest rate on a bond. Credit spreads are used to determine the interest rate on a loan. Credit spreads are used to determine the interest rate on a bond. Credit spreads are used to determine the interest rate on a bond. Credit spreads are used to determine the interest rate on a bond. Credit spreads are used to determine the,100,gpt2-xl
modified_duration,modified duration,declarative,cloze,Modified duration measures,are used to estimate the time course of the effects of the intervention on the outcomes of interest. The time course of the effects of the intervention on the outcomes of interest is estimated by using the modified duration measures. The modified duration measures are based on the time course of the effects of the intervention on the outcomes of interest. The modified duration measures are based on the time course of the effects of the intervention on the outcomes of interest. The modified duration measures are based on the time course of the effects of,100,gpt2-xl
interest_swap,interest swap,declarative,cloze,An interest swap is,"a type of interest-bearing loan that is used to finance a purchase or sale of a security. The interest rate is determined by the swap's terms.

Interest rates are determined by the swap's terms. The interest rate is determined by the swap's terms.

Interest rates are determined by the swap's terms. The interest rate is determined by the swap's terms.

Interest rates are determined by the swap's terms. The interest rate is determined by the swap's terms.",100,gpt2-xl
call_option,call option,declarative,cloze,A call option gives,"you the right to buy a stock at a certain price at a certain time. You can buy call options on a stock at any time, but you can only sell call options if the stock is trading below the strike price.

Call options are similar to put options, but they give you the right to buy the stock at a certain price at a certain time.

Call options are similar to put options, but they give you the right to buy the stock at a certain price at a",100,gpt2-xl
commodity_futures,commodity futures,declarative,cloze,Commodity futures are,"a type of derivative that are traded on the New York Stock Exchange (NYSE) and the Chicago Mercantile Exchange (CME). Commodity futures are contracts that are based on the price of a commodity, such as oil, corn, or wheat. The contracts are traded on the exchanges for a period of time, usually a few days, and then settled in cash.

Commodity futures are a type of derivative that are traded on the New York Stock Exchange (NYSE) and",100,gpt2-xl
currency_hedge,currency hedge,declarative,cloze,A currency hedge is,"a type of currency trading strategy that involves buying and selling a currency in order to hedge against the risk of a currency's appreciation or depreciation.

The currency hedge is a type of currency trading strategy that involves buying and selling a currency in order to hedge against the risk of a currency's appreciation or depreciation.

The currency hedge is a type of currency trading strategy that involves buying and selling a currency in order to hedge against the risk of a currency's appreciation or depreciation.

The currency",100,gpt2-xl
implied_volatility,implied volatility,declarative,cloze,Implied volatility refers to,"the expected volatility of a security. Implied volatility is calculated by dividing the expected return by the expected volatility.

The implied volatility of a security is the average of the expected return and the expected volatility.

The expected return is the return that the security would have had if the market had been perfectly efficient.

The expected volatility is the average of the expected return and the volatility.

The expected return is the return that the security would have had if the market had been perfectly",100,gpt2-xl
zero_collar,zero collar,declarative,cloze,A zero collar strategy,is a strategy that is designed to reduce the risk of injury to the dog. It is a strategy that is designed to reduce the risk of injury to the dog. It is a strategy that is designed to reduce the risk of injury to the dog. It is a strategy that is designed to reduce the risk of injury to the dog. It is a strategy that is designed to reduce the risk of injury to the dog. It is a strategy that is designed to reduce the risk of injury to the dog,100,gpt2-xl
diluted_earnings,diluted earnings,declarative,cloze,Diluted earnings per share is,"a common measure of a company's earnings power. Diluted earnings per share is calculated by dividing the company's earnings by the weighted average number of common shares outstanding during the period.

Diluted earnings per share is a common measure of a company's earnings power. Diluted earnings per share is calculated by dividing the company's earnings by the weighted average number of common shares outstanding during the period.

Diluted earnings per share is a common measure of a company's earnings power.",100,gpt2-xl
price_ratio,price ratio,declarative,cloze,The price to earnings ratio is,"a measure of the profitability of a company. It is calculated by dividing the company's earnings by its total assets. The higher the price to earnings ratio, the more profitable the company is.

The price to earnings ratio is calculated by dividing the company's earnings by its total assets. The higher the price to earnings ratio, the more profitable the company is.

The price to earnings ratio is calculated by dividing the company's earnings by its total assets. The higher the price to earnings ratio",100,gpt2-xl
preferred_dividend,preferred dividend,declarative,cloze,A preferred dividend is,"a dividend that is paid to a shareholder in exchange for the shareholder's shares of the company's common stock. Preferred dividends are generally paid to shareholders who have a higher ownership percentage of the company's shares.

A preferred dividend is a dividend that is paid to a shareholder in exchange for the shareholder's shares of the company's common stock. Preferred dividends are generally paid to shareholders who have a higher ownership percentage of the company's shares.

A preferred dividend is a dividend that is paid to",100,gpt2-xl
financial_leverage,financial leverage,declarative,cloze,Financial leverage is,"a measure of the amount of debt a company has relative to its assets. It is a measure of the amount of debt a company has relative to its assets.

Financial leverage is a measure of the amount of debt a company has relative to its assets. It is a measure of the amount of debt a company has relative to its assets.

Financial leverage is a measure of the amount of debt a company has relative to its assets. It is a measure of the amount of debt a company",100,gpt2-xl
debt_covenant,debt covenant,declarative,cloze,A debt covenant is,"a contract between a debtor and a creditor that requires the debtor to pay a certain amount of money to the creditor if the debtor defaults on the debt.

A debt covenant is a contract between a debtor and a creditor that requires the debtor to pay a certain amount of money to the creditor if the debtor defaults on the debt.

A debt covenant is a contract between a debtor and a creditor that requires the debtor to pay a certain amount of money to the creditor if the debtor defaults on the",100,gpt2-xl
capital_structure,capital structure,declarative,cloze,Capital structure refers to,"the way a company is structured. It is the way a company is structured that determines the way it is taxed.

The tax treatment of a company's capital structure is determined by the tax laws of the country in which the company is incorporated.

Capital structure is the way a company is structured. It is the way a company is structured that determines the way it is taxed.

Capital structure is the way a company is structured. It is the way a company is structured that determines",100,gpt2-xl
due_diligence,due diligence,declarative,cloze,Due diligence is,"a process of identifying and evaluating potential risks and opportunities in order to determine whether a transaction is appropriate for the Company. The Company's due diligence process includes a review of the Company's financial statements, management's discussion and analysis of financial condition and results of operations, and other information that the Company deems relevant. The Company's due diligence process may include, but is not limited to, the following:

• reviewing the Company's financial statements, management's discussion and analysis of financial condition and results of",100,gpt2-xl
public_offering,public offering,declarative,cloze,A public offering is,"a company's attempt to raise money from investors by selling shares to the public. The company may also sell shares to its employees, who may be able to buy shares at a discount.

A public offering is a company's attempt to raise money from investors by selling shares to the public. The company may also sell shares to its employees, who may be able to buy shares at a discount.

A public offering is a company's attempt to raise money from investors by selling shares to the",100,gpt2-xl
market_liquidity,market liquidity,declarative,cloze,Market liquidity refers to,"the ability of the market to absorb and distribute the flow of capital. The market liquidity of a market is the amount of capital that is available to trade in the market.

The market liquidity of a market is the amount of capital that is available to trade in the market.

Market liquidity is a measure of the amount of capital that is available to trade in a market.

The market liquidity of a market is the amount of capital that is available to trade in a market.",100,gpt2-xl
trade_settlement,trade settlement,declarative,cloze,Trade settlement is,"a process by which a party to a trade agreement (or a party to a trade agreement-like agreement) agrees to pay a sum of money to another party to settle a trade dispute.

The parties to a trade agreement (or a party to a trade agreement-like agreement) agree to settle a trade dispute by a payment of money. The parties may agree to settle the dispute by a payment of money in the form of a check, a money order, or a money transfer.",100,gpt2-xl
central_clearing,central clearing,declarative,cloze,Central clearing houses,"are the most efficient way to move money around the world. They are the most efficient way to move money around the world.

Central clearing houses are the most efficient way to move money around the world. They are the most efficient way to move money around the world.

Central clearing houses are the most efficient way to move money around the world. They are the most efficient way to move money around the world.

Central clearing houses are the most efficient way to move money around the",100,gpt2-xl
maintenance_margin,maintenance margin,declarative,cloze,A maintenance margin is,"the difference between the cost of a product and the cost of producing it. It is the difference between the cost of producing a product and the cost of producing it in the same quantity.

The maintenance margin is the difference between the cost of a product and the cost of producing it in the same quantity.

The maintenance margin is the difference between the cost of a product and the cost of producing it in the same quantity.

The maintenance margin is the difference between the cost of a",100,gpt2-xl
regulatory_compliance,regulatory compliance,declarative,cloze,Regulatory compliance means,"that you are following the rules and regulations that govern your business.

Regulatory compliance is a key part of your business. It is important to understand the rules and regulations that govern your business.

The following are some of the key rules and regulations that you should be aware of:

Business Licensing

Business Licensing is a requirement that you must follow to operate your business.

Business Licensing is a requirement that you must follow to operate your business. Business Lic",100,gpt2-xl
money_laundering,money laundering,declarative,cloze,Money laundering is,"a crime that involves the use of money to conceal the source of funds. Money laundering is a crime that involves the use of money to conceal the source of funds.

Money laundering is a crime that involves the use of money to conceal the source of funds. Money laundering is a crime that involves the use of money to conceal the source of funds.

Money laundering is a crime that involves the use of money to conceal the source of funds. Money laundering is a crime that involves the use",100,gpt2-xl
